LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PETER CHOI,KEVIN DE LEON,
BELVEDERE,0850001A,257,199,N,837,POLLING PLACE,154,35,109,
BELVEDERE,0850001A,257,199,N,,VBM PORTION,20,3,15,
BELVEDERE,0850001A,257,199,N,837,TOTAL,174,38,124,
BELVEDERE,0850004A,258,201,N,950,POLLING PLACE,114,16,94,
BELVEDERE,0850004A,258,201,N,,VBM PORTION,32,5,22,
BELVEDERE,0850004A,258,201,N,950,TOTAL,146,21,116,
BELVEDERE,0850005A,259,199,N,941,POLLING PLACE,165,28,129,
BELVEDERE,0850005A,259,199,N,,VBM PORTION,29,3,22,
BELVEDERE,0850005A,259,199,N,941,TOTAL,194,31,151,
BELVEDERE,0850006A,260,201,N,888,POLLING PLACE,150,21,116,
BELVEDERE,0850006A,260,201,N,,VBM PORTION,35,12,17,
BELVEDERE,0850006A,260,201,N,888,TOTAL,185,33,133,
BELVEDERE,0850007A,261,199,N,1028,POLLING PLACE,137,29,97,
BELVEDERE,0850007A,261,199,N,,VBM PORTION,31,6,21,
BELVEDERE,0850007A,261,199,N,1028,TOTAL,168,35,118,
BELVEDERE,0850009A,262,199,N,905,POLLING PLACE,118,27,81,
BELVEDERE,0850009A,262,199,N,,VBM PORTION,31,7,24,
BELVEDERE,0850009A,262,199,N,905,TOTAL,149,34,105,
BELVEDERE,0850011B,263,201,N,838,POLLING PLACE,114,21,81,
BELVEDERE,0850011B,263,201,N,,VBM PORTION,36,7,21,
BELVEDERE,0850011B,263,201,N,838,TOTAL,150,28,102,
BELVEDERE,0850012C,264,199,N,791,POLLING PLACE,126,25,86,
BELVEDERE,0850012C,264,199,N,,VBM PORTION,14,3,8,
BELVEDERE,0850012C,264,199,N,791,TOTAL,140,28,94,
BELVEDERE,0850013A,265,201,N,943,POLLING PLACE,167,30,122,
BELVEDERE,0850013A,265,201,N,,VBM PORTION,45,5,36,
BELVEDERE,0850013A,265,201,N,943,TOTAL,212,35,158,
BELVEDERE,0850014A,266,199,N,819,POLLING PLACE,95,29,63,
BELVEDERE,0850014A,266,199,N,,VBM PORTION,25,4,21,
BELVEDERE,0850014A,266,199,N,819,TOTAL,120,33,84,
BELVEDERE,0850015B,267,199,N,929,POLLING PLACE,115,25,86,
BELVEDERE,0850015B,267,199,N,,VBM PORTION,21,3,17,
BELVEDERE,0850015B,267,199,N,929,TOTAL,136,28,103,
BELVEDERE,0850016A,268,199,N,780,POLLING PLACE,128,24,98,
BELVEDERE,0850016A,268,199,N,,VBM PORTION,22,1,18,
BELVEDERE,0850016A,268,199,N,780,TOTAL,150,25,116,
BELVEDERE,0850017A,269,199,N,1018,POLLING PLACE,157,30,109,
BELVEDERE,0850017A,269,199,N,,VBM PORTION,47,10,33,
BELVEDERE,0850017A,269,199,N,1018,TOTAL,204,40,142,
