LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEFF GORELL,JULIA BROWNLEY,
WESTLAKE VILLAGE,7770001A,2913,107,N,645,POLLING PLACE,127,64,48,
WESTLAKE VILLAGE,7770001A,2913,107,N,,VBM PORTION,69,41,25,
WESTLAKE VILLAGE,7770001A,2913,107,N,645,TOTAL,196,105,73,
WESTLAKE VILLAGE,7770002A,2914,107,N,970,POLLING PLACE,267,127,125,
WESTLAKE VILLAGE,7770002A,2914,107,N,,VBM PORTION,142,78,59,
WESTLAKE VILLAGE,7770002A,2914,107,N,970,TOTAL,409,205,184,
WESTLAKE VILLAGE,7770002B,2915,107,N,1099,POLLING PLACE,291,167,109,
WESTLAKE VILLAGE,7770002B,2915,107,N,,VBM PORTION,188,115,61,
WESTLAKE VILLAGE,7770002B,2915,107,N,1099,TOTAL,479,282,170,
WESTLAKE VILLAGE,7770011A,2916,107,N,1051,POLLING PLACE,294,182,102,
WESTLAKE VILLAGE,7770011A,2916,107,N,,VBM PORTION,123,76,42,
WESTLAKE VILLAGE,7770011A,2916,107,N,1051,TOTAL,417,258,144,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,POLLING PLACE,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,VBM PORTION,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,TOTAL,,,,
WESTLAKE VILLAGE,7770013A,2917,107,N,1048,POLLING PLACE,337,158,151,
WESTLAKE VILLAGE,7770013A,2917,107,N,,VBM PORTION,96,54,36,
WESTLAKE VILLAGE,7770013A,2917,107,N,1048,TOTAL,433,212,187,
WESTLAKE VILLAGE,7770080A,2918,107,N,957,POLLING PLACE,207,103,92,
WESTLAKE VILLAGE,7770080A,2918,107,N,,VBM PORTION,130,65,56,
WESTLAKE VILLAGE,7770080A,2918,107,N,957,TOTAL,337,168,148,
BALLOT GROUP 107,9990107A,8107,107,N,,POLLING PLACE,,,,
BALLOT GROUP 107,9990107A,8107,107,N,,VBM PORTION,,,,
BALLOT GROUP 107,9990107A,8107,107,N,,TOTAL,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,POLLING PLACE,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,VBM PORTION,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,TOTAL,,,,
