LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,XAVIER BECERRA,ADRIENNE N EDWARDS,
BELVEDERE,0850001A,257,199,N,837,POLLING PLACE,154,117,28,
BELVEDERE,0850001A,257,199,N,,VBM PORTION,20,16,2,
BELVEDERE,0850001A,257,199,N,837,TOTAL,174,133,30,
BELVEDERE,0850005A,259,199,N,941,POLLING PLACE,165,138,19,
BELVEDERE,0850005A,259,199,N,,VBM PORTION,29,17,9,
BELVEDERE,0850005A,259,199,N,941,TOTAL,194,155,28,
BELVEDERE,0850007A,261,199,N,1028,POLLING PLACE,137,108,25,
BELVEDERE,0850007A,261,199,N,,VBM PORTION,31,19,8,
BELVEDERE,0850007A,261,199,N,1028,TOTAL,168,127,33,
BELVEDERE,0850009A,262,199,N,905,POLLING PLACE,118,89,20,
BELVEDERE,0850009A,262,199,N,,VBM PORTION,31,26,5,
BELVEDERE,0850009A,262,199,N,905,TOTAL,149,115,25,
BELVEDERE,0850012C,264,199,N,791,POLLING PLACE,126,89,15,
BELVEDERE,0850012C,264,199,N,,VBM PORTION,14,10,1,
BELVEDERE,0850012C,264,199,N,791,TOTAL,140,99,16,
BELVEDERE,0850014A,266,199,N,819,POLLING PLACE,95,73,21,
BELVEDERE,0850014A,266,199,N,,VBM PORTION,25,21,4,
BELVEDERE,0850014A,266,199,N,819,TOTAL,120,94,25,
BELVEDERE,0850015B,267,199,N,929,POLLING PLACE,115,92,17,
BELVEDERE,0850015B,267,199,N,,VBM PORTION,21,11,7,
BELVEDERE,0850015B,267,199,N,929,TOTAL,136,103,24,
BELVEDERE,0850016A,268,199,N,780,POLLING PLACE,128,101,21,
BELVEDERE,0850016A,268,199,N,,VBM PORTION,22,19,,
BELVEDERE,0850016A,268,199,N,780,TOTAL,150,120,21,
BELVEDERE,0850017A,269,199,N,1018,POLLING PLACE,157,123,19,
BELVEDERE,0850017A,269,199,N,,VBM PORTION,47,31,12,
BELVEDERE,0850017A,269,199,N,1018,TOTAL,204,154,31,
BELVEDERE,0850061A,273,199,N,1054,POLLING PLACE,130,102,18,
BELVEDERE,0850061A,273,199,N,,VBM PORTION,50,34,10,
BELVEDERE,0850061A,273,199,N,1054,TOTAL,180,136,28,
LOS ANGELES,9000029A,3001,200,N,910,POLLING PLACE,124,77,22,
LOS ANGELES,9000029A,3001,200,N,,VBM PORTION,51,33,12,
LOS ANGELES,9000029A,3001,200,N,910,TOTAL,175,110,34,
LOS ANGELES,9000038A,3006,214,N,875,POLLING PLACE,176,133,31,
LOS ANGELES,9000038A,3006,214,N,,VBM PORTION,28,20,8,
LOS ANGELES,9000038A,3006,214,N,875,TOTAL,204,153,39,
LOS ANGELES,9000049A,3011,214,N,955,POLLING PLACE,176,99,64,
LOS ANGELES,9000049A,3011,214,N,,VBM PORTION,63,34,19,
LOS ANGELES,9000049A,3011,214,N,955,TOTAL,239,133,83,
LOS ANGELES,9000050A,3012,212,N,124,POLLING PLACE,29,11,13,
LOS ANGELES,9000050A,3012,212,N,,VBM PORTION,13,3,7,
LOS ANGELES,9000050A,3012,212,N,124,TOTAL,42,14,20,
LOS ANGELES,9000052A,3014,214,N,802,POLLING PLACE,103,63,28,
LOS ANGELES,9000052A,3014,214,N,,VBM PORTION,49,26,17,
LOS ANGELES,9000052A,3014,214,N,802,TOTAL,152,89,45,
LOS ANGELES,9000053A,3015,214,N,929,POLLING PLACE,178,120,41,
LOS ANGELES,9000053A,3015,214,N,,VBM PORTION,13,6,7,
LOS ANGELES,9000053A,3015,214,N,929,TOTAL,191,126,48,
LOS ANGELES,9000055A,3016,200,N,716,POLLING PLACE,188,134,31,
LOS ANGELES,9000055A,3016,200,N,,VBM PORTION,34,21,5,
LOS ANGELES,9000055A,3016,200,N,716,TOTAL,222,155,36,
LOS ANGELES,9000243A,3133,200,N,990,POLLING PLACE,166,129,23,
LOS ANGELES,9000243A,3133,200,N,,VBM PORTION,39,29,4,
LOS ANGELES,9000243A,3133,200,N,990,TOTAL,205,158,27,
LOS ANGELES,9000244A,3134,200,N,1010,POLLING PLACE,139,110,17,
LOS ANGELES,9000244A,3134,200,N,,VBM PORTION,4,1,3,
LOS ANGELES,9000244A,3134,200,N,1010,TOTAL,143,111,20,
LOS ANGELES,9000248A,3136,200,N,1001,POLLING PLACE,154,111,33,
LOS ANGELES,9000248A,3136,200,N,,VBM PORTION,48,28,19,
LOS ANGELES,9000248A,3136,200,N,1001,TOTAL,202,139,52,
LOS ANGELES,9000249A,3137,200,N,688,POLLING PLACE,110,83,16,
LOS ANGELES,9000249A,3137,200,N,,VBM PORTION,19,15,2,
LOS ANGELES,9000249A,3137,200,N,688,TOTAL,129,98,18,
LOS ANGELES,9000273B,3155,214,N,666,POLLING PLACE,124,82,32,
LOS ANGELES,9000273B,3155,214,N,,VBM PORTION,12,8,2,
LOS ANGELES,9000273B,3155,214,N,666,TOTAL,136,90,34,
LOS ANGELES,9000275B,3156,214,N,792,POLLING PLACE,141,104,28,
LOS ANGELES,9000275B,3156,214,N,,VBM PORTION,20,14,3,
LOS ANGELES,9000275B,3156,214,N,792,TOTAL,161,118,31,
LOS ANGELES,9000277A,3157,214,N,873,POLLING PLACE,174,114,49,
LOS ANGELES,9000277A,3157,214,N,,VBM PORTION,24,22,1,
LOS ANGELES,9000277A,3157,214,N,873,TOTAL,198,136,50,
LOS ANGELES,9000303A,3173,200,N,1167,POLLING PLACE,265,189,52,
LOS ANGELES,9000303A,3173,200,N,,VBM PORTION,114,77,20,
LOS ANGELES,9000303A,3173,200,N,1167,TOTAL,379,266,72,
LOS ANGELES,9000319A,3186,200,N,1080,POLLING PLACE,185,129,38,
LOS ANGELES,9000319A,3186,200,N,,VBM PORTION,64,41,18,
LOS ANGELES,9000319A,3186,200,N,1080,TOTAL,249,170,56,
LOS ANGELES,9000323A,3188,200,N,1134,POLLING PLACE,178,153,20,
LOS ANGELES,9000323A,3188,200,N,,VBM PORTION,60,45,15,
LOS ANGELES,9000323A,3188,200,N,1134,TOTAL,238,198,35,
LOS ANGELES,9000336A,3197,200,N,849,POLLING PLACE,141,119,13,
LOS ANGELES,9000336A,3197,200,N,,VBM PORTION,34,31,1,
LOS ANGELES,9000336A,3197,200,N,849,TOTAL,175,150,14,
LOS ANGELES,9000357A,3209,200,N,1070,POLLING PLACE,232,151,55,
LOS ANGELES,9000357A,3209,200,N,,VBM PORTION,54,38,8,
LOS ANGELES,9000357A,3209,200,N,1070,TOTAL,286,189,63,
LOS ANGELES,9000368C,3218,200,N,766,POLLING PLACE,166,115,41,
LOS ANGELES,9000368C,3218,200,N,,VBM PORTION,33,21,9,
LOS ANGELES,9000368C,3218,200,N,766,TOTAL,199,136,50,
LOS ANGELES,9000371A,3220,200,N,900,POLLING PLACE,116,91,16,
LOS ANGELES,9000371A,3220,200,N,,VBM PORTION,29,20,6,
LOS ANGELES,9000371A,3220,200,N,900,TOTAL,145,111,22,
LOS ANGELES,9000437A,3264,200,N,1198,POLLING PLACE,261,186,50,
LOS ANGELES,9000437A,3264,200,N,,VBM PORTION,71,55,9,
LOS ANGELES,9000437A,3264,200,N,1198,TOTAL,332,241,59,
LOS ANGELES,9000438A,3265,200,N,1086,POLLING PLACE,229,167,49,
LOS ANGELES,9000438A,3265,200,N,,VBM PORTION,35,30,4,
LOS ANGELES,9000438A,3265,200,N,1086,TOTAL,264,197,53,
LOS ANGELES,9000444A,3268,200,N,816,POLLING PLACE,182,122,44,
LOS ANGELES,9000444A,3268,200,N,,VBM PORTION,69,42,18,
LOS ANGELES,9000444A,3268,200,N,816,TOTAL,251,164,62,
LOS ANGELES,9000464B,3281,200,N,1030,POLLING PLACE,100,64,16,
LOS ANGELES,9000464B,3281,200,N,,VBM PORTION,81,39,23,
LOS ANGELES,9000464B,3281,200,N,1030,TOTAL,181,103,39,
LOS ANGELES,9000477A,3288,200,N,898,POLLING PLACE,146,116,18,
LOS ANGELES,9000477A,3288,200,N,,VBM PORTION,19,14,3,
LOS ANGELES,9000477A,3288,200,N,898,TOTAL,165,130,21,
LOS ANGELES,9000491A,3293,200,N,1064,POLLING PLACE,134,97,30,
LOS ANGELES,9000491A,3293,200,N,,VBM PORTION,46,34,10,
LOS ANGELES,9000491A,3293,200,N,1064,TOTAL,180,131,40,
LOS ANGELES,9000493B,3295,216,N,1276,POLLING PLACE,220,102,97,
LOS ANGELES,9000493B,3295,216,N,,VBM PORTION,69,32,27,
LOS ANGELES,9000493B,3295,216,N,1276,TOTAL,289,134,124,
LOS ANGELES,9000513A,3312,200,N,982,POLLING PLACE,138,100,19,
LOS ANGELES,9000513A,3312,200,N,,VBM PORTION,48,39,5,
LOS ANGELES,9000513A,3312,200,N,982,TOTAL,186,139,24,
LOS ANGELES,9000515A,3313,200,N,1048,POLLING PLACE,203,153,36,
LOS ANGELES,9000515A,3313,200,N,,VBM PORTION,43,33,6,
LOS ANGELES,9000515A,3313,200,N,1048,TOTAL,246,186,42,
LOS ANGELES,9000517A,3314,214,N,901,POLLING PLACE,174,122,41,
LOS ANGELES,9000517A,3314,214,N,,VBM PORTION,33,16,12,
LOS ANGELES,9000517A,3314,214,N,901,TOTAL,207,138,53,
LOS ANGELES,9000522A,3317,200,N,1061,POLLING PLACE,201,153,32,
LOS ANGELES,9000522A,3317,200,N,,VBM PORTION,50,38,8,
LOS ANGELES,9000522A,3317,200,N,1061,TOTAL,251,191,40,
LOS ANGELES,9000524A,3319,200,N,974,POLLING PLACE,196,161,25,
LOS ANGELES,9000524A,3319,200,N,,VBM PORTION,22,16,4,
LOS ANGELES,9000524A,3319,200,N,974,TOTAL,218,177,29,
LOS ANGELES,9000536A,3325,200,N,1094,POLLING PLACE,152,114,24,
LOS ANGELES,9000536A,3325,200,N,,VBM PORTION,48,36,9,
LOS ANGELES,9000536A,3325,200,N,1094,TOTAL,200,150,33,
LOS ANGELES,9000582A,3353,214,N,1041,POLLING PLACE,196,131,50,
LOS ANGELES,9000582A,3353,214,N,,VBM PORTION,40,31,8,
LOS ANGELES,9000582A,3353,214,N,1041,TOTAL,236,162,58,
LOS ANGELES,9000585A,3354,214,N,679,POLLING PLACE,91,58,25,
LOS ANGELES,9000585A,3354,214,N,,VBM PORTION,17,13,4,
LOS ANGELES,9000585A,3354,214,N,679,TOTAL,108,71,29,
LOS ANGELES,9000589A,3355,200,N,1126,POLLING PLACE,278,202,52,
LOS ANGELES,9000589A,3355,200,N,,VBM PORTION,70,46,14,
LOS ANGELES,9000589A,3355,200,N,1126,TOTAL,348,248,66,
LOS ANGELES,9000593A,3358,200,N,1104,POLLING PLACE,230,176,35,
LOS ANGELES,9000593A,3358,200,N,,VBM PORTION,40,25,8,
LOS ANGELES,9000593A,3358,200,N,1104,TOTAL,270,201,43,
LOS ANGELES,9000595A,3359,200,N,1190,POLLING PLACE,201,153,28,
LOS ANGELES,9000595A,3359,200,N,,VBM PORTION,68,51,7,
