LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,
LONG BEACH,3850048A,1456,392,N,1108,POLLING PLACE,190,116,65,
LONG BEACH,3850048A,1456,392,N,,VBM PORTION,95,58,33,
LONG BEACH,3850048A,1456,392,N,1108,TOTAL,285,174,98,
LONG BEACH,3850052A,1458,392,N,807,POLLING PLACE,173,84,77,
LONG BEACH,3850052A,1458,392,N,,VBM PORTION,91,31,54,
LONG BEACH,3850052A,1458,392,N,807,TOTAL,264,115,131,
LONG BEACH,3850153A,1508,392,N,1257,POLLING PLACE,298,149,124,
LONG BEACH,3850153A,1508,392,N,,VBM PORTION,151,68,74,
LONG BEACH,3850153A,1508,392,N,1257,TOTAL,449,217,198,
LONG BEACH,3850215A,1533,392,N,1468,POLLING PLACE,259,96,148,
LONG BEACH,3850215A,1533,392,N,,VBM PORTION,309,103,179,
LONG BEACH,3850215A,1533,392,N,1468,TOTAL,568,199,327,
LONG BEACH,3850254A,1548,392,N,1352,POLLING PLACE,379,130,229,
LONG BEACH,3850254A,1548,392,N,,VBM PORTION,246,52,183,
LONG BEACH,3850254A,1548,392,N,1352,TOTAL,625,182,412,
LONG BEACH,3850255A,1549,392,N,1367,POLLING PLACE,310,103,198,
LONG BEACH,3850255A,1549,392,N,,VBM PORTION,294,96,181,
LONG BEACH,3850255A,1549,392,N,1367,TOTAL,604,199,379,
LONG BEACH,3850256A,1550,392,N,776,POLLING PLACE,186,86,92,
LONG BEACH,3850256A,1550,392,N,,VBM PORTION,99,43,51,
LONG BEACH,3850256A,1550,392,N,776,TOTAL,285,129,143,
LONG BEACH,3850259A,1551,392,N,922,POLLING PLACE,232,107,113,
LONG BEACH,3850259A,1551,392,N,,VBM PORTION,129,45,76,
LONG BEACH,3850259A,1551,392,N,922,TOTAL,361,152,189,
LONG BEACH,3850262A,1552,392,N,1374,POLLING PLACE,370,183,172,
LONG BEACH,3850262A,1552,392,N,,VBM PORTION,165,71,86,
LONG BEACH,3850262A,1552,392,N,1374,TOTAL,535,254,258,
