LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,TOM LACKEY,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,59,236,
ACTON,0050003A,1,13,N,,VBM PORTION,110,24,81,
ACTON,0050003A,1,13,N,1044,TOTAL,418,83,317,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,20,106,
ACTON,0050004B,2,13,N,,VBM PORTION,93,20,69,
ACTON,0050004B,2,13,N,576,TOTAL,221,40,175,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,39,153,
ACTON,0050005A,3,13,N,,VBM PORTION,71,16,53,
ACTON,0050005A,3,13,N,713,TOTAL,269,55,206,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,38,125,
ACTON,0050014A,4,23,N,,VBM PORTION,87,25,60,
ACTON,0050014A,4,23,N,695,TOTAL,259,63,185,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,3,15,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,3,15,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,75,211,
ACTON,0050059A,5,13,N,,VBM PORTION,113,25,82,
ACTON,0050059A,5,13,N,1169,TOTAL,412,100,293,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,62,204,
ACTON,0050061A,6,13,N,,VBM PORTION,132,31,98,
ACTON,0050061A,6,13,N,1105,TOTAL,409,93,302,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,5,14,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,5,14,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,30,141,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,22,81,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,52,222,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
CANYON COUNTRY,1020007A,6037,10,Y,45,POLLING PLACE,,,,
CANYON COUNTRY,1020007A,6037,10,Y,,VBM PORTION,10,4,6,
CANYON COUNTRY,1020007A,6037,10,Y,45,TOTAL,10,4,6,
CANYON COUNTRY,1020244A,365,19,N,576,POLLING PLACE,117,35,76,
CANYON COUNTRY,1020244A,365,19,N,,VBM PORTION,55,18,34,
CANYON COUNTRY,1020244A,365,19,N,576,TOTAL,172,53,110,
DEL SUR,1750001A,622,8,N,1079,POLLING PLACE,273,82,180,
DEL SUR,1750001A,622,8,N,,VBM PORTION,111,34,74,
DEL SUR,1750001A,622,8,N,1079,TOTAL,384,116,254,
DEL SUR,1750005H,6061,16,Y,,POLLING PLACE,,,,
DEL SUR,1750005H,6061,16,Y,,VBM PORTION,,,,
DEL SUR,1750005H,6061,16,Y,,TOTAL,,,,
DEL SUR,1750007C,6062,15,Y,,POLLING PLACE,,,,
DEL SUR,1750007C,6062,15,Y,,VBM PORTION,,,,
DEL SUR,1750007C,6062,15,Y,,TOTAL,,,,
DEL SUR,1750052A,6063,3,Y,234,POLLING PLACE,,,,
DEL SUR,1750052A,6063,3,Y,,VBM PORTION,108,30,76,
DEL SUR,1750052A,6063,3,Y,234,TOTAL,108,30,76,
DEL SUR,1750054A,623,7,N,562,POLLING PLACE,133,19,100,
DEL SUR,1750054A,623,7,N,,VBM PORTION,96,17,76,
DEL SUR,1750054A,623,7,N,562,TOTAL,229,36,176,
DEL SUR,1750055A,624,1,N,1404,POLLING PLACE,376,58,308,
DEL SUR,1750055A,624,1,N,,VBM PORTION,170,35,123,
DEL SUR,1750055A,624,1,N,1404,TOTAL,546,93,431,
DESERT,1770001A,625,8,N,1091,POLLING PLACE,200,70,125,
DESERT,1770001A,625,8,N,,VBM PORTION,77,28,45,
DESERT,1770001A,625,8,N,1091,TOTAL,277,98,170,
