LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,
BEVERLY HILLS,0900014A,6032,185,Y,2,POLLING PLACE,,,,
BEVERLY HILLS,0900014A,6032,185,Y,,VBM PORTION,,,,
BEVERLY HILLS,0900014A,6032,185,Y,2,TOTAL,,,,
CENTINELA,1060001A,6047,326,Y,133,POLLING PLACE,,,,
CENTINELA,1060001A,6047,326,Y,,VBM PORTION,23,12,9,
CENTINELA,1060001A,6047,326,Y,133,TOTAL,23,12,9,
CULVER CITY,1600001A,590,233,N,902,POLLING PLACE,180,154,20,
CULVER CITY,1600001A,590,233,N,,VBM PORTION,72,49,20,
CULVER CITY,1600001A,590,233,N,902,TOTAL,252,203,40,
CULVER CITY,1600002A,591,233,N,754,POLLING PLACE,146,102,40,
CULVER CITY,1600002A,591,233,N,,VBM PORTION,73,55,16,
CULVER CITY,1600002A,591,233,N,754,TOTAL,219,157,56,
CULVER CITY,1600003A,592,233,N,998,POLLING PLACE,169,136,29,
CULVER CITY,1600003A,592,233,N,,VBM PORTION,92,64,23,
CULVER CITY,1600003A,592,233,N,998,TOTAL,261,200,52,
CULVER CITY,1600004A,593,233,N,1097,POLLING PLACE,230,168,53,
CULVER CITY,1600004A,593,233,N,,VBM PORTION,70,51,17,
CULVER CITY,1600004A,593,233,N,1097,TOTAL,300,219,70,
CULVER CITY,1600005A,594,233,N,885,POLLING PLACE,187,147,34,
CULVER CITY,1600005A,594,233,N,,VBM PORTION,85,68,12,
CULVER CITY,1600005A,594,233,N,885,TOTAL,272,215,46,
CULVER CITY,1600007A,595,233,N,1248,POLLING PLACE,316,226,74,
CULVER CITY,1600007A,595,233,N,,VBM PORTION,147,92,44,
CULVER CITY,1600007A,595,233,N,1248,TOTAL,463,318,118,
CULVER CITY,1600008A,596,233,N,1154,POLLING PLACE,329,251,66,
CULVER CITY,1600008A,596,233,N,,VBM PORTION,140,82,50,
CULVER CITY,1600008A,596,233,N,1154,TOTAL,469,333,116,
CULVER CITY,1600011A,597,233,N,1176,POLLING PLACE,206,155,39,
CULVER CITY,1600011A,597,233,N,,VBM PORTION,157,102,41,
CULVER CITY,1600011A,597,233,N,1176,TOTAL,363,257,80,
CULVER CITY,1600013B,598,233,N,1147,POLLING PLACE,330,233,79,
CULVER CITY,1600013B,598,233,N,,VBM PORTION,124,73,41,
CULVER CITY,1600013B,598,233,N,1147,TOTAL,454,306,120,
CULVER CITY,1600014A,599,233,N,476,POLLING PLACE,102,80,17,
CULVER CITY,1600014A,599,233,N,,VBM PORTION,80,64,15,
CULVER CITY,1600014A,599,233,N,476,TOTAL,182,144,32,
CULVER CITY,1600014C,6060,228,Y,,POLLING PLACE,,,,
CULVER CITY,1600014C,6060,228,Y,,VBM PORTION,,,,
CULVER CITY,1600014C,6060,228,Y,,TOTAL,,,,
CULVER CITY,1600017B,600,233,N,1114,POLLING PLACE,224,165,49,
CULVER CITY,1600017B,600,233,N,,VBM PORTION,112,69,32,
CULVER CITY,1600017B,600,233,N,1114,TOTAL,336,234,81,
CULVER CITY,1600018A,601,233,N,899,POLLING PLACE,161,126,28,
CULVER CITY,1600018A,601,233,N,,VBM PORTION,63,39,18,
CULVER CITY,1600018A,601,233,N,899,TOTAL,224,165,46,
CULVER CITY,1600022A,602,233,N,651,POLLING PLACE,156,119,33,
CULVER CITY,1600022A,602,233,N,,VBM PORTION,59,34,22,
CULVER CITY,1600022A,602,233,N,651,TOTAL,215,153,55,
CULVER CITY,1600024A,603,233,N,1216,POLLING PLACE,269,209,53,
CULVER CITY,1600024A,603,233,N,,VBM PORTION,111,80,28,
CULVER CITY,1600024A,603,233,N,1216,TOTAL,380,289,81,
CULVER CITY,1600025A,604,233,N,955,POLLING PLACE,285,219,56,
CULVER CITY,1600025A,604,233,N,,VBM PORTION,123,91,24,
CULVER CITY,1600025A,604,233,N,955,TOTAL,408,310,80,
CULVER CITY,1600027C,605,233,N,646,POLLING PLACE,188,143,31,
CULVER CITY,1600027C,605,233,N,,VBM PORTION,74,51,17,
CULVER CITY,1600027C,605,233,N,646,TOTAL,262,194,48,
CULVER CITY,1600028A,606,233,N,1254,POLLING PLACE,272,174,79,
CULVER CITY,1600028A,606,233,N,,VBM PORTION,129,82,37,
CULVER CITY,1600028A,606,233,N,1254,TOTAL,401,256,116,
CULVER CITY,1600031C,607,233,N,1008,POLLING PLACE,244,178,44,
CULVER CITY,1600031C,607,233,N,,VBM PORTION,131,76,44,
CULVER CITY,1600031C,607,233,N,1008,TOTAL,375,254,88,
CULVER CITY,1600034A,608,233,N,1156,POLLING PLACE,304,206,83,
CULVER CITY,1600034A,608,233,N,,VBM PORTION,165,99,58,
CULVER CITY,1600034A,608,233,N,1156,TOTAL,469,305,141,
CULVER CITY,1600042A,609,233,N,768,POLLING PLACE,284,232,43,
CULVER CITY,1600042A,609,233,N,,VBM PORTION,107,78,22,
CULVER CITY,1600042A,609,233,N,768,TOTAL,391,310,65,
CULVER CITY,1600045A,610,233,N,962,POLLING PLACE,225,166,41,
CULVER CITY,1600045A,610,233,N,,VBM PORTION,97,67,26,
CULVER CITY,1600045A,610,233,N,962,TOTAL,322,233,67,
CULVER CITY,1600055A,611,233,N,1079,POLLING PLACE,302,249,30,
CULVER CITY,1600055A,611,233,N,,VBM PORTION,87,64,18,
CULVER CITY,1600055A,611,233,N,1079,TOTAL,389,313,48,
CULVER CITY,1600073A,612,233,N,1197,POLLING PLACE,248,188,46,
CULVER CITY,1600073A,612,233,N,,VBM PORTION,74,54,15,
CULVER CITY,1600073A,612,233,N,1197,TOTAL,322,242,61,
CULVER CITY,1600074B,613,233,N,1091,POLLING PLACE,282,236,37,
CULVER CITY,1600074B,613,233,N,,VBM PORTION,117,90,18,
CULVER CITY,1600074B,613,233,N,1091,TOTAL,399,326,55,
CULVER CITY,1600076A,614,233,N,1125,POLLING PLACE,268,219,31,
CULVER CITY,1600076A,614,233,N,,VBM PORTION,82,68,10,
CULVER CITY,1600076A,614,233,N,1125,TOTAL,350,287,41,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,65,1,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,21,4,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,86,5,
LADERA HEIGHTS,3430001A,1264,231,N,1296,POLLING PLACE,425,368,31,
LADERA HEIGHTS,3430001A,1264,231,N,,VBM PORTION,115,84,26,
LADERA HEIGHTS,3430001A,1264,231,N,1296,TOTAL,540,452,57,
LADERA HEIGHTS,3430003C,6121,233,Y,308,POLLING PLACE,,,,
LADERA HEIGHTS,3430003C,6121,233,Y,,VBM PORTION,43,37,6,
LADERA HEIGHTS,3430003C,6121,233,Y,308,TOTAL,43,37,6,
LADERA HEIGHTS,3430004A,1265,230,N,1242,POLLING PLACE,361,312,31,
LADERA HEIGHTS,3430004A,1265,230,N,,VBM PORTION,127,101,23,
LADERA HEIGHTS,3430004A,1265,230,N,1242,TOTAL,488,413,54,
LADERA HEIGHTS,3430005B,6122,232,Y,,POLLING PLACE,,,,
