LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATTY LOPEZ,RAUL BOCANEGRA,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,TOTAL,,,,
CANYON COUNTRY,1020192G,6041,64,Y,26,POLLING PLACE,,,,
CANYON COUNTRY,1020192G,6041,64,Y,,VBM PORTION,13,6,2,
CANYON COUNTRY,1020192G,6041,64,Y,26,TOTAL,13,6,2,
CANYON COUNTRY,1020192X,6042,64,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,TOTAL,,,,
NEWHALL,4700004A,6165,62,Y,,POLLING PLACE,,,,
NEWHALL,4700004A,6165,62,Y,,VBM PORTION,,,,
NEWHALL,4700004A,6165,62,Y,,TOTAL,,,,
NEWHALL,4700009A,6167,69,Y,,POLLING PLACE,,,,
NEWHALL,4700009A,6167,69,Y,,VBM PORTION,,,,
NEWHALL,4700009A,6167,69,Y,,TOTAL,,,,
NEWHALL,4700011B,6168,63,Y,,POLLING PLACE,,,,
NEWHALL,4700011B,6168,63,Y,,VBM PORTION,,,,
NEWHALL,4700011B,6168,63,Y,,TOTAL,,,,
SAN FERNANDO,6050001A,2310,55,N,825,POLLING PLACE,149,67,69,
SAN FERNANDO,6050001A,2310,55,N,,VBM PORTION,30,12,17,
SAN FERNANDO,6050001A,2310,55,N,825,TOTAL,179,79,86,
SAN FERNANDO,6050002A,2311,55,N,756,POLLING PLACE,141,52,80,
SAN FERNANDO,6050002A,2311,55,N,,VBM PORTION,36,17,17,
SAN FERNANDO,6050002A,2311,55,N,756,TOTAL,177,69,97,
SAN FERNANDO,6050005A,2312,55,N,1137,POLLING PLACE,201,85,84,
SAN FERNANDO,6050005A,2312,55,N,,VBM PORTION,49,20,21,
SAN FERNANDO,6050005A,2312,55,N,1137,TOTAL,250,105,105,
SAN FERNANDO,6050007A,2313,55,N,1154,POLLING PLACE,220,80,98,
SAN FERNANDO,6050007A,2313,55,N,,VBM PORTION,68,25,34,
SAN FERNANDO,6050007A,2313,55,N,1154,TOTAL,288,105,132,
SAN FERNANDO,6050009A,2314,55,N,1095,POLLING PLACE,222,84,121,
SAN FERNANDO,6050009A,2314,55,N,,VBM PORTION,36,20,14,
SAN FERNANDO,6050009A,2314,55,N,1095,TOTAL,258,104,135,
SAN FERNANDO,6050010A,2315,55,N,688,POLLING PLACE,129,70,48,
SAN FERNANDO,6050010A,2315,55,N,,VBM PORTION,25,6,13,
SAN FERNANDO,6050010A,2315,55,N,688,TOTAL,154,76,61,
SAN FERNANDO,6050012A,2316,55,N,966,POLLING PLACE,156,76,72,
SAN FERNANDO,6050012A,2316,55,N,,VBM PORTION,39,13,23,
SAN FERNANDO,6050012A,2316,55,N,966,TOTAL,195,89,95,
