LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
BURBANK,0950001A,296,103,N,1191,POLLING PLACE,276,81,183,
BURBANK,0950001A,296,103,N,,VBM PORTION,117,48,63,
BURBANK,0950001A,296,103,N,1191,TOTAL,393,129,246,
BURBANK,0950005B,297,103,N,1237,POLLING PLACE,217,69,133,
BURBANK,0950005B,297,103,N,,VBM PORTION,107,39,63,
BURBANK,0950005B,297,103,N,1237,TOTAL,324,108,196,
BURBANK,0950008A,298,103,N,993,POLLING PLACE,215,73,134,
BURBANK,0950008A,298,103,N,,VBM PORTION,106,39,58,
BURBANK,0950008A,298,103,N,993,TOTAL,321,112,192,
BURBANK,0950009A,299,103,N,1287,POLLING PLACE,255,107,127,
BURBANK,0950009A,299,103,N,,VBM PORTION,148,67,69,
BURBANK,0950009A,299,103,N,1287,TOTAL,403,174,196,
BURBANK,0950011A,300,103,N,435,POLLING PLACE,89,27,59,
BURBANK,0950011A,300,103,N,,VBM PORTION,53,15,33,
BURBANK,0950011A,300,103,N,435,TOTAL,142,42,92,
BURBANK,0950012A,301,106,N,1172,POLLING PLACE,240,80,149,
BURBANK,0950012A,301,106,N,,VBM PORTION,111,35,68,
BURBANK,0950012A,301,106,N,1172,TOTAL,351,115,217,
BURBANK,0950013B,302,103,N,1152,POLLING PLACE,225,108,103,
BURBANK,0950013B,302,103,N,,VBM PORTION,127,73,43,
BURBANK,0950013B,302,103,N,1152,TOTAL,352,181,146,
BURBANK,0950015A,303,103,N,1245,POLLING PLACE,135,39,87,
BURBANK,0950015A,303,103,N,,VBM PORTION,142,33,98,
BURBANK,0950015A,303,103,N,1245,TOTAL,277,72,185,
BURBANK,0950016A,304,95,N,1175,POLLING PLACE,282,87,175,
BURBANK,0950016A,304,95,N,,VBM PORTION,115,43,61,
BURBANK,0950016A,304,95,N,1175,TOTAL,397,130,236,
BURBANK,0950018A,305,103,N,549,POLLING PLACE,63,18,35,
BURBANK,0950018A,305,103,N,,VBM PORTION,29,7,21,
BURBANK,0950018A,305,103,N,549,TOTAL,92,25,56,
BURBANK,0950019A,306,103,N,1197,POLLING PLACE,201,74,121,
BURBANK,0950019A,306,103,N,,VBM PORTION,69,29,37,
BURBANK,0950019A,306,103,N,1197,TOTAL,270,103,158,
BURBANK,0950022A,307,103,N,901,POLLING PLACE,144,45,93,
BURBANK,0950022A,307,103,N,,VBM PORTION,52,20,30,
BURBANK,0950022A,307,103,N,901,TOTAL,196,65,123,
BURBANK,0950024C,308,103,N,1211,POLLING PLACE,240,109,121,
BURBANK,0950024C,308,103,N,,VBM PORTION,141,59,73,
BURBANK,0950024C,308,103,N,1211,TOTAL,381,168,194,
BURBANK,0950025A,309,103,N,785,POLLING PLACE,230,91,131,
BURBANK,0950025A,309,103,N,,VBM PORTION,78,27,46,
BURBANK,0950025A,309,103,N,785,TOTAL,308,118,177,
BURBANK,0950027A,310,103,N,1224,POLLING PLACE,158,42,106,
BURBANK,0950027A,310,103,N,,VBM PORTION,65,14,42,
BURBANK,0950027A,310,103,N,1224,TOTAL,223,56,148,
BURBANK,0950031A,311,103,N,1072,POLLING PLACE,301,97,195,
BURBANK,0950031A,311,103,N,,VBM PORTION,102,37,58,
BURBANK,0950031A,311,103,N,1072,TOTAL,403,134,253,
BURBANK,0950032A,312,103,N,776,POLLING PLACE,200,70,124,
BURBANK,0950032A,312,103,N,,VBM PORTION,81,43,31,
BURBANK,0950032A,312,103,N,776,TOTAL,281,113,155,
BURBANK,0950035A,313,95,N,788,POLLING PLACE,157,40,108,
BURBANK,0950035A,313,95,N,,VBM PORTION,49,12,36,
BURBANK,0950035A,313,95,N,788,TOTAL,206,52,144,
BURBANK,0950040A,314,106,N,858,POLLING PLACE,194,82,104,
BURBANK,0950040A,314,106,N,,VBM PORTION,61,23,35,
BURBANK,0950040A,314,106,N,858,TOTAL,255,105,139,
BURBANK,0950042A,315,103,N,904,POLLING PLACE,93,22,67,
BURBANK,0950042A,315,103,N,,VBM PORTION,48,13,32,
BURBANK,0950042A,315,103,N,904,TOTAL,141,35,99,
BURBANK,0950131A,316,103,N,1014,POLLING PLACE,224,64,155,
BURBANK,0950131A,316,103,N,,VBM PORTION,99,19,70,
BURBANK,0950131A,316,103,N,1014,TOTAL,323,83,225,
BURBANK,0950132A,317,103,N,1163,POLLING PLACE,198,73,110,
BURBANK,0950132A,317,103,N,,VBM PORTION,90,37,49,
BURBANK,0950132A,317,103,N,1163,TOTAL,288,110,159,
BURBANK,0950134A,318,103,N,1180,POLLING PLACE,328,130,185,
BURBANK,0950134A,318,103,N,,VBM PORTION,104,41,57,
BURBANK,0950134A,318,103,N,1180,TOTAL,432,171,242,
BURBANK,0950135A,319,103,N,1299,POLLING PLACE,238,109,118,
BURBANK,0950135A,319,103,N,,VBM PORTION,163,75,70,
BURBANK,0950135A,319,103,N,1299,TOTAL,401,184,188,
BURBANK,0950137A,320,103,N,836,POLLING PLACE,181,80,87,
BURBANK,0950137A,320,103,N,,VBM PORTION,92,51,32,
BURBANK,0950137A,320,103,N,836,TOTAL,273,131,119,
BURBANK,0950140A,321,103,N,995,POLLING PLACE,211,82,104,
BURBANK,0950140A,321,103,N,,VBM PORTION,117,57,46,
BURBANK,0950140A,321,103,N,995,TOTAL,328,139,150,
BURBANK,0950142A,322,103,N,1179,POLLING PLACE,210,63,141,
BURBANK,0950142A,322,103,N,,VBM PORTION,81,20,56,
BURBANK,0950142A,322,103,N,1179,TOTAL,291,83,197,
BURBANK,0950144A,323,103,N,1269,POLLING PLACE,210,57,137,
BURBANK,0950144A,323,103,N,,VBM PORTION,103,26,64,
BURBANK,0950144A,323,103,N,1269,TOTAL,313,83,201,
BURBANK,0950146A,324,103,N,1210,POLLING PLACE,250,91,150,
BURBANK,0950146A,324,103,N,,VBM PORTION,69,25,40,
BURBANK,0950146A,324,103,N,1210,TOTAL,319,116,190,
BURBANK,0950149A,325,103,N,920,POLLING PLACE,154,63,74,
BURBANK,0950149A,325,103,N,,VBM PORTION,118,69,46,
BURBANK,0950149A,325,103,N,920,TOTAL,272,132,120,
BURBANK,0950151A,326,103,N,1278,POLLING PLACE,186,53,122,
BURBANK,0950151A,326,103,N,,VBM PORTION,119,29,85,
BURBANK,0950151A,326,103,N,1278,TOTAL,305,82,207,
BURBANK,0950154A,327,103,N,1116,POLLING PLACE,142,33,96,
BURBANK,0950154A,327,103,N,,VBM PORTION,133,36,80,
BURBANK,0950154A,327,103,N,1116,TOTAL,275,69,176,
BURBANK,0950155A,328,103,N,1266,POLLING PLACE,207,50,148,
BURBANK,0950155A,328,103,N,,VBM PORTION,88,23,62,
BURBANK,0950155A,328,103,N,1266,TOTAL,295,73,210,
BURBANK,0950157A,329,103,N,948,POLLING PLACE,107,26,75,
BURBANK,0950157A,329,103,N,,VBM PORTION,57,9,42,
BURBANK,0950157A,329,103,N,948,TOTAL,164,35,117,
BURBANK,0950158B,330,103,N,1158,POLLING PLACE,221,62,139,
BURBANK,0950158B,330,103,N,,VBM PORTION,51,17,28,
BURBANK,0950158B,330,103,N,1158,TOTAL,272,79,167,
BURBANK,0950160A,331,103,N,1100,POLLING PLACE,184,45,133,
BURBANK,0950160A,331,103,N,,VBM PORTION,55,25,27,
BURBANK,0950160A,331,103,N,1100,TOTAL,239,70,160,
BURBANK,0950161A,332,103,N,1152,POLLING PLACE,227,89,126,
BURBANK,0950161A,332,103,N,,VBM PORTION,108,44,55,
BURBANK,0950161A,332,103,N,1152,TOTAL,335,133,181,
