LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,18,60,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,18,24,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,36,84,
CENTINELA,1060002A,6048,329,Y,,POLLING PLACE,,,,
CENTINELA,1060002A,6048,329,Y,,VBM PORTION,,,,
CENTINELA,1060002A,6048,329,Y,,TOTAL,,,,
DEL AIRE,1680001A,615,338,N,825,POLLING PLACE,175,66,96,
DEL AIRE,1680001A,615,338,N,,VBM PORTION,54,26,24,
DEL AIRE,1680001A,615,338,N,825,TOTAL,229,92,120,
DEL AIRE,1680002B,616,338,N,956,POLLING PLACE,263,119,125,
DEL AIRE,1680002B,616,338,N,,VBM PORTION,71,41,22,
DEL AIRE,1680002B,616,338,N,956,TOTAL,334,160,147,
DEL AIRE,1680003A,617,338,N,861,POLLING PLACE,205,90,107,
DEL AIRE,1680003A,617,338,N,,VBM PORTION,70,28,38,
DEL AIRE,1680003A,617,338,N,861,TOTAL,275,118,145,
DEL AIRE,1680004A,618,338,N,765,POLLING PLACE,164,82,72,
DEL AIRE,1680004A,618,338,N,,VBM PORTION,60,36,19,
DEL AIRE,1680004A,618,338,N,765,TOTAL,224,118,91,
DEL AIRE,1680005A,619,338,N,410,POLLING PLACE,80,28,51,
DEL AIRE,1680005A,619,338,N,,VBM PORTION,19,11,6,
DEL AIRE,1680005A,619,338,N,410,TOTAL,99,39,57,
DEL AIRE,1680006C,620,338,N,642,POLLING PLACE,111,42,65,
DEL AIRE,1680006C,620,338,N,,VBM PORTION,46,19,26,
DEL AIRE,1680006C,620,338,N,642,TOTAL,157,61,91,
DEL AIRE,1680007A,621,338,N,985,POLLING PLACE,206,77,123,
DEL AIRE,1680007A,621,338,N,,VBM PORTION,48,17,26,
DEL AIRE,1680007A,621,338,N,985,TOTAL,254,94,149,
EL CAMINO VILLAGE,2080002A,795,385,N,1339,POLLING PLACE,89,19,68,
EL CAMINO VILLAGE,2080002A,795,385,N,,VBM PORTION,78,14,57,
EL CAMINO VILLAGE,2080002A,795,385,N,1339,TOTAL,167,33,125,
EL CAMINO VILLAGE,2080003A,796,385,N,616,POLLING PLACE,165,89,70,
EL CAMINO VILLAGE,2080003A,796,385,N,,VBM PORTION,45,26,14,
EL CAMINO VILLAGE,2080003A,796,385,N,616,TOTAL,210,115,84,
EL CAMINO VILLAGE,2080004A,797,385,N,1129,POLLING PLACE,178,80,92,
EL CAMINO VILLAGE,2080004A,797,385,N,,VBM PORTION,109,63,44,
EL CAMINO VILLAGE,2080004A,797,385,N,1129,TOTAL,287,143,136,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,POLLING PLACE,,,,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,VBM PORTION,,,,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,TOTAL,,,,
EL CAMINO VILLAGE,2080005A,798,385,N,923,POLLING PLACE,232,109,114,
EL CAMINO VILLAGE,2080005A,798,385,N,,VBM PORTION,61,21,34,
EL CAMINO VILLAGE,2080005A,798,385,N,923,TOTAL,293,130,148,
GARDENA,2500001A,874,339,N,822,POLLING PLACE,242,14,218,
GARDENA,2500001A,874,339,N,,VBM PORTION,56,6,49,
GARDENA,2500001A,874,339,N,822,TOTAL,298,20,267,
GARDENA,2500002A,875,335,N,994,POLLING PLACE,295,15,268,
GARDENA,2500002A,875,335,N,,VBM PORTION,72,4,67,
GARDENA,2500002A,875,335,N,994,TOTAL,367,19,335,
GARDENA,2500003A,876,385,N,1018,POLLING PLACE,225,91,124,
GARDENA,2500003A,876,385,N,,VBM PORTION,90,43,45,
GARDENA,2500003A,876,385,N,1018,TOTAL,315,134,169,
GARDENA,2500005A,877,339,N,777,POLLING PLACE,185,13,168,
GARDENA,2500005A,877,339,N,,VBM PORTION,60,10,48,
GARDENA,2500005A,877,339,N,777,TOTAL,245,23,216,
GARDENA,2500007A,878,335,N,967,POLLING PLACE,242,11,223,
GARDENA,2500007A,878,335,N,,VBM PORTION,71,4,65,
GARDENA,2500007A,878,335,N,967,TOTAL,313,15,288,
GARDENA,2500008A,879,335,N,1106,POLLING PLACE,208,8,194,
GARDENA,2500008A,879,335,N,,VBM PORTION,93,9,78,
GARDENA,2500008A,879,335,N,1106,TOTAL,301,17,272,
GARDENA,2500010A,880,385,N,1075,POLLING PLACE,221,84,129,
GARDENA,2500010A,880,385,N,,VBM PORTION,93,41,47,
GARDENA,2500010A,880,385,N,1075,TOTAL,314,125,176,
GARDENA,2500012A,881,385,N,812,POLLING PLACE,106,30,71,
GARDENA,2500012A,881,385,N,,VBM PORTION,65,12,52,
GARDENA,2500012A,881,385,N,812,TOTAL,171,42,123,
GARDENA,2500013A,882,385,N,1363,POLLING PLACE,159,48,102,
GARDENA,2500013A,882,385,N,,VBM PORTION,97,32,60,
GARDENA,2500013A,882,385,N,1363,TOTAL,256,80,162,
GARDENA,2500016A,883,385,N,1177,POLLING PLACE,253,98,142,
GARDENA,2500016A,883,385,N,,VBM PORTION,115,40,68,
GARDENA,2500016A,883,385,N,1177,TOTAL,368,138,210,
GARDENA,2500018A,884,385,N,1253,POLLING PLACE,203,54,139,
GARDENA,2500018A,884,385,N,,VBM PORTION,110,26,79,
GARDENA,2500018A,884,385,N,1253,TOTAL,313,80,218,
GARDENA,2500019A,885,385,N,1420,POLLING PLACE,169,41,123,
GARDENA,2500019A,885,385,N,,VBM PORTION,113,31,65,
GARDENA,2500019A,885,385,N,1420,TOTAL,282,72,188,
GARDENA,2500020B,886,385,N,1586,POLLING PLACE,152,36,108,
GARDENA,2500020B,886,385,N,,VBM PORTION,78,19,55,
GARDENA,2500020B,886,385,N,1586,TOTAL,230,55,163,
GARDENA,2500021C,887,335,N,1005,POLLING PLACE,151,19,127,
GARDENA,2500021C,887,335,N,,VBM PORTION,78,12,60,
GARDENA,2500021C,887,335,N,1005,TOTAL,229,31,187,
GARDENA,2500021E,888,335,N,675,POLLING PLACE,85,11,69,
GARDENA,2500021E,888,335,N,,VBM PORTION,19,6,13,
GARDENA,2500021E,888,335,N,675,TOTAL,104,17,82,
GARDENA,2500023A,889,385,N,1530,POLLING PLACE,153,33,115,
GARDENA,2500023A,889,385,N,,VBM PORTION,111,27,81,
GARDENA,2500023A,889,385,N,1530,TOTAL,264,60,196,
GARDENA,2500026A,890,385,N,1024,POLLING PLACE,142,33,102,
