LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACQUI IRWIN,ROB MCCOY,
WESTLAKE VILLAGE,7770001A,2913,107,N,645,POLLING PLACE,127,53,64,
WESTLAKE VILLAGE,7770001A,2913,107,N,,VBM PORTION,69,26,39,
WESTLAKE VILLAGE,7770001A,2913,107,N,645,TOTAL,196,79,103,
WESTLAKE VILLAGE,7770002A,2914,107,N,970,POLLING PLACE,267,130,123,
WESTLAKE VILLAGE,7770002A,2914,107,N,,VBM PORTION,142,63,70,
WESTLAKE VILLAGE,7770002A,2914,107,N,970,TOTAL,409,193,193,
WESTLAKE VILLAGE,7770002B,2915,107,N,1099,POLLING PLACE,291,119,155,
WESTLAKE VILLAGE,7770002B,2915,107,N,,VBM PORTION,188,67,107,
WESTLAKE VILLAGE,7770002B,2915,107,N,1099,TOTAL,479,186,262,
WESTLAKE VILLAGE,7770011A,2916,107,N,1051,POLLING PLACE,294,112,169,
WESTLAKE VILLAGE,7770011A,2916,107,N,,VBM PORTION,123,50,66,
WESTLAKE VILLAGE,7770011A,2916,107,N,1051,TOTAL,417,162,235,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,POLLING PLACE,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,VBM PORTION,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,TOTAL,,,,
WESTLAKE VILLAGE,7770013A,2917,107,N,1048,POLLING PLACE,337,158,156,
WESTLAKE VILLAGE,7770013A,2917,107,N,,VBM PORTION,96,38,48,
WESTLAKE VILLAGE,7770013A,2917,107,N,1048,TOTAL,433,196,204,
WESTLAKE VILLAGE,7770080A,2918,107,N,957,POLLING PLACE,207,91,99,
WESTLAKE VILLAGE,7770080A,2918,107,N,,VBM PORTION,130,63,58,
WESTLAKE VILLAGE,7770080A,2918,107,N,957,TOTAL,337,154,157,
BALLOT GROUP 107,9990107A,8107,107,N,,POLLING PLACE,,,,
BALLOT GROUP 107,9990107A,8107,107,N,,VBM PORTION,,,,
BALLOT GROUP 107,9990107A,8107,107,N,,TOTAL,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,POLLING PLACE,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,VBM PORTION,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,TOTAL,,,,
