LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ADRIN NAZARIAN,ZACHARY TAYLOR,
UNIVERSAL,7300001A,6252,125,Y,,POLLING PLACE,,,,
UNIVERSAL,7300001A,6252,125,Y,,VBM PORTION,,,,
UNIVERSAL,7300001A,6252,125,Y,,TOTAL,,,,
LOS ANGELES,9000058A,3017,126,N,1174,POLLING PLACE,223,144,67,
LOS ANGELES,9000058A,3017,126,N,,VBM PORTION,52,32,17,
LOS ANGELES,9000058A,3017,126,N,1174,TOTAL,275,176,84,
LOS ANGELES,9000072A,3028,121,N,1149,POLLING PLACE,187,93,79,
LOS ANGELES,9000072A,3028,121,N,,VBM PORTION,76,44,25,
LOS ANGELES,9000072A,3028,121,N,1149,TOTAL,263,137,104,
LOS ANGELES,9000073A,3029,121,N,1190,POLLING PLACE,347,157,166,
LOS ANGELES,9000073A,3029,121,N,,VBM PORTION,60,27,29,
LOS ANGELES,9000073A,3029,121,N,1190,TOTAL,407,184,195,
LOS ANGELES,9000082A,3035,121,N,1298,POLLING PLACE,259,132,110,
LOS ANGELES,9000082A,3035,121,N,,VBM PORTION,101,57,38,
LOS ANGELES,9000082A,3035,121,N,1298,TOTAL,360,189,148,
LOS ANGELES,9000083A,3036,126,N,990,POLLING PLACE,207,116,73,
LOS ANGELES,9000083A,3036,126,N,,VBM PORTION,44,26,16,
LOS ANGELES,9000083A,3036,126,N,990,TOTAL,251,142,89,
LOS ANGELES,9000086A,3038,126,N,948,POLLING PLACE,216,134,71,
LOS ANGELES,9000086A,3038,126,N,,VBM PORTION,61,35,22,
LOS ANGELES,9000086A,3038,126,N,948,TOTAL,277,169,93,
LOS ANGELES,9000088A,3040,121,N,1081,POLLING PLACE,148,115,24,
LOS ANGELES,9000088A,3040,121,N,,VBM PORTION,42,31,9,
LOS ANGELES,9000088A,3040,121,N,1081,TOTAL,190,146,33,
LOS ANGELES,9000089A,3041,121,N,1060,POLLING PLACE,147,116,23,
LOS ANGELES,9000089A,3041,121,N,,VBM PORTION,45,27,15,
LOS ANGELES,9000089A,3041,121,N,1060,TOTAL,192,143,38,
LOS ANGELES,9000102A,3053,121,N,1027,POLLING PLACE,163,103,49,
LOS ANGELES,9000102A,3053,121,N,,VBM PORTION,66,40,25,
LOS ANGELES,9000102A,3053,121,N,1027,TOTAL,229,143,74,
LOS ANGELES,9000127A,3065,124,N,1197,POLLING PLACE,187,126,48,
LOS ANGELES,9000127A,3065,124,N,,VBM PORTION,74,55,18,
LOS ANGELES,9000127A,3065,124,N,1197,TOTAL,261,181,66,
LOS ANGELES,9000135B,3072,124,N,1170,POLLING PLACE,164,107,45,
