LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,E TORRES SIEGRIST,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,132,55,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,42,23,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,174,78,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,99,23,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,31,14,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,130,37,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,142,94,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,51,44,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,193,138,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,125,51,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,48,8,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,173,59,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,120,52,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,49,6,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,169,58,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,188,71,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,76,31,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,264,102,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,127,31,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,48,15,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,175,46,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,96,40,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,43,8,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,139,48,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,125,70,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,48,22,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,173,92,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,98,68,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,28,37,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,126,105,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,129,41,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,32,14,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,161,55,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,105,52,
