LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,6,7,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,6,7,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,63,99,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,23,52,
AGOURA,0070004A,8,190,N,710,TOTAL,252,86,151,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,79,56,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,16,24,
AGOURA,0070004C,9,191,N,369,TOTAL,185,95,80,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,6,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,6,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,167,121,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,68,61,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,235,182,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,9,8,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,9,8,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,99,77,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,29,32,
AGOURA,0070041A,11,189,N,675,TOTAL,260,128,109,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,4,5,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,4,5,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,130,128,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,59,47,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,189,175,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,102,79,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,46,44,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,148,123,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,148,131,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,74,87,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,222,218,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,112,83,
