LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER,
BELL,0700001A,198,347,N,957,POLLING PLACE,136,119,15,
BELL,0700001A,198,347,N,,VBM PORTION,26,21,5,
BELL,0700001A,198,347,N,957,TOTAL,162,140,20,
BELL,0700002A,199,347,N,967,POLLING PLACE,154,120,25,
BELL,0700002A,199,347,N,,VBM PORTION,17,12,4,
BELL,0700002A,199,347,N,967,TOTAL,171,132,29,
BELL,0700005A,200,347,N,1135,POLLING PLACE,122,96,21,
BELL,0700005A,200,347,N,,VBM PORTION,41,32,4,
BELL,0700005A,200,347,N,1135,TOTAL,163,128,25,
BELL,0700007B,201,347,N,1146,POLLING PLACE,165,132,22,
BELL,0700007B,201,347,N,,VBM PORTION,38,22,12,
BELL,0700007B,201,347,N,1146,TOTAL,203,154,34,
BELL,0700008A,202,347,N,1081,POLLING PLACE,179,143,28,
BELL,0700008A,202,347,N,,VBM PORTION,27,17,10,
BELL,0700008A,202,347,N,1081,TOTAL,206,160,38,
BELL,0700010A,203,347,N,1170,POLLING PLACE,152,119,24,
BELL,0700010A,203,347,N,,VBM PORTION,51,38,10,
BELL,0700010A,203,347,N,1170,TOTAL,203,157,34,
BELL,0700011A,204,347,N,1142,POLLING PLACE,201,153,32,
BELL,0700011A,204,347,N,,VBM PORTION,37,19,16,
BELL,0700011A,204,347,N,1142,TOTAL,238,172,48,
BELL,0700013A,205,347,N,1002,POLLING PLACE,160,118,30,
BELL,0700013A,205,347,N,,VBM PORTION,48,23,18,
BELL,0700013A,205,347,N,1002,TOTAL,208,141,48,
BELL,0700017A,206,347,N,887,POLLING PLACE,147,112,19,
BELL,0700017A,206,347,N,,VBM PORTION,29,18,11,
BELL,0700017A,206,347,N,887,TOTAL,176,130,30,
BELL,0700018A,207,347,N,1047,POLLING PLACE,189,141,36,
BELL,0700018A,207,347,N,,VBM PORTION,17,10,7,
BELL,0700018A,207,347,N,1047,TOTAL,206,151,43,
CUDAHY,1550001A,584,347,N,990,POLLING PLACE,140,102,29,
CUDAHY,1550001A,584,347,N,,VBM PORTION,28,19,8,
CUDAHY,1550001A,584,347,N,990,TOTAL,168,121,37,
CUDAHY,1550002A,6059,349,Y,,POLLING PLACE,,,,
CUDAHY,1550002A,6059,349,Y,,VBM PORTION,,,,
CUDAHY,1550002A,6059,349,Y,,TOTAL,,,,
CUDAHY,1550005A,585,347,N,1070,POLLING PLACE,139,116,15,
CUDAHY,1550005A,585,347,N,,VBM PORTION,18,15,3,
CUDAHY,1550005A,585,347,N,1070,TOTAL,157,131,18,
CUDAHY,1550006A,586,347,N,1091,POLLING PLACE,143,110,22,
CUDAHY,1550006A,586,347,N,,VBM PORTION,26,20,3,
CUDAHY,1550006A,586,347,N,1091,TOTAL,169,130,25,
CUDAHY,1550009A,587,347,N,942,POLLING PLACE,138,113,17,
CUDAHY,1550009A,587,347,N,,VBM PORTION,18,12,3,
CUDAHY,1550009A,587,347,N,942,TOTAL,156,125,20,
CUDAHY,1550010A,588,347,N,987,POLLING PLACE,131,109,18,
CUDAHY,1550010A,588,347,N,,VBM PORTION,29,18,9,
CUDAHY,1550010A,588,347,N,987,TOTAL,160,127,27,
CUDAHY,1550020A,589,347,N,1222,POLLING PLACE,168,133,20,
CUDAHY,1550020A,589,347,N,,VBM PORTION,33,22,5,
CUDAHY,1550020A,589,347,N,1222,TOTAL,201,155,25,
EAST COMPTON,1960030A,6069,352,Y,,POLLING PLACE,,,,
EAST COMPTON,1960030A,6069,352,Y,,VBM PORTION,,,,
EAST COMPTON,1960030A,6069,352,Y,,TOTAL,,,,
EAST COMPTON,1960031A,6070,354,Y,,POLLING PLACE,,,,
EAST COMPTON,1960031A,6070,354,Y,,VBM PORTION,,,,
EAST COMPTON,1960031A,6070,354,Y,,TOTAL,,,,
HAWAIIAN GARDENS,2650001A,1048,341,N,1132,POLLING PLACE,149,92,46,
HAWAIIAN GARDENS,2650001A,1048,341,N,,VBM PORTION,99,59,31,
HAWAIIAN GARDENS,2650001A,1048,341,N,1132,TOTAL,248,151,77,
HAWAIIAN GARDENS,2650004A,1049,341,N,1236,POLLING PLACE,174,111,50,
HAWAIIAN GARDENS,2650004A,1049,341,N,,VBM PORTION,80,33,36,
HAWAIIAN GARDENS,2650004A,1049,341,N,1236,TOTAL,254,144,86,
HAWAIIAN GARDENS,2650005A,1050,341,N,1177,POLLING PLACE,182,122,42,
HAWAIIAN GARDENS,2650005A,1050,341,N,,VBM PORTION,51,28,9,
HAWAIIAN GARDENS,2650005A,1050,341,N,1177,TOTAL,233,150,51,
HAWAIIAN GARDENS,2650006A,1051,341,N,891,POLLING PLACE,99,75,12,
HAWAIIAN GARDENS,2650006A,1051,341,N,,VBM PORTION,30,21,6,
HAWAIIAN GARDENS,2650006A,1051,341,N,891,TOTAL,129,96,18,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,POLLING PLACE,,,,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,VBM PORTION,,,,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,TOTAL,,,,
HUNTINGTON PARK,2850002A,6098,347,Y,,POLLING PLACE,,,,
HUNTINGTON PARK,2850002A,6098,347,Y,,VBM PORTION,,,,
HUNTINGTON PARK,2850002A,6098,347,Y,,TOTAL,,,,
LAKEWOOD,3450001A,1269,346,N,826,POLLING PLACE,171,103,61,
LAKEWOOD,3450001A,1269,346,N,,VBM PORTION,38,17,18,
LAKEWOOD,3450001A,1269,346,N,826,TOTAL,209,120,79,
LAKEWOOD,3450002A,1270,341,N,1042,POLLING PLACE,186,81,97,
LAKEWOOD,3450002A,1270,341,N,,VBM PORTION,74,33,37,
LAKEWOOD,3450002A,1270,341,N,1042,TOTAL,260,114,134,
LAKEWOOD,3450003A,1271,342,N,794,POLLING PLACE,194,85,94,
LAKEWOOD,3450003A,1271,342,N,,VBM PORTION,52,19,25,
LAKEWOOD,3450003A,1271,342,N,794,TOTAL,246,104,119,
LAKEWOOD,3450004A,1272,342,N,910,POLLING PLACE,187,77,93,
LAKEWOOD,3450004A,1272,342,N,,VBM PORTION,67,21,44,
LAKEWOOD,3450004A,1272,342,N,910,TOTAL,254,98,137,
LAKEWOOD,3450007A,1273,346,N,938,POLLING PLACE,204,76,109,
LAKEWOOD,3450007A,1273,346,N,,VBM PORTION,46,20,23,
LAKEWOOD,3450007A,1273,346,N,938,TOTAL,250,96,132,
LAKEWOOD,3450008A,1274,342,N,829,POLLING PLACE,172,65,91,
LAKEWOOD,3450008A,1274,342,N,,VBM PORTION,47,23,18,
LAKEWOOD,3450008A,1274,342,N,829,TOTAL,219,88,109,
LAKEWOOD,3450009A,1275,342,N,837,POLLING PLACE,164,67,85,
LAKEWOOD,3450009A,1275,342,N,,VBM PORTION,50,23,26,
LAKEWOOD,3450009A,1275,342,N,837,TOTAL,214,90,111,
LAKEWOOD,3450010A,1276,342,N,1147,POLLING PLACE,286,105,164,
LAKEWOOD,3450010A,1276,342,N,,VBM PORTION,91,35,50,
LAKEWOOD,3450010A,1276,342,N,1147,TOTAL,377,140,214,
LAKEWOOD,3450013A,1277,346,N,1014,POLLING PLACE,206,105,95,
LAKEWOOD,3450013A,1277,346,N,,VBM PORTION,87,37,44,
LAKEWOOD,3450013A,1277,346,N,1014,TOTAL,293,142,139,
LAKEWOOD,3450013B,1278,346,N,1210,POLLING PLACE,244,111,107,
LAKEWOOD,3450013B,1278,346,N,,VBM PORTION,80,38,29,
LAKEWOOD,3450013B,1278,346,N,1210,TOTAL,324,149,136,
LAKEWOOD,3450016A,1279,342,N,1092,POLLING PLACE,230,98,106,
LAKEWOOD,3450016A,1279,342,N,,VBM PORTION,75,20,49,
LAKEWOOD,3450016A,1279,342,N,1092,TOTAL,305,118,155,
LAKEWOOD,3450019A,1280,342,N,1200,POLLING PLACE,242,99,121,
LAKEWOOD,3450019A,1280,342,N,,VBM PORTION,112,44,58,
LAKEWOOD,3450019A,1280,342,N,1200,TOTAL,354,143,179,
LAKEWOOD,3450020A,1281,346,N,1064,POLLING PLACE,218,105,95,
LAKEWOOD,3450020A,1281,346,N,,VBM PORTION,82,43,32,
LAKEWOOD,3450020A,1281,346,N,1064,TOTAL,300,148,127,
LAKEWOOD,3450021A,1282,342,N,1118,POLLING PLACE,256,108,130,
LAKEWOOD,3450021A,1282,342,N,,VBM PORTION,70,30,35,
LAKEWOOD,3450021A,1282,342,N,1118,TOTAL,326,138,165,
LAKEWOOD,3450023A,1283,342,N,1220,POLLING PLACE,252,107,138,
LAKEWOOD,3450023A,1283,342,N,,VBM PORTION,82,41,37,
LAKEWOOD,3450023A,1283,342,N,1220,TOTAL,334,148,175,
LAKEWOOD,3450025B,1284,346,N,738,POLLING PLACE,90,59,25,
LAKEWOOD,3450025B,1284,346,N,,VBM PORTION,32,17,12,
LAKEWOOD,3450025B,1284,346,N,738,TOTAL,122,76,37,
LAKEWOOD,3450028A,1285,342,N,925,POLLING PLACE,221,93,111,
LAKEWOOD,3450028A,1285,342,N,,VBM PORTION,78,23,53,
LAKEWOOD,3450028A,1285,342,N,925,TOTAL,299,116,164,
LAKEWOOD,3450030A,1286,345,N,845,POLLING PLACE,180,104,65,
LAKEWOOD,3450030A,1286,345,N,,VBM PORTION,44,22,20,
LAKEWOOD,3450030A,1286,345,N,845,TOTAL,224,126,85,
LAKEWOOD,3450031A,1287,345,N,1014,POLLING PLACE,219,117,85,
LAKEWOOD,3450031A,1287,345,N,,VBM PORTION,68,40,24,
LAKEWOOD,3450031A,1287,345,N,1014,TOTAL,287,157,109,
LAKEWOOD,3450032A,1288,345,N,556,POLLING PLACE,98,49,41,
LAKEWOOD,3450032A,1288,345,N,,VBM PORTION,19,9,8,
LAKEWOOD,3450032A,1288,345,N,556,TOTAL,117,58,49,
LAKEWOOD,3450034A,1289,346,N,857,POLLING PLACE,175,97,61,
LAKEWOOD,3450034A,1289,346,N,,VBM PORTION,68,37,25,
LAKEWOOD,3450034A,1289,346,N,857,TOTAL,243,134,86,
LAKEWOOD,3450035A,1290,346,N,879,POLLING PLACE,156,78,66,
LAKEWOOD,3450035A,1290,346,N,,VBM PORTION,51,31,19,
LAKEWOOD,3450035A,1290,346,N,879,TOTAL,207,109,85,
LAKEWOOD,3450037A,1291,346,N,967,POLLING PLACE,208,109,75,
LAKEWOOD,3450037A,1291,346,N,,VBM PORTION,80,46,29,
LAKEWOOD,3450037A,1291,346,N,967,TOTAL,288,155,104,
LAKEWOOD,3450038A,1292,346,N,932,POLLING PLACE,172,90,69,
LAKEWOOD,3450038A,1292,346,N,,VBM PORTION,63,30,29,
LAKEWOOD,3450038A,1292,346,N,932,TOTAL,235,120,98,
