LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,
AVALON,0500001A,129,388,N,460,POLLING PLACE,102,54,41,
AVALON,0500001A,129,388,N,,VBM PORTION,56,19,33,
AVALON,0500001A,129,388,N,460,TOTAL,158,73,74,
AVALON,0500003A,130,388,N,1161,POLLING PLACE,249,133,98,
AVALON,0500003A,130,388,N,,VBM PORTION,135,45,84,
AVALON,0500003A,130,388,N,1161,TOTAL,384,178,182,
BONNER,0930001A,294,396,N,983,POLLING PLACE,257,115,122,
BONNER,0930001A,294,396,N,,VBM PORTION,93,43,39,
BONNER,0930001A,294,396,N,983,TOTAL,350,158,161,
LA RAMBLA,3350001A,1241,395,N,971,POLLING PLACE,142,89,45,
LA RAMBLA,3350001A,1241,395,N,,VBM PORTION,71,42,26,
LA RAMBLA,3350001A,1241,395,N,971,TOTAL,213,131,71,
LONG BEACH,3850002A,6144,396,Y,2,POLLING PLACE,,,,
LONG BEACH,3850002A,6144,396,Y,,VBM PORTION,,,,
LONG BEACH,3850002A,6144,396,Y,2,TOTAL,,,,
LONG BEACH,3850003A,1419,396,N,377,POLLING PLACE,,,,
LONG BEACH,3850003A,1419,396,N,,VBM PORTION,1,,1,
LONG BEACH,3850003A,1419,396,N,377,TOTAL,1,,1,
LONG BEACH,3850007A,1422,396,N,1140,POLLING PLACE,124,86,26,
LONG BEACH,3850007A,1422,396,N,,VBM PORTION,72,51,15,
LONG BEACH,3850007A,1422,396,N,1140,TOTAL,196,137,41,
LONG BEACH,3850010A,1425,396,N,1175,POLLING PLACE,135,107,19,
LONG BEACH,3850010A,1425,396,N,,VBM PORTION,25,18,6,
LONG BEACH,3850010A,1425,396,N,1175,TOTAL,160,125,25,
LONG BEACH,3850012A,1426,396,N,1440,POLLING PLACE,216,148,58,
LONG BEACH,3850012A,1426,396,N,,VBM PORTION,148,81,57,
LONG BEACH,3850012A,1426,396,N,1440,TOTAL,364,229,115,
LONG BEACH,3850021A,1433,396,N,1091,POLLING PLACE,105,92,9,
LONG BEACH,3850021A,1433,396,N,,VBM PORTION,34,25,7,
LONG BEACH,3850021A,1433,396,N,1091,TOTAL,139,117,16,
LONG BEACH,3850025A,1435,396,N,972,POLLING PLACE,101,70,20,
LONG BEACH,3850025A,1435,396,N,,VBM PORTION,38,26,4,
LONG BEACH,3850025A,1435,396,N,972,TOTAL,139,96,24,
LONG BEACH,3850030A,1439,396,N,980,POLLING PLACE,124,100,19,
LONG BEACH,3850030A,1439,396,N,,VBM PORTION,36,25,9,
LONG BEACH,3850030A,1439,396,N,980,TOTAL,160,125,28,
LONG BEACH,3850034A,1444,396,N,899,POLLING PLACE,36,23,12,
LONG BEACH,3850034A,1444,396,N,,VBM PORTION,25,12,12,
LONG BEACH,3850034A,1444,396,N,899,TOTAL,61,35,24,
LONG BEACH,3850036A,1446,396,N,902,POLLING PLACE,134,102,24,
LONG BEACH,3850036A,1446,396,N,,VBM PORTION,62,54,7,
LONG BEACH,3850036A,1446,396,N,902,TOTAL,196,156,31,
LONG BEACH,3850040A,1449,396,N,1079,POLLING PLACE,42,31,10,
LONG BEACH,3850040A,1449,396,N,,VBM PORTION,18,12,5,
LONG BEACH,3850040A,1449,396,N,1079,TOTAL,60,43,15,
LONG BEACH,3850044D,1452,396,N,1065,POLLING PLACE,263,166,83,
LONG BEACH,3850044D,1452,396,N,,VBM PORTION,100,62,31,
LONG BEACH,3850044D,1452,396,N,1065,TOTAL,363,228,114,
LONG BEACH,3850045A,1453,396,N,946,POLLING PLACE,183,116,53,
LONG BEACH,3850045A,1453,396,N,,VBM PORTION,44,34,8,
LONG BEACH,3850045A,1453,396,N,946,TOTAL,227,150,61,
LONG BEACH,3850046A,1454,396,N,682,POLLING PLACE,49,37,10,
LONG BEACH,3850046A,1454,396,N,,VBM PORTION,16,11,4,
LONG BEACH,3850046A,1454,396,N,682,TOTAL,65,48,14,
LONG BEACH,3850047A,1455,396,N,1201,POLLING PLACE,74,58,14,
LONG BEACH,3850047A,1455,396,N,,VBM PORTION,33,20,12,
LONG BEACH,3850047A,1455,396,N,1201,TOTAL,107,78,26,
LONG BEACH,3850048A,1456,392,N,1108,POLLING PLACE,190,122,55,
LONG BEACH,3850048A,1456,392,N,,VBM PORTION,95,58,32,
LONG BEACH,3850048A,1456,392,N,1108,TOTAL,285,180,87,
LONG BEACH,3850049A,1457,396,N,1002,POLLING PLACE,124,89,27,
LONG BEACH,3850049A,1457,396,N,,VBM PORTION,29,17,10,
LONG BEACH,3850049A,1457,396,N,1002,TOTAL,153,106,37,
LONG BEACH,3850052A,1458,392,N,807,POLLING PLACE,173,94,65,
LONG BEACH,3850052A,1458,392,N,,VBM PORTION,91,55,32,
LONG BEACH,3850052A,1458,392,N,807,TOTAL,264,149,97,
LONG BEACH,3850053A,1459,396,N,1035,POLLING PLACE,152,111,34,
LONG BEACH,3850053A,1459,396,N,,VBM PORTION,77,50,24,
LONG BEACH,3850053A,1459,396,N,1035,TOTAL,229,161,58,
LONG BEACH,3850055A,1460,396,N,939,POLLING PLACE,158,116,34,
LONG BEACH,3850055A,1460,396,N,,VBM PORTION,41,27,11,
LONG BEACH,3850055A,1460,396,N,939,TOTAL,199,143,45,
LONG BEACH,3850065A,1464,396,N,926,POLLING PLACE,187,105,75,
LONG BEACH,3850065A,1464,396,N,,VBM PORTION,107,43,55,
LONG BEACH,3850065A,1464,396,N,926,TOTAL,294,148,130,
LONG BEACH,3850067B,1465,396,N,1063,POLLING PLACE,247,138,97,
LONG BEACH,3850067B,1465,396,N,,VBM PORTION,118,68,45,
LONG BEACH,3850067B,1465,396,N,1063,TOTAL,365,206,142,
LONG BEACH,3850070A,1467,396,N,912,POLLING PLACE,177,105,55,
LONG BEACH,3850070A,1467,396,N,,VBM PORTION,59,32,25,
LONG BEACH,3850070A,1467,396,N,912,TOTAL,236,137,80,
LONG BEACH,3850071A,1468,396,N,871,POLLING PLACE,178,118,50,
LONG BEACH,3850071A,1468,396,N,,VBM PORTION,47,31,14,
LONG BEACH,3850071A,1468,396,N,871,TOTAL,225,149,64,
LONG BEACH,3850072A,1469,396,N,941,POLLING PLACE,135,96,29,
LONG BEACH,3850072A,1469,396,N,,VBM PORTION,44,27,13,
LONG BEACH,3850072A,1469,396,N,941,TOTAL,179,123,42,
LONG BEACH,3850075A,1470,396,N,864,POLLING PLACE,164,98,60,
LONG BEACH,3850075A,1470,396,N,,VBM PORTION,73,46,23,
LONG BEACH,3850075A,1470,396,N,864,TOTAL,237,144,83,
LONG BEACH,3850076A,1471,396,N,1063,POLLING PLACE,156,110,37,
LONG BEACH,3850076A,1471,396,N,,VBM PORTION,77,42,32,
LONG BEACH,3850076A,1471,396,N,1063,TOTAL,233,152,69,
LONG BEACH,3850081A,1472,396,N,1166,POLLING PLACE,235,151,73,
LONG BEACH,3850081A,1472,396,N,,VBM PORTION,124,75,45,
LONG BEACH,3850081A,1472,396,N,1166,TOTAL,359,226,118,
LONG BEACH,3850082A,1473,396,N,922,POLLING PLACE,182,122,53,
