LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,113,101,
ACTON,0050003A,1,13,N,,VBM PORTION,110,42,33,
ACTON,0050003A,1,13,N,1044,TOTAL,418,155,134,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,44,26,
ACTON,0050004B,2,13,N,,VBM PORTION,93,31,29,
ACTON,0050004B,2,13,N,576,TOTAL,221,75,55,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,74,55,
ACTON,0050005A,3,13,N,,VBM PORTION,71,30,20,
ACTON,0050005A,3,13,N,713,TOTAL,269,104,75,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,62,52,
ACTON,0050014A,4,23,N,,VBM PORTION,87,35,18,
ACTON,0050014A,4,23,N,695,TOTAL,259,97,70,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,5,7,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,5,7,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,113,75,
ACTON,0050059A,5,13,N,,VBM PORTION,113,33,33,
ACTON,0050059A,5,13,N,1169,TOTAL,412,146,108,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,109,85,
ACTON,0050061A,6,13,N,,VBM PORTION,132,50,44,
ACTON,0050061A,6,13,N,1105,TOTAL,409,159,129,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,52,25,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,47,23,
AGOURA,0070001A,7,115,N,862,TOTAL,262,99,48,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,6,4,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,6,4,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,79,39,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,35,20,
AGOURA,0070004A,8,190,N,710,TOTAL,252,114,59,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,73,18,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,16,7,
AGOURA,0070004C,9,191,N,369,TOTAL,185,89,25,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,6,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,6,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,161,39,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,68,23,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,229,62,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,2,3,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,2,3,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,76,42,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,27,10,
AGOURA,0070041A,11,189,N,675,TOTAL,260,103,52,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,3,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,3,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,130,49,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,56,16,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,186,65,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,92,38,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,45,16,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,137,54,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,145,38,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,70,35,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,215,73,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,94,39,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,38,16,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,132,55,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,131,33,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,40,15,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,171,48,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,142,36,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,52,23,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,194,59,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,131,77,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,51,33,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,182,110,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,96,36,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,37,20,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,133,56,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,140,52,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,69,30,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,209,82,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,135,47,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,62,18,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,197,65,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,131,53,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,70,30,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,201,83,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,131,54,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,77,18,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,208,72,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,117,71,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,44,25,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,161,96,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,71,39,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,33,11,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,104,50,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,46,37,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,24,16,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,70,53,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,15,2,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,15,2,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,1,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,1,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,112,38,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,38,11,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,150,49,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,62,23,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,27,10,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,89,33,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,125,47,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,47,12,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,172,59,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,100,35,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,36,9,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,136,44,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,99,33,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,32,6,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,131,39,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,132,49,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,49,25,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,181,74,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,99,26,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,30,11,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,129,37,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,73,29,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,29,4,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,102,33,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,104,44,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,39,6,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,143,50,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,88,38,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,25,19,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,113,57,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,95,32,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,28,5,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,123,37,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,87,29,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,50,31,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,137,60,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,107,46,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,27,19,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,134,65,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,118,38,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,32,16,
