LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,97,107,
ACTON,0050003A,1,13,N,,VBM PORTION,110,32,34,
ACTON,0050003A,1,13,N,1044,TOTAL,418,129,141,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,36,31,
ACTON,0050004B,2,13,N,,VBM PORTION,93,22,27,
ACTON,0050004B,2,13,N,576,TOTAL,221,58,58,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,68,58,
ACTON,0050005A,3,13,N,,VBM PORTION,71,26,21,
ACTON,0050005A,3,13,N,713,TOTAL,269,94,79,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,44,62,
ACTON,0050014A,4,23,N,,VBM PORTION,87,23,25,
ACTON,0050014A,4,23,N,695,TOTAL,259,67,87,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,3,7,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,3,7,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,86,90,
ACTON,0050059A,5,13,N,,VBM PORTION,113,31,31,
ACTON,0050059A,5,13,N,1169,TOTAL,412,117,121,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,87,94,
ACTON,0050061A,6,13,N,,VBM PORTION,132,45,42,
ACTON,0050061A,6,13,N,1105,TOTAL,409,132,136,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,46,23,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,35,33,
AGOURA,0070001A,7,115,N,862,TOTAL,262,81,56,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,7,2,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,7,2,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,54,53,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,25,21,
AGOURA,0070004A,8,190,N,710,TOTAL,252,79,74,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,63,24,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,16,7,
AGOURA,0070004C,9,191,N,369,TOTAL,185,79,31,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,149,33,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,58,17,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,207,50,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,4,1,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,4,1,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,60,53,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,26,10,
AGOURA,0070041A,11,189,N,675,TOTAL,260,86,63,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,2,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,2,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,101,61,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,46,21,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,147,82,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,82,33,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,47,11,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,129,44,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,121,44,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,59,33,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,180,77,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,82,41,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,32,12,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,114,53,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,114,43,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,35,13,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,149,56,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,125,42,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,46,24,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,171,66,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,121,73,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,43,33,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,164,106,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,83,37,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,32,16,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,115,53,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,125,59,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,56,33,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,181,92,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,124,50,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,51,23,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,175,73,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,115,47,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,52,36,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,167,83,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,116,59,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,58,20,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,174,79,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,94,79,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,37,29,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,131,108,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,49,55,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,24,9,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,73,64,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,35,46,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,17,20,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,52,66,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,6,10,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,6,10,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,1,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,1,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,102,35,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,33,11,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,135,46,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,57,20,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,33,2,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,90,22,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,114,53,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,41,14,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,155,67,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,97,33,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,34,6,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,131,39,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,88,40,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,28,8,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,116,48,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,124,52,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,56,16,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,180,68,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,92,25,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,28,7,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,120,32,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,71,29,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,33,,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,104,29,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,86,56,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,30,10,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,116,66,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,85,34,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,16,22,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,101,56,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,94,28,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,25,6,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,119,34,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,72,32,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,43,28,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,115,60,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,105,43,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,33,8,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,138,51,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,98,41,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,34,10,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,132,51,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,42,16,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,19,7,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,61,23,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,60,28,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,29,6,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,89,34,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,81,26,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,33,11,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,114,37,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,101,49,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,46,13,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,147,62,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,2,,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,2,,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,74,30,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,9,5,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,83,35,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,107,37,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,39,2,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,146,39,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,68,18,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,43,13,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,111,31,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,58,11,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,25,2,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,83,13,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,66,29,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,25,9,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,91,38,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,53,27,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,35,9,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,88,36,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,37,17,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,12,7,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,49,24,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,43,18,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,27,4,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,70,22,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,79,32,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,33,18,
