LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAMALA D HARRIS,RONALD GOLD,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,64,232,
ACTON,0050003A,1,13,N,,VBM PORTION,110,23,81,
ACTON,0050003A,1,13,N,1044,TOTAL,418,87,313,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,22,101,
ACTON,0050004B,2,13,N,,VBM PORTION,93,22,67,
ACTON,0050004B,2,13,N,576,TOTAL,221,44,168,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,48,140,
ACTON,0050005A,3,13,N,,VBM PORTION,71,18,52,
ACTON,0050005A,3,13,N,713,TOTAL,269,66,192,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,37,132,
ACTON,0050014A,4,23,N,,VBM PORTION,87,24,62,
ACTON,0050014A,4,23,N,695,TOTAL,259,61,194,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,5,14,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,5,14,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,85,207,
ACTON,0050059A,5,13,N,,VBM PORTION,113,25,82,
ACTON,0050059A,5,13,N,1169,TOTAL,412,110,289,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,70,195,
ACTON,0050061A,6,13,N,,VBM PORTION,132,40,83,
ACTON,0050061A,6,13,N,1105,TOTAL,409,110,278,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,65,65,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,44,77,
AGOURA,0070001A,7,115,N,862,TOTAL,262,109,142,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,6,8,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,6,8,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,66,94,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,31,51,
AGOURA,0070004A,8,190,N,710,TOTAL,252,97,145,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,85,48,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,18,21,
AGOURA,0070004C,9,191,N,369,TOTAL,185,103,69,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,6,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,6,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,181,114,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,68,57,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,249,171,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,11,6,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,11,6,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,107,77,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,27,37,
AGOURA,0070041A,11,189,N,675,TOTAL,260,134,114,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,4,4,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,4,4,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,142,124,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,61,55,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,203,179,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,114,72,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,46,44,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,160,116,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,157,130,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,84,80,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,241,210,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,109,91,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,40,35,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,149,126,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,142,104,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,47,53,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,189,157,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,165,111,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,51,70,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,216,181,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,142,157,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,81,53,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,223,210,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,95,98,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,49,33,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,144,131,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,180,121,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,61,72,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,241,193,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,162,104,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,51,60,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,213,164,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,155,150,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,71,86,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,226,236,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,132,157,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,63,73,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,195,230,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,85,191,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,24,86,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,109,277,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,48,125,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,27,45,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,75,170,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,22,101,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,17,42,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,39,143,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,7,14,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,7,14,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,2,4,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,2,4,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,2,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,2,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,140,48,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,45,22,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,185,70,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,91,26,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,32,14,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,123,40,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,151,83,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,57,41,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,208,124,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,121,57,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,46,11,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,167,68,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,127,44,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,38,16,
