LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVEN A BROOKS,ED COLLEY,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
CANYON COUNTRY,1020005A,6036,38,Y,4,POLLING PLACE,,,,
CANYON COUNTRY,1020005A,6036,38,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020005A,6036,38,Y,4,TOTAL,,,,
CANYON COUNTRY,1020007A,6037,10,Y,45,POLLING PLACE,,,,
CANYON COUNTRY,1020007A,6037,10,Y,,VBM PORTION,10,5,2,
CANYON COUNTRY,1020007A,6037,10,Y,45,TOTAL,10,5,2,
CANYON COUNTRY,1020014A,364,38,N,575,POLLING PLACE,87,31,35,
CANYON COUNTRY,1020014A,364,38,N,,VBM PORTION,62,19,26,
CANYON COUNTRY,1020014A,364,38,N,575,TOTAL,149,50,61,
CANYON COUNTRY,1020017B,6038,38,Y,209,POLLING PLACE,,,,
CANYON COUNTRY,1020017B,6038,38,Y,,VBM PORTION,57,21,16,
CANYON COUNTRY,1020017B,6038,38,Y,209,TOTAL,57,21,16,
CANYON COUNTRY,1020022A,6039,67,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,TOTAL,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,TOTAL,,,,
CANYON COUNTRY,1020192G,6041,64,Y,26,POLLING PLACE,,,,
CANYON COUNTRY,1020192G,6041,64,Y,,VBM PORTION,13,4,4,
CANYON COUNTRY,1020192G,6041,64,Y,26,TOTAL,13,4,4,
CANYON COUNTRY,1020192X,6042,64,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,TOTAL,,,,
CANYON COUNTRY,1020244A,365,19,N,576,POLLING PLACE,117,37,47,
CANYON COUNTRY,1020244A,365,19,N,,VBM PORTION,55,16,13,
CANYON COUNTRY,1020244A,365,19,N,576,TOTAL,172,53,60,
NEWHALL,4700004A,6165,62,Y,,POLLING PLACE,,,,
NEWHALL,4700004A,6165,62,Y,,VBM PORTION,,,,
NEWHALL,4700004A,6165,62,Y,,TOTAL,,,,
NEWHALL,4700005A,6166,38,Y,67,POLLING PLACE,,,,
NEWHALL,4700005A,6166,38,Y,,VBM PORTION,14,1,6,
NEWHALL,4700005A,6166,38,Y,67,TOTAL,14,1,6,
SANTA CLARITA,6220005A,2346,36,N,1251,POLLING PLACE,256,63,112,
SANTA CLARITA,6220005A,2346,36,N,,VBM PORTION,128,38,60,
SANTA CLARITA,6220005A,2346,36,N,1251,TOTAL,384,101,172,
SANTA CLARITA,6220023E,6207,36,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220023E,6207,36,Y,,VBM PORTION,,,,
