LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,C J SALGADO,ELBA ROMO,MARIO GOMEZ,J GARDEA-STINNETT,ARTURO CHACON,ANTHONY FELIX JR,
BELL,0700001A,198,347,N,957,POLLING PLACE,136,39,33,9,12,21,5,
BELL,0700001A,198,347,N,,VBM PORTION,26,1,3,1,,13,3,
BELL,0700001A,198,347,N,957,TOTAL,162,40,36,10,12,34,8,
BELL,0700002A,199,347,N,967,POLLING PLACE,154,48,26,5,16,30,3,
BELL,0700002A,199,347,N,,VBM PORTION,17,6,2,2,,4,,
BELL,0700002A,199,347,N,967,TOTAL,171,54,28,7,16,34,3,
BELL,0700005A,200,347,N,1135,POLLING PLACE,122,17,37,9,10,30,2,
BELL,0700005A,200,347,N,,VBM PORTION,41,6,4,,6,14,,
BELL,0700005A,200,347,N,1135,TOTAL,163,23,41,9,16,44,2,
BELL,0700007B,201,347,N,1146,POLLING PLACE,165,39,30,10,11,48,6,
BELL,0700007B,201,347,N,,VBM PORTION,38,7,8,2,2,11,2,
BELL,0700007B,201,347,N,1146,TOTAL,203,46,38,12,13,59,8,
BELL,0700008A,202,347,N,1081,POLLING PLACE,179,37,44,17,25,31,3,
BELL,0700008A,202,347,N,,VBM PORTION,27,,7,2,5,8,2,
BELL,0700008A,202,347,N,1081,TOTAL,206,37,51,19,30,39,5,
BELL,0700010A,203,347,N,1170,POLLING PLACE,152,26,45,9,24,21,2,
BELL,0700010A,203,347,N,,VBM PORTION,51,5,7,4,5,26,,
BELL,0700010A,203,347,N,1170,TOTAL,203,31,52,13,29,47,2,
BELL,0700011A,204,347,N,1142,POLLING PLACE,201,43,54,19,15,36,5,
BELL,0700011A,204,347,N,,VBM PORTION,37,4,15,,,13,2,
BELL,0700011A,204,347,N,1142,TOTAL,238,47,69,19,15,49,7,
BELL,0700013A,205,347,N,1002,POLLING PLACE,160,22,40,15,13,33,4,
BELL,0700013A,205,347,N,,VBM PORTION,48,5,7,2,5,19,,
BELL,0700013A,205,347,N,1002,TOTAL,208,27,47,17,18,52,4,
BELL,0700017A,206,347,N,887,POLLING PLACE,147,29,38,9,16,26,2,
BELL,0700017A,206,347,N,,VBM PORTION,29,8,6,1,4,5,1,
BELL,0700017A,206,347,N,887,TOTAL,176,37,44,10,20,31,3,
BELL,0700018A,207,347,N,1047,POLLING PLACE,189,41,33,25,22,35,7,
BELL,0700018A,207,347,N,,VBM PORTION,17,3,1,1,,7,3,
BELL,0700018A,207,347,N,1047,TOTAL,206,44,34,26,22,42,10,
BELVEDERE,0850001A,257,199,N,837,POLLING PLACE,154,31,27,24,15,35,5,
BELVEDERE,0850001A,257,199,N,,VBM PORTION,20,,1,,7,10,,
BELVEDERE,0850001A,257,199,N,837,TOTAL,174,31,28,24,22,45,5,
BELVEDERE,0850004A,258,201,N,950,POLLING PLACE,114,14,21,20,6,27,5,
BELVEDERE,0850004A,258,201,N,,VBM PORTION,32,6,1,6,2,14,1,
BELVEDERE,0850004A,258,201,N,950,TOTAL,146,20,22,26,8,41,6,
BELVEDERE,0850005A,259,199,N,941,POLLING PLACE,165,30,37,16,15,35,6,
BELVEDERE,0850005A,259,199,N,,VBM PORTION,29,6,6,1,2,10,,
BELVEDERE,0850005A,259,199,N,941,TOTAL,194,36,43,17,17,45,6,
BELVEDERE,0850006A,260,201,N,888,POLLING PLACE,150,27,30,15,13,43,4,
BELVEDERE,0850006A,260,201,N,,VBM PORTION,35,7,6,1,3,8,1,
BELVEDERE,0850006A,260,201,N,888,TOTAL,185,34,36,16,16,51,5,
BELVEDERE,0850007A,261,199,N,1028,POLLING PLACE,137,34,31,19,17,18,3,
BELVEDERE,0850007A,261,199,N,,VBM PORTION,31,6,4,1,2,15,1,
BELVEDERE,0850007A,261,199,N,1028,TOTAL,168,40,35,20,19,33,4,
BELVEDERE,0850009A,262,199,N,905,POLLING PLACE,118,28,22,18,10,18,2,
BELVEDERE,0850009A,262,199,N,,VBM PORTION,31,3,1,,7,12,1,
BELVEDERE,0850009A,262,199,N,905,TOTAL,149,31,23,18,17,30,3,
BELVEDERE,0850011B,263,201,N,838,POLLING PLACE,114,25,20,12,12,25,2,
BELVEDERE,0850011B,263,201,N,,VBM PORTION,36,4,4,3,5,15,,
BELVEDERE,0850011B,263,201,N,838,TOTAL,150,29,24,15,17,40,2,
BELVEDERE,0850012C,264,199,N,791,POLLING PLACE,126,30,18,11,9,33,4,
BELVEDERE,0850012C,264,199,N,,VBM PORTION,14,1,1,1,2,7,,
BELVEDERE,0850012C,264,199,N,791,TOTAL,140,31,19,12,11,40,4,
BELVEDERE,0850013A,265,201,N,943,POLLING PLACE,167,44,26,14,13,30,6,
BELVEDERE,0850013A,265,201,N,,VBM PORTION,45,7,8,2,4,17,,
BELVEDERE,0850013A,265,201,N,943,TOTAL,212,51,34,16,17,47,6,
BELVEDERE,0850014A,266,199,N,819,POLLING PLACE,95,22,18,11,10,24,1,
BELVEDERE,0850014A,266,199,N,,VBM PORTION,25,4,3,2,,14,,
BELVEDERE,0850014A,266,199,N,819,TOTAL,120,26,21,13,10,38,1,
BELVEDERE,0850015B,267,199,N,929,POLLING PLACE,115,19,14,10,11,37,7,
BELVEDERE,0850015B,267,199,N,,VBM PORTION,21,3,5,2,1,7,,
BELVEDERE,0850015B,267,199,N,929,TOTAL,136,22,19,12,12,44,7,
BELVEDERE,0850016A,268,199,N,780,POLLING PLACE,128,34,31,11,9,21,5,
BELVEDERE,0850016A,268,199,N,,VBM PORTION,22,2,3,,2,12,,
BELVEDERE,0850016A,268,199,N,780,TOTAL,150,36,34,11,11,33,5,
BELVEDERE,0850017A,269,199,N,1018,POLLING PLACE,157,33,29,10,9,39,8,
BELVEDERE,0850017A,269,199,N,,VBM PORTION,47,9,6,8,2,10,4,
BELVEDERE,0850017A,269,199,N,1018,TOTAL,204,42,35,18,11,49,12,
BELVEDERE,0850052A,270,201,N,1006,POLLING PLACE,171,37,36,23,11,37,,
BELVEDERE,0850052A,270,201,N,,VBM PORTION,44,6,8,2,6,15,,
BELVEDERE,0850052A,270,201,N,1006,TOTAL,215,43,44,25,17,52,,
BELVEDERE,0850056A,271,201,N,807,POLLING PLACE,141,31,39,11,8,28,1,
BELVEDERE,0850056A,271,201,N,,VBM PORTION,29,4,7,1,1,13,2,
BELVEDERE,0850056A,271,201,N,807,TOTAL,170,35,46,12,9,41,3,
BELVEDERE,0850058A,272,201,N,1120,POLLING PLACE,216,41,36,20,20,49,6,
BELVEDERE,0850058A,272,201,N,,VBM PORTION,38,7,3,3,1,17,,
BELVEDERE,0850058A,272,201,N,1120,TOTAL,254,48,39,23,21,66,6,
BELVEDERE,0850061A,273,199,N,1054,POLLING PLACE,130,29,19,12,5,33,4,
