LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARMIN REYES,SHIN LIU,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,65,82,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,43,70,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,108,152,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,90,62,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,35,27,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,125,89,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,71,71,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,13,35,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,84,106,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,75,63,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,27,48,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,102,111,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,72,70,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,19,65,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,91,135,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,68,39,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,42,44,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,110,83,
CERRITOS,1070001A,434,275,N,1006,POLLING PLACE,166,67,78,
CERRITOS,1070001A,434,275,N,,VBM PORTION,128,30,71,
CERRITOS,1070001A,434,275,N,1006,TOTAL,294,97,149,
CERRITOS,1070006A,438,275,N,927,POLLING PLACE,178,74,70,
CERRITOS,1070006A,438,275,N,,VBM PORTION,114,54,40,
CERRITOS,1070006A,438,275,N,927,TOTAL,292,128,110,
CERRITOS,1070007A,439,275,N,818,POLLING PLACE,143,59,60,
CERRITOS,1070007A,439,275,N,,VBM PORTION,80,23,41,
CERRITOS,1070007A,439,275,N,818,TOTAL,223,82,101,
CERRITOS,1070008A,440,275,N,779,POLLING PLACE,158,71,66,
CERRITOS,1070008A,440,275,N,,VBM PORTION,103,41,40,
CERRITOS,1070008A,440,275,N,779,TOTAL,261,112,106,
CERRITOS,1070010A,441,275,N,1262,POLLING PLACE,287,122,125,
CERRITOS,1070010A,441,275,N,,VBM PORTION,124,46,54,
