LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
CLAREMONT,1300001A,484,84,N,837,POLLING PLACE,150,95,46,
CLAREMONT,1300001A,484,84,N,,VBM PORTION,86,32,44,
CLAREMONT,1300001A,484,84,N,837,TOTAL,236,127,90,
CLAREMONT,1300002A,485,84,N,689,POLLING PLACE,195,127,57,
CLAREMONT,1300002A,485,84,N,,VBM PORTION,61,44,12,
CLAREMONT,1300002A,485,84,N,689,TOTAL,256,171,69,
CLAREMONT,1300003A,486,84,N,1189,POLLING PLACE,331,175,138,
CLAREMONT,1300003A,486,84,N,,VBM PORTION,97,40,52,
CLAREMONT,1300003A,486,84,N,1189,TOTAL,428,215,190,
CLAREMONT,1300004A,487,84,N,1236,POLLING PLACE,97,65,22,
CLAREMONT,1300004A,487,84,N,,VBM PORTION,23,11,8,
CLAREMONT,1300004A,487,84,N,1236,TOTAL,120,76,30,
CLAREMONT,1300005A,488,84,N,910,POLLING PLACE,287,177,104,
CLAREMONT,1300005A,488,84,N,,VBM PORTION,95,54,35,
CLAREMONT,1300005A,488,84,N,910,TOTAL,382,231,139,
CLAREMONT,1300007A,489,84,N,1010,POLLING PLACE,237,158,62,
CLAREMONT,1300007A,489,84,N,,VBM PORTION,166,90,55,
CLAREMONT,1300007A,489,84,N,1010,TOTAL,403,248,117,
CLAREMONT,1300009A,490,84,N,1382,POLLING PLACE,475,396,66,
CLAREMONT,1300009A,490,84,N,,VBM PORTION,300,257,35,
CLAREMONT,1300009A,490,84,N,1382,TOTAL,775,653,101,
CLAREMONT,1300010A,6055,83,Y,,POLLING PLACE,,,,
CLAREMONT,1300010A,6055,83,Y,,VBM PORTION,,,,
CLAREMONT,1300010A,6055,83,Y,,TOTAL,,,,
CLAREMONT,1300012A,491,84,N,1189,POLLING PLACE,462,375,78,
CLAREMONT,1300012A,491,84,N,,VBM PORTION,138,86,42,
CLAREMONT,1300012A,491,84,N,1189,TOTAL,600,461,120,
CLAREMONT,1300014A,492,84,N,890,POLLING PLACE,290,185,98,
CLAREMONT,1300014A,492,84,N,,VBM PORTION,110,73,33,
CLAREMONT,1300014A,492,84,N,890,TOTAL,400,258,131,
CLAREMONT,1300018A,493,84,N,1163,POLLING PLACE,394,264,120,
CLAREMONT,1300018A,493,84,N,,VBM PORTION,144,95,36,
CLAREMONT,1300018A,493,84,N,1163,TOTAL,538,359,156,
CLAREMONT,1300019A,494,84,N,910,POLLING PLACE,290,220,58,
CLAREMONT,1300019A,494,84,N,,VBM PORTION,125,91,32,
CLAREMONT,1300019A,494,84,N,910,TOTAL,415,311,90,
CLAREMONT,1300020A,495,84,N,856,POLLING PLACE,272,189,75,
CLAREMONT,1300020A,495,84,N,,VBM PORTION,114,74,31,
CLAREMONT,1300020A,495,84,N,856,TOTAL,386,263,106,
CLAREMONT,1300021A,496,84,N,836,POLLING PLACE,312,220,84,
CLAREMONT,1300021A,496,84,N,,VBM PORTION,109,81,25,
CLAREMONT,1300021A,496,84,N,836,TOTAL,421,301,109,
CLAREMONT,1300023B,497,83,N,550,POLLING PLACE,122,68,46,
CLAREMONT,1300023B,497,83,N,,VBM PORTION,34,13,20,
CLAREMONT,1300023B,497,83,N,550,TOTAL,156,81,66,
CLAREMONT,1300025A,498,84,N,870,POLLING PLACE,290,208,72,
CLAREMONT,1300025A,498,84,N,,VBM PORTION,121,90,30,
CLAREMONT,1300025A,498,84,N,870,TOTAL,411,298,102,
CLAREMONT,1300026A,499,84,N,1128,POLLING PLACE,341,233,105,
CLAREMONT,1300026A,499,84,N,,VBM PORTION,126,82,35,
CLAREMONT,1300026A,499,84,N,1128,TOTAL,467,315,140,
CLAREMONT,1300029A,500,84,N,517,POLLING PLACE,135,80,47,
CLAREMONT,1300029A,500,84,N,,VBM PORTION,115,76,37,
CLAREMONT,1300029A,500,84,N,517,TOTAL,250,156,84,
CLAREMONT,1300037A,501,84,N,1117,POLLING PLACE,322,236,81,
CLAREMONT,1300037A,501,84,N,,VBM PORTION,139,104,33,
CLAREMONT,1300037A,501,84,N,1117,TOTAL,461,340,114,
CLAREMONT,1300039A,502,84,N,1184,POLLING PLACE,389,282,100,
CLAREMONT,1300039A,502,84,N,,VBM PORTION,165,106,58,
CLAREMONT,1300039A,502,84,N,1184,TOTAL,554,388,158,
CLAREMONT,1300042A,503,84,N,920,POLLING PLACE,322,227,87,
CLAREMONT,1300042A,503,84,N,,VBM PORTION,132,102,26,
CLAREMONT,1300042A,503,84,N,920,TOTAL,454,329,113,
CLAREMONT,1300062A,504,84,N,689,POLLING PLACE,200,128,68,
CLAREMONT,1300062A,504,84,N,,VBM PORTION,92,55,31,
CLAREMONT,1300062A,504,84,N,689,TOTAL,292,183,99,
CLAREMONT,1300063A,505,84,N,1057,POLLING PLACE,364,255,100,
CLAREMONT,1300063A,505,84,N,,VBM PORTION,130,97,28,
CLAREMONT,1300063A,505,84,N,1057,TOTAL,494,352,128,
BALLOT GROUP 83,9990083A,8083,83,N,,POLLING PLACE,,,,
BALLOT GROUP 83,9990083A,8083,83,N,,VBM PORTION,,,,
BALLOT GROUP 83,9990083A,8083,83,N,,TOTAL,,,,
BALLOT GROUP 84,9990084A,8084,84,N,,POLLING PLACE,,,,
BALLOT GROUP 84,9990084A,8084,84,N,,VBM PORTION,,,,
BALLOT GROUP 84,9990084A,8084,84,N,,TOTAL,,,,
