LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ARCADIA,0350058B,6023,157,Y,47,POLLING PLACE,,,,
ARCADIA,0350058B,6023,157,Y,,VBM PORTION,8,4,4,
ARCADIA,0350058B,6023,157,Y,47,TOTAL,8,4,4,
ARCADIA,0350101A,6024,158,Y,6,POLLING PLACE,,,,
ARCADIA,0350101A,6024,158,Y,,VBM PORTION,1,,1,
ARCADIA,0350101A,6024,158,Y,6,TOTAL,1,,1,
EAST ARCADIA,1940007A,741,165,N,519,POLLING PLACE,109,49,53,
EAST ARCADIA,1940007A,741,165,N,,VBM PORTION,32,13,14,
EAST ARCADIA,1940007A,741,165,N,519,TOTAL,141,62,67,
EAST ARCADIA,1940010A,743,157,N,1112,POLLING PLACE,259,143,108,
EAST ARCADIA,1940010A,743,157,N,,VBM PORTION,94,46,39,
EAST ARCADIA,1940010A,743,157,N,1112,TOTAL,353,189,147,
EAST ARCADIA,1940013A,745,157,N,863,POLLING PLACE,149,79,64,
EAST ARCADIA,1940013A,745,157,N,,VBM PORTION,101,57,38,
EAST ARCADIA,1940013A,745,157,N,863,TOTAL,250,136,102,
EL MONTE,2100001A,799,166,N,1069,POLLING PLACE,130,86,37,
EL MONTE,2100001A,799,166,N,,VBM PORTION,70,36,25,
EL MONTE,2100001A,799,166,N,1069,TOTAL,200,122,62,
EL MONTE,2100005A,800,166,N,861,POLLING PLACE,100,74,20,
EL MONTE,2100005A,800,166,N,,VBM PORTION,48,27,18,
EL MONTE,2100005A,800,166,N,861,TOTAL,148,101,38,
EL MONTE,2100006B,801,166,N,1014,POLLING PLACE,187,129,39,
EL MONTE,2100006B,801,166,N,,VBM PORTION,64,33,18,
EL MONTE,2100006B,801,166,N,1014,TOTAL,251,162,57,
EL MONTE,2100008B,803,165,N,990,POLLING PLACE,132,90,28,
EL MONTE,2100008B,803,165,N,,VBM PORTION,55,40,6,
EL MONTE,2100008B,803,165,N,990,TOTAL,187,130,34,
EL MONTE,2100013A,804,165,N,907,POLLING PLACE,133,93,32,
EL MONTE,2100013A,804,165,N,,VBM PORTION,40,31,3,
EL MONTE,2100013A,804,165,N,907,TOTAL,173,124,35,
EL MONTE,2100017A,806,166,N,488,POLLING PLACE,72,46,21,
EL MONTE,2100017A,806,166,N,,VBM PORTION,33,14,16,
EL MONTE,2100017A,806,166,N,488,TOTAL,105,60,37,
EL MONTE,2100019B,808,135,N,733,POLLING PLACE,112,77,27,
EL MONTE,2100019B,808,135,N,,VBM PORTION,31,22,4,
EL MONTE,2100019B,808,135,N,733,TOTAL,143,99,31,
EL MONTE,2100021A,809,135,N,1005,POLLING PLACE,137,86,41,
EL MONTE,2100021A,809,135,N,,VBM PORTION,45,30,12,
EL MONTE,2100021A,809,135,N,1005,TOTAL,182,116,53,
EL MONTE,2100024A,810,166,N,703,POLLING PLACE,119,80,28,
EL MONTE,2100024A,810,166,N,,VBM PORTION,35,24,9,
EL MONTE,2100024A,810,166,N,703,TOTAL,154,104,37,
EL MONTE,2100032A,814,135,N,361,POLLING PLACE,51,27,20,
EL MONTE,2100032A,814,135,N,,VBM PORTION,23,15,7,
EL MONTE,2100032A,814,135,N,361,TOTAL,74,42,27,
EL MONTE,2100033A,815,134,N,532,POLLING PLACE,54,40,10,
EL MONTE,2100033A,815,134,N,,VBM PORTION,34,25,5,
EL MONTE,2100033A,815,134,N,532,TOTAL,88,65,15,
EL MONTE,2100034A,816,135,N,425,POLLING PLACE,59,37,14,
