LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
HERMOSA BEACH,2750001A,1085,376,N,1068,POLLING PLACE,290,142,137,
HERMOSA BEACH,2750001A,1085,376,N,,VBM PORTION,159,65,84,
HERMOSA BEACH,2750001A,1085,376,N,1068,TOTAL,449,207,221,
HERMOSA BEACH,2750003A,1086,376,N,901,POLLING PLACE,311,135,166,
HERMOSA BEACH,2750003A,1086,376,N,,VBM PORTION,101,33,56,
HERMOSA BEACH,2750003A,1086,376,N,901,TOTAL,412,168,222,
HERMOSA BEACH,2750003B,1087,376,N,1013,POLLING PLACE,281,157,115,
HERMOSA BEACH,2750003B,1087,376,N,,VBM PORTION,150,64,77,
HERMOSA BEACH,2750003B,1087,376,N,1013,TOTAL,431,221,192,
HERMOSA BEACH,2750004A,1088,376,N,923,POLLING PLACE,211,113,92,
HERMOSA BEACH,2750004A,1088,376,N,,VBM PORTION,90,44,38,
HERMOSA BEACH,2750004A,1088,376,N,923,TOTAL,301,157,130,
HERMOSA BEACH,2750008A,1089,376,N,859,POLLING PLACE,188,86,95,
HERMOSA BEACH,2750008A,1089,376,N,,VBM PORTION,89,33,52,
HERMOSA BEACH,2750008A,1089,376,N,859,TOTAL,277,119,147,
HERMOSA BEACH,2750011A,1090,376,N,1041,POLLING PLACE,236,112,113,
HERMOSA BEACH,2750011A,1090,376,N,,VBM PORTION,113,53,47,
HERMOSA BEACH,2750011A,1090,376,N,1041,TOTAL,349,165,160,
HERMOSA BEACH,2750012A,1091,376,N,1277,POLLING PLACE,294,145,136,
HERMOSA BEACH,2750012A,1091,376,N,,VBM PORTION,200,98,87,
HERMOSA BEACH,2750012A,1091,376,N,1277,TOTAL,494,243,223,
HERMOSA BEACH,2750015A,1092,376,N,967,POLLING PLACE,226,136,77,
HERMOSA BEACH,2750015A,1092,376,N,,VBM PORTION,160,84,64,
HERMOSA BEACH,2750015A,1092,376,N,967,TOTAL,386,220,141,
HERMOSA BEACH,2750016A,1093,376,N,848,POLLING PLACE,253,139,102,
HERMOSA BEACH,2750016A,1093,376,N,,VBM PORTION,108,49,50,
HERMOSA BEACH,2750016A,1093,376,N,848,TOTAL,361,188,152,
HERMOSA BEACH,2750017A,1094,376,N,1269,POLLING PLACE,389,200,171,
HERMOSA BEACH,2750017A,1094,376,N,,VBM PORTION,179,87,78,
HERMOSA BEACH,2750017A,1094,376,N,1269,TOTAL,568,287,249,
HERMOSA BEACH,2750019A,1095,376,N,1276,POLLING PLACE,340,189,141,
HERMOSA BEACH,2750019A,1095,376,N,,VBM PORTION,150,90,53,
HERMOSA BEACH,2750019A,1095,376,N,1276,TOTAL,490,279,194,
HERMOSA BEACH,2750023A,1096,376,N,930,POLLING PLACE,190,105,75,
HERMOSA BEACH,2750023A,1096,376,N,,VBM PORTION,88,46,37,
HERMOSA BEACH,2750023A,1096,376,N,930,TOTAL,278,151,112,
BALLOT GROUP 376,9990376A,8376,376,N,,POLLING PLACE,,,,
BALLOT GROUP 376,9990376A,8376,376,N,,VBM PORTION,,,,
BALLOT GROUP 376,9990376A,8376,376,N,,TOTAL,,,,
