LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,80,161,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,26,59,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,106,220,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,103,147,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,27,83,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,130,230,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,175,124,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,35,37,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,210,161,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,173,132,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,37,36,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,210,168,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,113,111,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,55,84,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,168,195,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,123,99,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,41,32,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,164,131,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,123,79,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,52,31,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,175,110,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,136,178,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,64,69,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,200,247,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,135,175,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,38,52,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,173,227,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,101,235,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,27,84,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,128,319,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,109,89,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,49,37,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,158,126,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,180,104,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,33,30,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,213,134,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,82,74,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,20,20,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,102,94,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,80,83,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,28,18,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,108,101,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,174,165,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,36,44,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,210,209,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,66,127,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,21,57,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,87,184,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,100,111,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,47,56,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,147,167,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,166,114,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,38,25,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,204,139,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,157,101,
