LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUE HIMMELRICH,JERRY RUBIN,PAM O'CONNOR,TERENCE LATER,FRANK GRUBER,PHIL BROCK,NICK BOLES,WHITNEY SCOTT BAIN,ZOE MUNTANER,KEVIN MCKEOWN,RICHARD MCKINNON,JON MANN,MICHAEL FEINSTEIN,JENNIFER KENNEDY,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,81,14,70,48,64,83,11,9,8,83,60,14,30,32,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,31,1,32,22,21,27,2,4,5,27,14,4,14,8,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,112,15,102,70,85,110,13,13,13,110,74,18,44,40,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,96,8,74,45,63,70,6,22,8,98,56,6,41,34,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,32,4,35,24,38,32,3,2,4,35,28,2,15,21,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,128,12,109,69,101,102,9,24,12,133,84,8,56,55,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,146,15,89,18,50,73,23,13,10,144,53,20,41,81,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,35,3,34,2,13,18,5,3,,26,14,1,11,12,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,181,18,123,20,63,91,28,16,10,170,67,21,52,93,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,140,30,82,25,67,88,23,13,9,127,52,24,34,83,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,37,3,18,4,12,17,4,5,1,37,13,5,6,24,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,177,33,100,29,79,105,27,18,10,164,65,29,40,107,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,77,23,66,16,52,49,15,6,7,75,46,12,28,38,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,51,13,37,7,30,28,8,13,4,41,28,7,23,23,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,128,36,103,23,82,77,23,19,11,116,74,19,51,61,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,97,17,57,15,40,55,20,11,4,85,50,16,32,65,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,32,5,21,1,15,19,6,2,2,28,16,6,7,20,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,129,22,78,16,55,74,26,13,6,113,66,22,39,85,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,74,18,55,14,45,45,13,16,8,84,28,20,36,62,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,23,7,28,7,30,14,7,5,2,35,14,9,16,11,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,97,25,83,21,75,59,20,21,10,119,42,29,52,73,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,118,15,95,25,64,111,13,12,9,132,68,15,48,50,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,52,9,31,15,15,63,3,11,5,66,33,20,14,20,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,170,24,126,40,79,174,16,23,14,198,101,35,62,70,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,124,17,82,29,51,105,20,15,9,143,62,22,33,76,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,33,8,30,6,17,26,4,7,1,32,13,5,12,13,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,157,25,112,35,68,131,24,22,10,175,75,27,45,89,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,111,9,99,60,102,115,14,21,9,125,96,14,33,48,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,38,2,30,14,33,30,10,6,1,44,29,3,15,20,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,149,11,129,74,135,145,24,27,10,169,125,17,48,68,
