LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NICOLE PHILLIS,STEVE DURON,TODD FLORA,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,40,39,43,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,21,15,20,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,61,54,63,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,57,60,53,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,28,26,21,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,85,86,74,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,111,94,89,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,26,22,17,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,137,116,106,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,119,98,86,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,29,25,27,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,148,123,113,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,76,58,60,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,39,32,35,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,115,90,95,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,77,70,68,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,21,20,19,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,98,90,87,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,80,68,64,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,33,33,32,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,113,101,96,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,99,87,92,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,33,26,22,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,132,113,114,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,103,98,98,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,24,23,18,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,127,121,116,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,68,62,64,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,12,13,18,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,80,75,82,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,84,82,76,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,34,27,29,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,118,109,105,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,109,98,95,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,22,13,18,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,131,111,113,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,52,50,56,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,12,13,12,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,64,63,68,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,57,52,49,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,18,13,13,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,75,65,62,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,116,87,86,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,23,23,23,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,139,110,109,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,29,22,19,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,8,13,12,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,37,35,31,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,81,64,61,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,30,33,26,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,111,97,87,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,116,101,90,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,26,22,24,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,142,123,114,
