LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
LLANO,3750008F,6137,28,Y,,POLLING PLACE,,,,
LLANO,3750008F,6137,28,Y,,VBM PORTION,,,,
LLANO,3750008F,6137,28,Y,,TOTAL,,,,
LLANO,3750009A,6138,74,Y,,POLLING PLACE,,,,
LLANO,3750009A,6138,74,Y,,VBM PORTION,,,,
LLANO,3750009A,6138,74,Y,,TOTAL,,,,
LLANO,3750009B,6139,77,Y,,POLLING PLACE,,,,
LLANO,3750009B,6139,77,Y,,VBM PORTION,,,,
LLANO,3750009B,6139,77,Y,,TOTAL,,,,
LLANO,3750012A,6140,26,Y,28,POLLING PLACE,,,,
LLANO,3750012A,6140,26,Y,,VBM PORTION,8,3,5,
LLANO,3750012A,6140,26,Y,28,TOTAL,8,3,5,
LLANO,3750047A,6141,26,Y,97,POLLING PLACE,,,,
LLANO,3750047A,6141,26,Y,,VBM PORTION,24,6,16,
LLANO,3750047A,6141,26,Y,97,TOTAL,24,6,16,
BALLOT GROUP 26,9990026A,8026,26,N,,POLLING PLACE,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,VBM PORTION,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,TOTAL,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,POLLING PLACE,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,VBM PORTION,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,TOTAL,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,POLLING PLACE,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,VBM PORTION,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,TOTAL,,,,
BALLOT GROUP 77,9990077A,8077,77,N,,POLLING PLACE,,,,
BALLOT GROUP 77,9990077A,8077,77,N,,VBM PORTION,,,,
BALLOT GROUP 77,9990077A,8077,77,N,,TOTAL,,,,
