LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN CHIANG,GREG CONLON,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,63,227,
ACTON,0050003A,1,13,N,,VBM PORTION,110,24,80,
ACTON,0050003A,1,13,N,1044,TOTAL,418,87,307,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,21,104,
ACTON,0050004B,2,13,N,,VBM PORTION,93,23,63,
ACTON,0050004B,2,13,N,576,TOTAL,221,44,167,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,49,142,
ACTON,0050005A,3,13,N,,VBM PORTION,71,19,51,
ACTON,0050005A,3,13,N,713,TOTAL,269,68,193,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,36,132,
ACTON,0050014A,4,23,N,,VBM PORTION,87,25,58,
ACTON,0050014A,4,23,N,695,TOTAL,259,61,190,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,3,15,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,3,15,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,88,199,
ACTON,0050059A,5,13,N,,VBM PORTION,113,24,84,
ACTON,0050059A,5,13,N,1169,TOTAL,412,112,283,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,56,205,
ACTON,0050061A,6,13,N,,VBM PORTION,132,39,86,
ACTON,0050061A,6,13,N,1105,TOTAL,409,95,291,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,57,68,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,42,78,
AGOURA,0070001A,7,115,N,862,TOTAL,262,99,146,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,9,5,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,9,5,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,60,97,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,33,49,
AGOURA,0070004A,8,190,N,710,TOTAL,252,93,146,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,83,51,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,17,23,
AGOURA,0070004C,9,191,N,369,TOTAL,185,100,74,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,6,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,6,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,174,114,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,72,55,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,246,169,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
