LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,M LOZANO,BRYAN URIAS,
ARCADIA,0350101A,6024,158,Y,6,POLLING PLACE,,,,
ARCADIA,0350101A,6024,158,Y,,VBM PORTION,1,1,,
ARCADIA,0350101A,6024,158,Y,6,TOTAL,1,1,,
BALDWIN PARK,0600001A,163,138,N,999,POLLING PLACE,151,60,85,
BALDWIN PARK,0600001A,163,138,N,,VBM PORTION,33,10,20,
BALDWIN PARK,0600001A,163,138,N,999,TOTAL,184,70,105,
BALDWIN PARK,0600002A,164,138,N,1070,POLLING PLACE,130,56,66,
BALDWIN PARK,0600002A,164,138,N,,VBM PORTION,54,18,29,
BALDWIN PARK,0600002A,164,138,N,1070,TOTAL,184,74,95,
BALDWIN PARK,0600006A,165,138,N,1045,POLLING PLACE,189,64,113,
BALDWIN PARK,0600006A,165,138,N,,VBM PORTION,26,4,19,
BALDWIN PARK,0600006A,165,138,N,1045,TOTAL,215,68,132,
BALDWIN PARK,0600007A,166,138,N,852,POLLING PLACE,154,42,91,
BALDWIN PARK,0600007A,166,138,N,,VBM PORTION,45,6,25,
BALDWIN PARK,0600007A,166,138,N,852,TOTAL,199,48,116,
BALDWIN PARK,0600008A,167,138,N,1004,POLLING PLACE,167,63,82,
BALDWIN PARK,0600008A,167,138,N,,VBM PORTION,55,21,29,
BALDWIN PARK,0600008A,167,138,N,1004,TOTAL,222,84,111,
BALDWIN PARK,0600009A,168,138,N,1111,POLLING PLACE,149,64,72,
BALDWIN PARK,0600009A,168,138,N,,VBM PORTION,45,7,29,
BALDWIN PARK,0600009A,168,138,N,1111,TOTAL,194,71,101,
BALDWIN PARK,0600010A,169,138,N,950,POLLING PLACE,121,52,55,
BALDWIN PARK,0600010A,169,138,N,,VBM PORTION,51,16,27,
BALDWIN PARK,0600010A,169,138,N,950,TOTAL,172,68,82,
BALDWIN PARK,0600012A,170,138,N,1146,POLLING PLACE,151,42,103,
BALDWIN PARK,0600012A,170,138,N,,VBM PORTION,50,9,33,
