LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DARIUS A LEEVY,ANALILIA JOYA,GLORIA GRAY,MICHAEL A AMOS,
GARDENA,2500001A,874,339,N,822,POLLING PLACE,242,14,18,172,10,
GARDENA,2500001A,874,339,N,,VBM PORTION,56,1,3,36,1,
GARDENA,2500001A,874,339,N,822,TOTAL,298,15,21,208,11,
GARDENA,2500005A,877,339,N,777,POLLING PLACE,185,8,11,144,7,
GARDENA,2500005A,877,339,N,,VBM PORTION,60,6,3,39,1,
GARDENA,2500005A,877,339,N,777,TOTAL,245,14,14,183,8,
GARDENA,2500041A,897,339,N,1082,POLLING PLACE,206,22,29,108,21,
GARDENA,2500041A,897,339,N,,VBM PORTION,37,2,1,16,3,
GARDENA,2500041A,897,339,N,1082,TOTAL,243,24,30,124,24,
GARDENA,2500046A,898,339,N,1049,POLLING PLACE,267,18,17,183,15,
GARDENA,2500046A,898,339,N,,VBM PORTION,69,5,6,47,2,
GARDENA,2500046A,898,339,N,1049,TOTAL,336,23,23,230,17,
HAWTHORNE,2700001C,6094,337,Y,56,POLLING PLACE,,,,,,
HAWTHORNE,2700001C,6094,337,Y,,VBM PORTION,1,,1,,,
HAWTHORNE,2700001C,6094,337,Y,56,TOTAL,1,,1,,,
HAWTHORNE,2700051B,6097,337,Y,56,POLLING PLACE,,,,,,
HAWTHORNE,2700051B,6097,337,Y,,VBM PORTION,5,1,1,1,,
HAWTHORNE,2700051B,6097,337,Y,56,TOTAL,5,1,1,1,,
HAWTHORNE,2700092A,1077,337,N,1088,POLLING PLACE,250,9,17,187,8,
HAWTHORNE,2700092A,1077,337,N,,VBM PORTION,90,7,10,50,6,
HAWTHORNE,2700092A,1077,337,N,1088,TOTAL,340,16,27,237,14,
HAWTHORNE,2700094A,1078,337,N,992,POLLING PLACE,295,16,18,222,7,
HAWTHORNE,2700094A,1078,337,N,,VBM PORTION,84,7,4,47,2,
HAWTHORNE,2700094A,1078,337,N,992,TOTAL,379,23,22,269,9,
INGLEWOOD,2950001A,1114,334,N,962,POLLING PLACE,269,32,9,196,4,
INGLEWOOD,2950001A,1114,334,N,,VBM PORTION,76,2,,59,3,
INGLEWOOD,2950001A,1114,334,N,962,TOTAL,345,34,9,255,7,
INGLEWOOD,2950002A,1115,331,N,1070,POLLING PLACE,223,16,33,142,10,
INGLEWOOD,2950002A,1115,331,N,,VBM PORTION,52,4,9,29,1,
INGLEWOOD,2950002A,1115,331,N,1070,TOTAL,275,20,42,171,11,
INGLEWOOD,2950003A,1116,334,N,586,POLLING PLACE,180,18,10,125,2,
INGLEWOOD,2950003A,1116,334,N,,VBM PORTION,45,7,1,30,,
INGLEWOOD,2950003A,1116,334,N,586,TOTAL,225,25,11,155,2,
INGLEWOOD,2950004A,1117,334,N,550,POLLING PLACE,166,20,7,110,4,
INGLEWOOD,2950004A,1117,334,N,,VBM PORTION,48,4,1,33,,
INGLEWOOD,2950004A,1117,334,N,550,TOTAL,214,24,8,143,4,
INGLEWOOD,2950005A,1118,334,N,552,POLLING PLACE,58,8,5,35,4,
INGLEWOOD,2950005A,1118,334,N,,VBM PORTION,22,,5,11,2,
INGLEWOOD,2950005A,1118,334,N,552,TOTAL,80,8,10,46,6,
INGLEWOOD,2950006B,1119,334,N,791,POLLING PLACE,207,16,7,163,6,
INGLEWOOD,2950006B,1119,334,N,,VBM PORTION,76,8,6,50,1,
INGLEWOOD,2950006B,1119,334,N,791,TOTAL,283,24,13,213,7,
INGLEWOOD,2950007A,1120,334,N,1109,POLLING PLACE,136,16,13,85,8,
INGLEWOOD,2950007A,1120,334,N,,VBM PORTION,54,7,5,32,3,
INGLEWOOD,2950007A,1120,334,N,1109,TOTAL,190,23,18,117,11,
INGLEWOOD,2950008A,1121,334,N,938,POLLING PLACE,302,22,17,225,9,
INGLEWOOD,2950008A,1121,334,N,,VBM PORTION,49,3,2,38,,
INGLEWOOD,2950008A,1121,334,N,938,TOTAL,351,25,19,263,9,
INGLEWOOD,2950009B,1122,334,N,1062,POLLING PLACE,262,33,9,193,4,
INGLEWOOD,2950009B,1122,334,N,,VBM PORTION,109,18,4,68,1,
INGLEWOOD,2950009B,1122,334,N,1062,TOTAL,371,51,13,261,5,
INGLEWOOD,2950010A,1123,334,N,1069,POLLING PLACE,270,23,9,206,9,
INGLEWOOD,2950010A,1123,334,N,,VBM PORTION,76,8,3,57,1,
INGLEWOOD,2950010A,1123,334,N,1069,TOTAL,346,31,12,263,10,
INGLEWOOD,2950011A,1124,334,N,769,POLLING PLACE,263,7,10,213,,
INGLEWOOD,2950011A,1124,334,N,,VBM PORTION,78,3,2,61,1,
INGLEWOOD,2950011A,1124,334,N,769,TOTAL,341,10,12,274,1,
INGLEWOOD,2950013B,1125,334,N,901,POLLING PLACE,171,10,22,115,8,
INGLEWOOD,2950013B,1125,334,N,,VBM PORTION,61,3,2,48,1,
INGLEWOOD,2950013B,1125,334,N,901,TOTAL,232,13,24,163,9,
INGLEWOOD,2950014B,1126,334,N,900,POLLING PLACE,210,20,9,143,8,
INGLEWOOD,2950014B,1126,334,N,,VBM PORTION,72,9,2,40,3,
INGLEWOOD,2950014B,1126,334,N,900,TOTAL,282,29,11,183,11,
INGLEWOOD,2950015B,1127,334,N,606,POLLING PLACE,147,13,9,106,1,
INGLEWOOD,2950015B,1127,334,N,,VBM PORTION,61,3,2,46,4,
INGLEWOOD,2950015B,1127,334,N,606,TOTAL,208,16,11,152,5,
INGLEWOOD,2950016B,1128,334,N,796,POLLING PLACE,216,21,9,159,4,
INGLEWOOD,2950016B,1128,334,N,,VBM PORTION,42,,2,33,2,
INGLEWOOD,2950016B,1128,334,N,796,TOTAL,258,21,11,192,6,
INGLEWOOD,2950017A,1129,334,N,900,POLLING PLACE,121,9,5,84,5,
INGLEWOOD,2950017A,1129,334,N,,VBM PORTION,51,,4,34,3,
INGLEWOOD,2950017A,1129,334,N,900,TOTAL,172,9,9,118,8,
INGLEWOOD,2950018A,1130,334,N,1168,POLLING PLACE,311,17,19,244,2,
INGLEWOOD,2950018A,1130,334,N,,VBM PORTION,111,10,2,77,3,
INGLEWOOD,2950018A,1130,334,N,1168,TOTAL,422,27,21,321,5,
INGLEWOOD,2950019A,1131,334,N,1148,POLLING PLACE,86,4,14,65,1,
INGLEWOOD,2950019A,1131,334,N,,VBM PORTION,28,1,3,19,2,
INGLEWOOD,2950019A,1131,334,N,1148,TOTAL,114,5,17,84,3,
INGLEWOOD,2950020A,1132,334,N,1043,POLLING PLACE,237,20,7,180,1,
INGLEWOOD,2950020A,1132,334,N,,VBM PORTION,94,6,7,59,5,
INGLEWOOD,2950020A,1132,334,N,1043,TOTAL,331,26,14,239,6,
INGLEWOOD,2950022A,1133,334,N,1168,POLLING PLACE,347,12,20,272,5,
INGLEWOOD,2950022A,1133,334,N,,VBM PORTION,99,3,,78,,
INGLEWOOD,2950022A,1133,334,N,1168,TOTAL,446,15,20,350,5,
INGLEWOOD,2950023A,1134,334,N,684,POLLING PLACE,136,7,13,94,6,
INGLEWOOD,2950023A,1134,334,N,,VBM PORTION,57,4,7,37,,
INGLEWOOD,2950023A,1134,334,N,684,TOTAL,193,11,20,131,6,
INGLEWOOD,2950024A,1135,334,N,800,POLLING PLACE,200,9,12,139,8,
INGLEWOOD,2950024A,1135,334,N,,VBM PORTION,51,1,2,39,,
INGLEWOOD,2950024A,1135,334,N,800,TOTAL,251,10,14,178,8,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,8,28,120,8,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,5,8,22,1,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,13,36,142,9,
INGLEWOOD,2950026A,1137,334,N,961,POLLING PLACE,222,8,19,169,4,
INGLEWOOD,2950026A,1137,334,N,,VBM PORTION,69,2,2,43,,
INGLEWOOD,2950026A,1137,334,N,961,TOTAL,291,10,21,212,4,
INGLEWOOD,2950028A,1138,334,N,533,POLLING PLACE,132,14,17,82,3,
INGLEWOOD,2950028A,1138,334,N,,VBM PORTION,30,,1,27,,
INGLEWOOD,2950028A,1138,334,N,533,TOTAL,162,14,18,109,3,
INGLEWOOD,2950029A,1139,334,N,873,POLLING PLACE,177,10,8,130,4,
INGLEWOOD,2950029A,1139,334,N,,VBM PORTION,62,5,3,45,2,
INGLEWOOD,2950029A,1139,334,N,873,TOTAL,239,15,11,175,6,
INGLEWOOD,2950030A,1140,334,N,1012,POLLING PLACE,143,15,16,95,2,
INGLEWOOD,2950030A,1140,334,N,,VBM PORTION,50,4,2,33,4,
INGLEWOOD,2950030A,1140,334,N,1012,TOTAL,193,19,18,128,6,
INGLEWOOD,2950031A,1141,334,N,770,POLLING PLACE,127,9,24,78,3,
INGLEWOOD,2950031A,1141,334,N,,VBM PORTION,30,1,5,21,1,
