LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CARL E SOUTHWELL,MONICA D COOPER,ANTHONY M MISETICH,MICHAEL MITOMA,HAROLD WILLIAMS,
CARSON,1030001A,366,373,N,826,POLLING PLACE,161,7,25,7,8,86,
CARSON,1030001A,366,373,N,,VBM PORTION,77,3,7,15,6,41,
CARSON,1030001A,366,373,N,826,TOTAL,238,10,32,22,14,127,
CARSON,1030004A,367,373,N,645,POLLING PLACE,170,11,20,6,5,107,
CARSON,1030004A,367,373,N,,VBM PORTION,47,,5,1,2,26,
CARSON,1030004A,367,373,N,645,TOTAL,217,11,25,7,7,133,
CARSON,1030006C,368,373,N,848,POLLING PLACE,146,11,34,13,21,52,
CARSON,1030006C,368,373,N,,VBM PORTION,59,9,5,1,9,25,
CARSON,1030006C,368,373,N,848,TOTAL,205,20,39,14,30,77,
CARSON,1030007A,369,373,N,887,POLLING PLACE,119,15,13,10,32,36,
CARSON,1030007A,369,373,N,,VBM PORTION,64,6,7,3,26,9,
CARSON,1030007A,369,373,N,887,TOTAL,183,21,20,13,58,45,
CARSON,1030008A,370,373,N,1102,POLLING PLACE,187,12,30,10,30,79,
CARSON,1030008A,370,373,N,,VBM PORTION,84,3,11,8,12,31,
CARSON,1030008A,370,373,N,1102,TOTAL,271,15,41,18,42,110,
CARSON,1030012B,371,373,N,1095,POLLING PLACE,135,20,14,8,24,45,
CARSON,1030012B,371,373,N,,VBM PORTION,114,6,7,15,24,33,
CARSON,1030012B,371,373,N,1095,TOTAL,249,26,21,23,48,78,
CARSON,1030013A,372,373,N,1110,POLLING PLACE,182,25,17,30,40,43,
CARSON,1030013A,372,373,N,,VBM PORTION,68,4,3,7,13,26,
CARSON,1030013A,372,373,N,1110,TOTAL,250,29,20,37,53,69,
CARSON,1030016A,375,373,N,1144,POLLING PLACE,154,16,25,21,40,39,
CARSON,1030016A,375,373,N,,VBM PORTION,72,13,1,8,18,26,
