id,california,name,incidents,inspections,enforcement-actions,hazardous-liquid,states-of-operation-hl,inspected-miles-hl,gas-transmission,states-of-operation-gt,inspected-miles-gt,gas-gathering,states-of-operation-gg,inspected-miles-gg
32460,,"1486 GAS PIPELINE, LLC",,,,,,,TRUE,TX,5,,,
899,,5P GAS PIPELINE COMPANY,,,,,,,TRUE,TX,8,,,
31564,,7-D GAS SUPPLY CORP,,,,,,,,,,TRUE,WV,2
31544,,ABARTA OIL & GAS CO,,,,,,,,,,TRUE,WV,2
32665,,ABBOTT NUTRITION SUPPLY CHAIN,,,,,,,TRUE,AZ,1,,,
32662,,ABBS VALLEY PIPELINE LLC,,,,,,,,,,TRUE,WV,1
32350,,ABSOLUTE ENERGY L.L.C.,,,,,,,TRUE,IA,6,,,
21,,"ACACIA NATURAL GAS, L.L.C.",,,,,,,TRUE,TX,123,,,
31759,,ACADIA PARTNERS PIPELINE,,,,,,,TRUE,LA,5,,,
3,,ACADIAN GAS PIPELINE SYSTEM,,,,,,,TRUE,LA,722,,,
31703,,"ACCESS MLP OPERATING, LLC.",,1,,TRUE,WV,6,TRUE,"AR,LA,OK,PA,TX,WV",51,TRUE,"LA,NY,OH,OK,PA,TXWV,WY",569
31313,,ACME BRICK LATERAL - KN ENGERY,,,,,,,TRUE,AR,9,,,
39056,,"ACTIVA RESOURCES, LLC",,,,,,,,,,TRUE,TX,1
31007,,ADM CORN PROCESSING DIVISION-NW GAS CONTRACTED,,,,,,,TRUE,MN,18,,,
32538,,"ADVANCED REFINING CONCEPTS, LLC",,,,,,,TRUE,NV,0,,,
31749,,AECC- OSWALD GENERATING STATION,,,,,,,TRUE,AR,5,,,
31067,TRUE,AERA ENERGY LLC,,20,,TRUE,CA,0,TRUE,CA,1,TRUE,CA,11
32294,,AG PROCESSING INC A COOPERATIVE,,,,,,,TRUE,IA,9,,,
32073,,AGAVE ENERGY COMPANY,,,,TRUE,NM,11,TRUE,NM,15,TRUE,NM,6
31181,,"AGC FLAT GLASS NORTH AMERICA, INC",,,,,,,TRUE,KS,7,,,
31375,,"AGRIUM US, INC",,,,TRUE,WA,1,TRUE,WA,1,,,
842,,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,,,,,,,TRUE,"LA,TX,WA",325,,,
117,TRUE,AIR PRODUCTS & CHEMICALS INC,,16,6,,,,TRUE,"CA,KS,LA,OH,TX",733,,,
30901,,AIRCRAFT SERVICES INTERNATIONAL GROUP (ASIG),,12,7,TRUE,AK,7,,,,,,
144,,AJAX PIPELINE CO,,,,,,,,,,TRUE,WV,10
31225,,AK STEEL CORP,,,,,,,TRUE,OH,10,,,
32197,,"AKA ENERGY GROUP, LLC",,,,,,,TRUE,CO,5,TRUE,CO,56
32358,,"AKZO NOBEL - EKA CHEMICALS, INC",,,,,,,TRUE,WA,1,,,
180,,ALABAMA GAS CORPORATION,,,,,,,TRUE,AL,239,,,
32605,,ALAMO PIPELINE LLC,,,,,,,TRUE,TX,32,,,
207,,ALASKA PIPELINE CO,,16,,,,,TRUE,AK,454,,,
30851,,ALBEMARLE CORPORATION,,,,,,,TRUE,"AR,TX",6,,,
32106,,ALCAN PRIMARY METAL GROUP,,,,,,,TRUE,KY,13,,,
250,,ALERT OIL & GAS CO INC,,,,,,,,,,TRUE,"KY,KY",10
288,,ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP),,104,7,,,,TRUE,"CT,MA,NJ,NY,RI",1128,,,
31389,,"ALLIANCE ENERGY TRANSMISSIONS - SYRACUSE, LLC",,,,,,,TRUE,NY,10,,,
31199,,ALLIANCE PIPELINE L.P.,,29,4,,,,TRUE,"IA,IL,MN,ND",888,,,
8170,,ALLIANT ENERGY - INTERSTATE POWER AND LIGHT COMPANY,,1,,,,,TRUE,"IA,IL",793,,,
22784,,ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,,,,,,,TRUE,WI,51,,,
32559,,"ALON USA KROTZ SPRINGS REFINERY, INC",,,,TRUE,LA,13,,,,,,
31443,,"ALON USA, LP",,1,,TRUE,TX,46,TRUE,TX,16,,,
31552,,ALPINE TRANSPORTATION CO.,,6,,TRUE,AK,35,,,,,,
32593,,"ALTA MESA SERVICES, LP",,,,,,,TRUE,TX,1,TRUE,TX,19
31758,,ALTAGAS FACILITIES (US) INC,,1,1,,,,TRUE,MT,2,,,
26149,,ALYESKA PIPELINE SERVICE CO,,142,25,TRUE,AK,800,TRUE,AK,150,,,
383,,AMARILLO NATURAL GAS INC,,,,,,,TRUE,TX,15,,,
32513,,AMEREN ILLINOIS COMPANY,,,,,,,TRUE,IL,1250,,,
2200,,AMERENCILCO,,,,,,,TRUE,IL,197,,,
2204,,AMERENCIPS,,,,,,,TRUE,IL,288,,,
8040,,AMERENIP,,,,,,,TRUE,IL,767,,,
20050,,AMERENUE,,,,,,,TRUE,"IL,MO",54,,,
32434,,AMERESCO EVANSVILLE LLC,,,,,,,TRUE,IN,5,,,
32435,,AMERESCO JEFFERSON CITY LLC,,,,,,,TRUE,MO,4,,,
32433,,AMERESCO MCCARTY ENERGY LLC,,,,,,,TRUE,TX,6,,,
31771,,AMERESCO PALMETTO,,,,,,,TRUE,SC,10,,,
32126,,"AMERESCO PINE BLUFF, LLC",,,,,,,TRUE,GA,3,,,
31911,,"AMERICAN ENERGIES GAS SERVICE,  LLC",,,,,,,TRUE,KS,5,,,
31909,,"AMERICAN ENERGIES PIPELINE,  LLC",,,,,,,TRUE,KS,2,,,
30948,,AMERICAN MIDSTREAM (ALABAMA GATHERING) LLC,,,,,,,TRUE,AL,18,TRUE,AL,1
30946,,AMERICAN MIDSTREAM (ALABAMA INTRASTATE) LLC,,,,,,,TRUE,AL,116,,,
189,,"AMERICAN MIDSTREAM (ALATENN), LLC",,12,3,,,,TRUE,"AL,MS,TN",295,,,
31577,,AMERICAN MIDSTREAM (BAMAGAS INTRASTATE) LLC,,,,,,,TRUE,AL,52,,,
2879,,"AMERICAN MIDSTREAM (LOUISIANA  INTRASTATE), LLC",,,,,,,TRUE,LA,138,,,
12462,,"AMERICAN MIDSTREAM (MIDLA), LLC",,10,4,,,,TRUE,"LA,MS",345,TRUE,LA,9
31910,,"AMERICAN MIDSTREAM (MISSISSIPPI), LLC",,,,,,,TRUE,MS,6,TRUE,MS,2
31365,,"AMERICAN MIDSTREAM (SEACREST), LP",,,,,,,TRUE,TX,13,TRUE,"LA,TX",68
31424,,"AMERICAN MIDSTREAM (SIGCO INTRASTATE), LLC",,,,,,,TRUE,LA,40,,,
31395,,AMERICAN MIDSTREAM (TENNESSEE RIVER) LLC,,,,,,,TRUE,AL,39,,,
31426,,"AMERICAN MIDSTREAM ONSHORE PIPELINES, LLC",,,,,,,TRUE,LA,25,,,
31688,,AMERICO ENERGY RESOURCES LLC,,,,,,,,,,TRUE,TX,7
32013,TRUE,AMERIGAS PROPANE LP,,24,9,TRUE,PA,5,TRUE,CA,1,,,
395,,AMOCO OIL CO,,20,5,TRUE,"IA,IL,IN,MI,MN,MO",1151,,,,,,
31757,,ANADARKO E & P COMPANY LP,,4,4,TRUE,TX,214,,,,TRUE,TX,7
473,,ANADARKO PETROLEUM CORP,,24,4,TRUE,"CO,TX,UT,WY",289,TRUE,"CO,KS,OK,TX,UT,WY",691,TRUE,"CO,KS,PA",329
469,,ANADARKO PRODUCTION CO,,,,,,,TRUE,KS,138,TRUE,KS,9
32489,,"ANCHOR POINT ENERGY, LLC",,9,1,,,,TRUE,AK,7,,,
31523,,ANDERSON OIL LTD,,,,TRUE,TX,0,TRUE,TX,3,,,
405,,ANR PIPELINE CO,,127,14,,,,TRUE,"AR,IA,IL,IN,KS,KYLA,MI,MO,MS,NE,OHOK,TN,TX,WI",9985,,,
937,,ANSCHUTZ - RANCH EAST PIPELINE CO,,1,,,,,TRUE,WY,39,,,
32680,,ANSCHUTZ EXPLORATION CORPORATION,,,,,,,,,,TRUE,NY,4
550,,APACHE CORP,,,,,,,,,,TRUE,TX,13
31864,,APACHE CORPORATION,,5,2,TRUE,"LA,TX",139,TRUE,"MI,TX",6,TRUE,TX,18
31540,,APACHE GAS TRANSMISSION,,,,,,,TRUE,KY,21,,,
32261,,"APC , INC",,,,,,,TRUE,KS,3,,,
38952,,APL ARKOMA HOLDINGS LLC,,,,TRUE,OK,15,TRUE,OK,4,,,
32465,,"APPALACHIA MIDSTREAM SERVICES, L.L.C.",,,,,,,TRUE,"NY,WV",17,TRUE,"NY,WV",11
980,,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,,,,,,,TRUE,VA,8,,,
31264,,AQUILA NETWORKS,,,,,,,TRUE,KS,279,,,
31760,,AQUILA SERVICES INC,,,,,,,TRUE,IL,6,,,
32521,,"ARAPAHO COMMUNICATIONS, LP",,,,,,,TRUE,AL,15,,,
32082,,ARC TERMINALS,,5,5,TRUE,OH,2,,,,,,
32416,,"ARCADIA GAS STORAGE, LLC",,,,,,,TRUE,LA,26,,,
31662,,ARCHER DANIELS MIDLAND CO,,,,,,,TRUE,IA,1,,,
31367,TRUE,"ARGUELLO, INC.",,,,TRUE,CA,28,,,,TRUE,CA,10
585,,ARGYLE MUNICIPAL GAS SYSTEM,,,,,,,TRUE,MN,2,,,
32618,,"ARKALON ETHANOL, LLC",,,,,,,TRUE,KS,1,,,
621,,ARKANSAS OKLAHOMA GAS CORP,,,,,,,TRUE,"AR,OK",209,,,
660,,"ARLINGTON GAS PIPELINE CO, LP",,,,,,,TRUE,MS,25,,,
32490,,ARLINGTON STORAGE COMPANY LLC,,3,2,,,,TRUE,NY,49,,,
665,,ARMADILLO PIPELINE CO,,,,,,,,,,TRUE,TX,4
31786,,AROC (TEXAS) INC,,,,TRUE,TX,8,TRUE,TX,5,,,
39002,,"ARP BARNETT PIPELINE, LLC",,,,,,,,,,TRUE,TX,5
39011,,"ARP BARNETT, LLC",,,,,,,TRUE,TX,0,TRUE,TX,3
31517,,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,,,,TRUE,TX,94,,,,,,
31624,,ASH GROVE CEMENT COMPANY,,,,,,,TRUE,OR,1,,,
31056,,ASIG - HONOLULU,,10,10,TRUE,HI,6,,,,,,
31114,,ASSOCIATED MILK PRODUCERS INC PIPELINE,,,,,,,TRUE,SD,20,,,
32421,,ATCHLEY RESOURCES INC.,,,,,,,,,,TRUE,OK,5
32430,,"ATINUM ENERGY, INC",,,,TRUE,TX,17,,,,TRUE,TX,43
792,,ATLANTA GAS LIGHT CO,,1,2,,,,TRUE,GA,1041,,,
22465,,"ATLAS PIPELINE MID-CONTINENT - WESTTEX, LLC",,2,,TRUE,CO,93,TRUE,TX,4,TRUE,TX,64
31492,,ATLAS PIPELINE MID-CONTINENT LLC,,,,,,,TRUE,OK,9,TRUE,OK,3
32478,,"ATLAS PIPELINE MID-CONTINENT WESTOK, LLC",,,,,,,,,,TRUE,"KS,OK",16
38884,,"ATLAS PIPELINE TENNESSEE, LLC",,,,,,,TRUE,TN,28,,,
32463,,"ATMOS ENERGY CORPORATION - ATMOS GATHERING COMPANY, LLC",,,,,,,TRUE,"IN,KY",3,,,
31729,,"ATMOS ENERGY CORPORATION - ATMOS PIPELINE AND STORAGE, LLC",,,,,,,TRUE,KY,40,,,
6720,,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,,,,,,,TRUE,KS,7,,,
22476,,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),,,,,,,TRUE,KY,208,,,
20211,,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),,,,,,,TRUE,"GA,TN,VA",147,,,
11800,,ATMOS ENERGY CORPORATION - LOUISIANA,,,,,,,TRUE,LA,21,,,
31348,,ATMOS ENERGY CORPORATION - MID-TEX,,,,,,,TRUE,TX,328,,,
12582,,ATMOS ENERGY CORPORATION - MISSISSIPPI,,,,,,,TRUE,MS,293,,,
11017,,ATMOS ENERGY CORPORATION - TRANS LOUISIANA GAS PIPELINE,,,,,,,TRUE,LA,50,,,
4473,,ATMOS ENERGY CORPORATION - WEST TEXAS,,,,,,,TRUE,TX,95,,,
31978,,ATMOS PIPELINE - TEXAS,,,,,,,TRUE,TX,5628,,,
32094,,AUX SABLE LIQUID PRODUCTS,,7,1,TRUE,IL,34,TRUE,IL,46,,,
32641,,AUX SABLE MIDSTREAM,,,,,,,TRUE,ND,84,,,
31232,,AVISTA CORP,,,,,,,TRUE,"OR,WA",109,,,
31685,,AZTECA MILLING LP,,,,,,,TRUE,TX,8,,,
32059,,B. D. DEANS LLC,,,,,,,TRUE,MI,5,,,
1065,,BALCONES STARR PIPELINE,,,,,,,,,,TRUE,TX,29
1088,,BALTIMORE GAS & ELECTRIC CO,,,,,,,TRUE,MD,163,,,
31481,,BANGOR GAS CO LLC,,,,,,,TRUE,ME,9,,,
32124,,"BARNETT GATHERING, LLC",,,,,,,TRUE,TX,21,TRUE,TX,373
31116,,BARON EXPLORATION COMPANY,,,,,,,,,,TRUE,TX,1
1134,,BARROW UTILITIES & ELECTRIC CORP,,8,4,,,,TRUE,AK,6,,,
31059,,BASF CORPORATION,,,,TRUE,TX,9,,,,,,
32145,,BASIN ELECTRIC POWER COOPERATIVE,,,,,,,TRUE,SD,25,,,
31714,,BASIN FROZEN FOODS,,,,,,,TRUE,WA,4,,,
1130,,BASIN PIPELINE CORP,,,,,,,,,,TRUE,AL,1
31726,,BASIN PIPELINE LLC,,,,,,,TRUE,MI,2,TRUE,MI,99
30073,,BASS ENTERPRISES PRODUCTION CO,,,,,,,,,,TRUE,TX,26
32511,,"BATON ROUGE RENEWABLE ENERGY, LLC",,,,,,,TRUE,LA,5,,,
1176,,BATTLE CREEK GAS CO,,,,,,,TRUE,MI,21,TRUE,MI,1
31901,,BAXTER HEALTHCARE CORP.,,,,,,,TRUE,MS,2,,,
30026,,BAY GAS STORAGE CO. LTD.,,,,,,,TRUE,AL,87,,,
31782,,BAYSIDE POWER STATION,,,,,,,TRUE,FL,1,,,
1213,,BAZZLE GAS CO,,,,,,,,,,TRUE,WV,4
1217,,BEAR CREEK STORAGE CO,,4,,,,,TRUE,LA,25,,,
30968,,BEARTOOTH PIPELINE,,2,,TRUE,"MT,WY",76,,,,,,
32140,,BEAVER PLANT- PORTLAND GENERAL ELECTRIC,,,,,,,TRUE,OR,0,,,
1232,,BEDFORD NATURAL GAS SYSTEM,,,,,,,TRUE,IA,17,,,
1248,,BELLE FOURCHE PIPELINE CO,,21,8,TRUE,"MT,ND,WY",551,,,,,,
6710,,BELVAN PARTNERS LP,,,,TRUE,TX,9,,,,,,
1228,,"BENAVIDES, CITY OF",,,,,,,TRUE,TX,11,,,
1320,,BENSON-MONTIN-GREER DRILLING CORP,,,,,,,,,,TRUE,NM,60
1344,,BERKSHIRE GAS CO,,,,,,,TRUE,MA,6,,,
26009,TRUE,BERRY PETROLEUM CO,,1,,,,,TRUE,CA,3,,,
32224,TRUE,BETA OFFSHORE,,9,4,TRUE,CA,18,,,,,,
32649,,BHP BILLITON PETROLEUM (ARKANSAS) INC.,,,,,,,TRUE,AR,64,TRUE,AR,41
32453,,BHP BILLITON PETROLEUM (EAGLE FORD GATHERING) LLC,,,,TRUE,TX,129,TRUE,TX,9,,,
1426,,BIG SANDY GAS COMPANY,,,,,,,,,,TRUE,WV,0
32583,,"BIG SANDY PIPELINE, LLC",,1,,,,,TRUE,KY,67,,,
1432,,BIG TWO MILE GAS CO,,,,,,,,,,TRUE,WV,6
32088,TRUE,"BIG WEST OF CALIFORNIA, LLC",,4,3,,,,TRUE,CA,2,,,
31480,,BIS TEPSCO INC.,,,,,,,TRUE,TX,3,,,
32481,,"BKEP CRUDE, LLC",,2,,TRUE,OK,366,,,,,,
32551,,"BKEP PIPELINE, LLC",,,,TRUE,TX,118,,,,,,
32544,,BLACK BELT ENERGY,,,,,,,TRUE,AL,14,,,
32625,,BLACK ELK ENERGY LLC,,4,2,TRUE,"LA,TX",39,,,,TRUE,TX,9
15359,,BLACK HILLS ENERGY,,1,,,,,TRUE,"CO,IA,KS,NE",604,,,
31754,,BLACK HILLS POWER INC,,,,,,,TRUE,SD,1,,,
32564,,BLACK HILLS SERVICE COMPANY,,,,,,,TRUE,CO,6,,,
1466,,BLACK LAKE PIPE LINE CO,,1,,TRUE,IL,313,,,,,,
1472,,BLACK MARLIN PIPELINE CO,,4,1,,,,,,,TRUE,"TX,TX",58
32244,,"BLACK POOL ENERGY, L.P.",,,,,,,,,,TRUE,TX,8
1486,,BLACK WARRIOR TRANSMISSION CORP,,,,,,,TRUE,AL,13,,,
30047,,"BLANDING, CITY OF",,,,,,,TRUE,UT,33,,,
1552,,BLUE DOLPHIN PIPELINE COMPANY,,4,2,,,,TRUE,TX,38,TRUE,TX,37
39010,,"BLUE RACER MIDSTREAM, LLC",,,,,,,,,,TRUE,OH,52
38932,,"BLUESTONE PIPELINE COMPANY OF PA, LLC",,,,,,,TRUE,PA,13,,,
32249,,"BLUEWATER GAS STORAGE, LLC",,2,,,,,TRUE,MI,30,TRUE,MI,6
32161,,"BMC HOLDINGS, INC.",,,,TRUE,TX,5,,,,,,
38903,,BOARD OF PUBLIC UTILITIES,,1,,TRUE,KS,3,,,,,,
32606,,"BOARDWALK FIELD SERVICES, LLC",,,,,,,TRUE,TX,129,TRUE,TX,12
32396,,BOBCAT GAS STORAGE,,2,,,,,TRUE,LA,22,,,
12990,,BOBWHITE PRODUCTION CO INC,,,,,,,TRUE,OK,3,,,
31973,,BOC GASES,,3,2,TRUE,WY,7,,,,,,
31149,,"BOIS DARC OFFSHORE, LTD",,1,3,TRUE,TX,8,,,,TRUE,LA,2
32233,,"BOPCO, L.P.",,,,,,,,,,TRUE,TX,13
32257,,"BORAL BRICKS, INC.",,,,,,,TRUE,"IN,OK",3,,,
1640,,BOSTON GAS CO,,,,,,,TRUE,MA,6,,,
31630,,BP AMERICA PRODUCTION,,2,2,TRUE,TX,0,TRUE,"CO,TX",9,TRUE,"CO,NM,TX",29
