,id,california,name,url,incidents,inspections,enforcement-actions,hazardous-liquid,states-of-operation-hl,inspected-miles-hl,gas-transmission,states-of-operation-gt,inspected-miles-gt,gas-gathering,states-of-operation-gg,inspected-miles-gg
0,32460,,"1486 GAS PIPELINE, LLC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32460.html,,,,,,,true,TX,5.0,,,
1,899,,5P GAS PIPELINE COMPANY,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_899.html,,,,,,,true,TX,8.0,,,
2,31564,,7-D GAS SUPPLY CORP,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31564.html,,,,,,,,,,true,WV,2.0
3,31544,,ABARTA OIL & GAS CO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31544.html,,,,,,,,,,true,WV,2.0
4,32665,,ABBOTT NUTRITION SUPPLY CHAIN,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32665.html,,,,,,,true,AZ,1.0,,,
5,32662,,ABBS VALLEY PIPELINE LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32662.html,,,,,,,,,,true,WV,1.0
6,32350,,ABSOLUTE ENERGY L.L.C.,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32350.html,,,,,,,true,IA,6.0,,,
7,21,,"ACACIA NATURAL GAS, L.L.C.",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_21.html,,,,,,,true,TX,123.0,,,
8,31759,,ACADIA PARTNERS PIPELINE,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31759.html,,,,,,,true,LA,5.0,,,
9,3,,ACADIAN GAS PIPELINE SYSTEM,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_3.html,,,,,,,true,LA,722.0,,,
10,31703,,"ACCESS MLP OPERATING, LLC.",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31703.html,,1.0,,true,WV,6.0,true,"AR,LA,OK,PA,TX,WV",51.0,true,"LA,NY,OH,OK,PA,TXWV,WY",569.0
11,31313,,ACME BRICK LATERAL - KN ENGERY,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31313.html,,,,,,,true,AR,9.0,,,
12,39056,,"ACTIVA RESOURCES, LLC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_39056.html,,,,,,,,,,true,TX,1.0
13,31007,,ADM CORN PROCESSING DIVISION-NW GAS CONTRACTED,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31007.html,,,,,,,true,MN,18.0,,,
14,32538,,"ADVANCED REFINING CONCEPTS, LLC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32538.html,,,,,,,true,NV,0.0,,,
15,31749,,AECC- OSWALD GENERATING STATION,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31749.html,,,,,,,true,AR,5.0,,,
16,31067,True,AERA ENERGY LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31067.html,,20.0,,true,CA,0.0,true,CA,1.0,true,CA,11.0
17,32294,,AG PROCESSING INC A COOPERATIVE,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32294.html,,,,,,,true,IA,9.0,,,
18,32073,,AGAVE ENERGY COMPANY,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32073.html,,,,true,NM,11.0,true,NM,15.0,true,NM,6.0
19,31181,,"AGC FLAT GLASS NORTH AMERICA, INC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31181.html,,,,,,,true,KS,7.0,,,
20,31375,,"AGRIUM US, INC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31375.html,,,,true,WA,1.0,true,WA,1.0,,,
21,842,,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_842.html,,,,,,,true,"LA,TX,WA",325.0,,,
22,117,True,AIR PRODUCTS & CHEMICALS INC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_117.html,,16.0,6.0,,,,true,"CA,KS,LA,OH,TX",733.0,,,
23,30901,,AIRCRAFT SERVICES INTERNATIONAL GROUP (ASIG),http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_30901.html,,12.0,7.0,true,AK,7.0,,,,,,
24,144,,AJAX PIPELINE CO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_144.html,,,,,,,,,,true,WV,10.0
25,31225,,AK STEEL CORP,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31225.html,,,,,,,true,OH,10.0,,,
26,32197,,"AKA ENERGY GROUP, LLC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32197.html,,,,,,,true,CO,5.0,true,CO,56.0
27,32358,,"AKZO NOBEL - EKA CHEMICALS, INC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32358.html,,,,,,,true,WA,1.0,,,
28,180,,ALABAMA GAS CORPORATION,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_180.html,,,,,,,true,AL,239.0,,,
29,32605,,ALAMO PIPELINE LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32605.html,,,,,,,true,TX,32.0,,,
30,207,,ALASKA PIPELINE CO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_207.html,,16.0,,,,,true,AK,454.0,,,
31,30851,,ALBEMARLE CORPORATION,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_30851.html,,,,,,,true,"AR,TX",6.0,,,
32,32106,,ALCAN PRIMARY METAL GROUP,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32106.html,,,,,,,true,KY,13.0,,,
33,250,,ALERT OIL & GAS CO INC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_250.html,,,,,,,,,,true,"KY,KY",10.0
34,288,,ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP),http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_288.html,,104.0,7.0,,,,true,"CT,MA,NJ,NY,RI",1128.0,,,
35,31389,,"ALLIANCE ENERGY TRANSMISSIONS - SYRACUSE, LLC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31389.html,,,,,,,true,NY,10.0,,,
36,31199,,ALLIANCE PIPELINE L.P.,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31199.html,,29.0,4.0,,,,true,"IA,IL,MN,ND",888.0,,,
37,8170,,ALLIANT ENERGY - INTERSTATE POWER AND LIGHT COMPANY,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_8170.html,,1.0,,,,,true,"IA,IL",793.0,,,
38,22784,,ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_22784.html,,,,,,,true,WI,51.0,,,
39,32559,,"ALON USA KROTZ SPRINGS REFINERY, INC",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32559.html,,,,true,LA,13.0,,,,,,
40,31443,,"ALON USA, LP",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31443.html,,1.0,,true,TX,46.0,true,TX,16.0,,,
41,31552,,ALPINE TRANSPORTATION CO.,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31552.html,,6.0,,true,AK,35.0,,,,,,
42,32593,,"ALTA MESA SERVICES, LP",http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32593.html,,,,,,,true,TX,1.0,true,TX,19.0
43,31758,,ALTAGAS FACILITIES (US) INC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31758.html,,1.0,1.0,,,,true,MT,2.0,,,
44,26149,,ALYESKA PIPELINE SERVICE CO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_26149.html,,142.0,25.0,true,AK,800.0,true,AK,150.0,,,
45,383,,AMARILLO NATURAL GAS INC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_383.html,,,,,,,true,TX,15.0,,,
46,32513,,AMEREN ILLINOIS COMPANY,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32513.html,,,,,,,true,IL,1250.0,,,
47,2200,,AMERENCILCO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_2200.html,,,,,,,true,IL,197.0,,,
48,2204,,AMERENCIPS,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_2204.html,,,,,,,true,IL,288.0,,,
49,8040,,AMERENIP,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_8040.html,,,,,,,true,IL,767.0,,,
50,20050,,AMERENUE,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_20050.html,,,,,,,true,"IL,MO",54.0,,,
51,32434,,AMERESCO EVANSVILLE LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32434.html,,,,,,,true,IN,5.0,,,
52,32435,,AMERESCO JEFFERSON CITY LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32435.html,,,,,,,true,MO,4.0,,,
53,32433,,AMERESCO MCCARTY ENERGY LLC,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_32433.html,,,,,,,true,TX,6.0,,,
54,31771,,AMERESCO PALMETTO,http://primis.phmsa.dot.gov/comm/reports/operator/OperatorReport_opid_31771.html,,,,,,,true,SC,10.0,,,
