,team1,team2,stadium,year_built_or_renovation,year_opened,total_millions,cost,private_cost_millions,private_share_pct,total_seats,luxury_seats,club_seats,psl_seats,g3_loan,psl_fees,new_stadium,stadium_city,stadium_state,titular_jurisidction,capacity,roof,lat,lon,status,display_stadium,display_city,display_state,Year,Annual_CPI_All_Urban_Consumers,Pct_of_2014,multiplier_for_2014,adjusted_cost,adjusted_cost_bils
4,St. Louis Rams,,Edward Jones Dome,1995,1995,$299,299000000,0,0,65.3,124,6.2,53.5,,78,y,St. Louis,Missouri,y,66000,Domed,38.632804,-90.188418,In use,Edward Jones Dome,,,1995,152.4,15.664,1.553385827,464462362.3,0.464462362
2,Carolina Panthers,,Bank of America Stadium,1996,1996,$248,248000000,187,76.3,73.4,158,11.4,62.5,,122,y,Charlotte,North Carolina,n,73778,Open,35.22563,-80.85274,In use,Bank of America Stadium,,,1996,156.9,20.164,1.508833652,374190745.7,0.374190746
5,Washington Redskins,,FedExField,1997,1997,$251,251000000,180,72,91.7,284,15,NA,,NA,y,Landover,Maryland,n,79000,Open,38.907699,-76.866338,In use,FedExField,,,1997,160.5,23.764,1.474990654,370222654.2,0.370222654
16,Baltimore Ravens,,M&T Bank Stadium,1998,1998,$229,229000000,29,12.7,69.3,108,7.9,60.2,,65,y,Baltimore,Maryland,y,71008,Open,39.277988,-76.622704,In use,M&T Bank Stadium,Baltimore,Maryland,1998,163,26.264,1.452368098,332592294.4,0.332592294
20,Tampa Bay Bucs,,Raymond James Stadium,1998,1998,$169,169000000,15,8.9,66.3,195,12.3,NA,,NA,y,Tampa,Florida,y,65890,Open,27.975959,-82.504133,In use,Raymond James Stadium,Tampa,Florida,1998,163,26.264,1.452368098,245450208.6,0.245450209
6,Cleveland Browns,,FirstEnergy Stadium,1999,1999,$314,314000000,79,25.2,73.2,147,8.8,57,,25,y,Cleveland,Ohio,y,73200,Open,41.506054,-81.699548,In use,FirstEnergy Stadium,,,1999,166.6,29.864,1.420984394,446189099.7,0.4461891
14,Tennessee Titans,,LP Field,1999,1999,$292,292000000,71,24.3,67.7,143,9.6,58.2,,71,y,Nashville,Tennessee,n,69143,Open,36.166479,-86.77129,In use,LP Field,,,1999,166.6,29.864,1.420984394,414927443,0.414927443
19,Cincinnati Bengals,,Paul Brown Stadium,2000,2000,$458,458000000,44,9.6,65.6,114,7.6,58,,26,y,Cincinnati,Ohio,y,65535,Open,39.096161,-84.516551,In use,Paul Brown Stadium,,,2000,172.2,35.464,1.374773519,629646271.7,0.629646272
11,Pittsburgh Steelers,,Heinz Field,2001,2001,$284,284000000,113,39.8,64.5,129,6.6,45,,37,y,Pittsburgh,Pennsylvania,y,65050,Open,40.446765,-80.01576,In use,Heinz Field,,,2001,177.1,40.364,1.336736307,379633111.2,0.379633111
21,Denver Broncos,,Sports Authority Field at Mile High,2001,2001,$401,401000000,100,24.9,76.2,124,8.2,NA,$48,NA,y,Denver,Colorado,y,76125,Open,39.743948,-105.020084,In use,Sports Authority Field at Mile High,,,2001,177.1,40.364,1.336736307,536031259.1,0.536031259
3,Seattle Seahawks,,CenturyLink Field,2002,2002,$430,430000000,130,30.2,67,82,7.7,8.3,$63,17,y,Seattle,Washington,y,67000,Open,47.595152,-122.331639,In use,CenturyLink Field,,,2002,179.9,43.164,1.315931073,565850361.4,0.565850361
7,Detroit Lions,,Ford Field,2002,2002,$500,500000000,375,75,64.4,132,8.6,NA,$100,NA,y,Detroit,Michigan,y,65000,Domed,42.340006,-83.045603,In use,Ford Field,,,2002,179.9,43.164,1.315931073,657965536.5,0.657965537
10,New England Patriots,,Gillette Stadium,2002,2002,$412,412000000,340,82.5,68.8,80,6,NA,$141,NA,y,Foxborough,Massachusetts,n,68756,Open,42.090946,-71.264346,In use,Gillette Stadium,,,2002,179.9,43.164,1.315931073,542163602.1,0.542163602
18,Houston Texans,,NRG Stadium,2002,2002,$449,449000000,132,33.1,69.5,191,8.3,44,,50,y,Houston,Texas,y,71054,Retractable,29.684722,-95.410707,In use,NRG Stadium,,,2002,179.9,43.164,1.315931073,590853051.8,0.590853052
13,Philadelphia Eagles,,Lincoln Financial Field,2003,2003,$518,518000000,330,63.7,67.6,172,10.8,29,$125,70,y,Philadelphia,Pennsylvania,y,68532,Open,39.900732,-75.167535,In use,Lincoln Financial Field,Philadelphia,Pennsylvania,2003,184,47.264,1.286608696,666463304.5,0.666463305
22,Arizona Cardinals,,University of Phoenix Stadium,2006,2006,$455,455000000,147,32.3,63.4,88,7.5,NA,$42,NA,y,Glendale,Arizona,y,63400,Retractable,33.527625,-112.262559,In use,University of Phoenix Stadium,,,2006,201.6,64.864,1.174285714,534299999.9,0.5343
15,Indianapolis Colts,,Lucas Oil Stadium,2008,2008,$675,675000000,100,14.8,63,142,7.1,NA,$33,NA,y,Indianapolis,Indiana,y,62421,Retractable,39.760101,-86.163888,In use,Lucas Oil Stadium,Indianapolis,Indiana,2008,215.303,78.567,1.099548079,742194953.3,0.742194953
1,Dallas Cowboys,,AT&T Stadium,2009,2009,"$1,200",1200000000,850,70.8,80,320,15,66,$76,470,y,Arlington,Texas,n,80000,Retractable,32.747284,-97.094494,In use,AT&T Stadium,Arlington,Texas,2009,214.537,77.801,1.103473993,1324168792,1.324168792
17,New York Giants,New York Jets,MetLife Stadium,2010,2010,"$1,600",1600000000,1600,100,82.5,217,10,55.5,$300,800,y,East Rutherford,New Jersey,n,82566,Open,40.81284,-74.074209,In use,MetLife Stadium,East Rutherford,New Jersey,2010,218.056,81.32,1.085666067,1737065707,1.737065707
12,San Francisco 49ers,,Levi's Stadium,2014,2014,"$1,310",1310000000,1196,91.3,68.5,170,9,68.5,$200,312,y,Santa Clara,California,n,68983,Open,37.403203,-121.96983,In use,Levi's Stadium,Santa Clara,California,2014,236.736,100,1,1.31E+09,1.31
