Municipality,Received?,Website,Vendor,Avg_annual_cost,Years_in_contract,Cost_over_life_of_contract,Dataset_limit,Signed,population
Los Angeles City,Y,https://data.lacity.org/,Socrata,400000,5,2000000,1000,5/20/14,3884340
Santa Monica,Y,https://data.smgov.net/,Socrata,34999.32,3,104997.97,100,5/8/14,92484
Los Angeles County,Y,https://data.lacounty.gov/,Socrata,"297,608.02",3,"892,824.08",1500,1/12/15,10017068
Culver City,Y,https://data.culvercity.org/,Socrata,28213,1,,15,11/12/14,39241
Glendale,Y,https://performance.glendaleca.gov/,Socrata,37505.25,1,,50,9/15/14,196000
West Hollywood,Y,https://data.weho.org/,Socrata,15983,1,,50,12/16/14,34893
Riverside County,Y,https://data.countyofriverside.us/,Socrata,24000,1,,125,6/10/14,2292507
Oxnard,Y,https://data.oxnard.org/checkbook/home,Socrata,23213,1,,15,5/7/15,203014
Los Angeles City,Y,https://losangeles.opengov.com/transparency#/274/,OpenGov,25000,1,,,12/26/14,3884340
Bell,Y,https://bell.opengov.com/transparency#/159/breakdown=DBB2600C218743C2A0E740F850FC6406&accountType=expenses&graph=stacked&selection=E67F68699326290F8AB6708139A9E041&legend_sort=desc&saved_view=null&fiscal_start=earliest&fiscal_end=latest,OpenGov,1800,1,,,9/6/13,35831
Calabasas,Y,https://calabasasca.opengov.com/transparency#/176/breakdown=939B412CDF7F432A9EAE9E3BE389325D&accountType=expenses&graph=stacked&selection=4A78B91B6FA1476B84071883DBC40D00&legend_sort=desc&saved_view=null&fiscal_start=earliest&fiscal_end=latest,OpenGov,1900,1,,,11/13/13,23938
Manhattan Beach,Y,https://manhattanbeachca.opengov.com/transparency#727,OpenGov,5000,1,,,2/21/14,35490
West Covina,Y,https://westcovinaca.opengov.com/transparency#/460/breakdown=B4B9771FEB5F409C854B686786511C6E&accountType=expenses&graph=stacked&selection=8CE19C130D0D78514AA96FC34B4A051E&legend_sort=coa&saved_view=null&fiscal_start=earliest&fiscal_end=latest,OpenGov,3500,1,,,3/13/14,107741
El Segundo,Y,https://elsegundoca.opengov.com/transparency#/210/breakdown=38BB0E44D52D496E99534C2C45948B87&accountType=expenses&graph=stacked&month=3&selection=70781BC96187F52A210E7874198200C4&legend_sort=desc&saved_view=null&fiscal_start=earliest&fiscal_end=latest,OpenGov,7500,1,,,4/1/14,16760
Orange County,Y,http://bos.ocgov.com/opengov/default.html,OpenGov,24000,1,,,5/14/15,3114363
Riverside City,Y,http://www.riversideca.gov/transparency/data/dataset/list,OpenGov,12000,1,,,3/10/14,316613
Los Angeles County GIS,Y,http://egis3.lacounty.gov/dataportal/,n/a,0,1,,,,10017068
Pasadena,Y,http://data.cityofpasadena.net/home/,Junar,20666.67,1,,,5/1/14,139727
Santa Clarita,Y,http://data.santa-clarita.com/home/,Junar,7200,1,,,8/19/14,179582
Anaheim,Y,http://anaheim.opendata.junar.com/home/,Junar,18000,1,,,11/3/14,345015
