id,furn_type,address,permit_issued,installed,lat,lon
1,Shelter ,1305 Vermont  NB Vermont NS Pico,Yes,,34.0469479,-118.2917702
2,Shelter ,1438 Washington Bl  EB Washington Bl NS New England St,Yes,,34.0398456,-118.2877587
3,Shelter ,1459 Alvarado Terrace NB Alvarado St FS Hoover St,Yes,,34.0450396,-118.283512
4,Shelter ,1307 Alvarado St  NB Hoover St FS Alvarado St,Yes,,34.0470821,-118.283373
5,Shelter ,2201 Pico Bl  SB Hoover St NS Pico Bl,Yes ,Yes,34.0476112,-118.2845874
6,Shelter ,2202 Pico BL  EB Pico NS Hoover St,Yes,,34.0470926,-118.2844278
7,Shelter ,1266 Hoover St  WB Pico Bl NS Hoover St,Yes ,Yes,34.0479738,-118.2841637
8,Shelter ,2100 Pico Bl  EB Pico Bl NS Alvarado St,Yes,,34.0472247,-118.2826652
9,Shelter ,2012 Pico Bl  WB Pico Bl NS Alvarado St,Yes,,34.0468014,-118.2817634
10,Shelter ,1566 Pico Bl  EB Pico Bl FS Union,Yes,,34.0441584,-118.2764975
11,Shelter ,1200 Hoover Ave  NB Hoover Av NS 12th St,Yes,,34.0497196,-118.2841718
12,Shelter ,1605 Hoover St  EB Venice Bl NS Hoover St,Yes ,Yes,34.0436186,-118.2841871
13,Shelter ,NB Vermont Av FS Venice Bl,Yes,,34.0442243,-118.291601
14,Shelter ,1200 Washington Bl NB Hoover NS Washington,Yes,,34.0388532,-118.2826629
15,Shelter ,EB Washington Bl NS Oak St,Yes,,34.0369676,-118.2777151
16,Shelter ,WB Washington Bl NS Union Ave,Yes,,34.0385264,-118.2811579
17,Shelter ,1116 W. Venice Bl  EB Washington Bl NS Union Ave,Yes,,34.041424,-118.2810612
18,Shelter ,1044 W. Venice Bl  NB Union Av NS Venice Bl,Yes,,34.041424,-118.2810612
19,Shelter ,1051 Venice Bl  WB Venice Bl NS Union Av,Yes,,34.0415215,-118.278343
20,Shelter ,112 Venice Bl  EB Venice Bl NS Union Av,Yes,,34.0338913,-118.2630861
21,Shelter ,1400 Pico Bl  EB Pico Bl NS Albany St,Yes,,34.0431556,-118.274417
22,Shelter ,1535 Hoover St  SB Hoover St NS Venice Bl,Yes,,34.0443213,-118.2842036
23,Shelter ,1920 West Venice  EB Venice NS Midway (Loyola High),Yes,,34.0440303,-118.2981566
24,Shelter ,2011 Venice Bl  SB Normandie Av NS Venice,Yes,,34.044067,-118.3006004
25,Shelter ,1586 Washington Bl  NB Vermont Av NS Washington,Yes ,Yes,34.0399952,-118.2912614
26,Shelter ,1586 EB Washington Bl FS Vermont Av,Yes ,Yes,34.0399952,-118.2912614
27,Shelter ,WB Washington Bl NS Normandie,Yes ,Yes,34.0399754,-118.3003454
28,Shelter ,SB Normandie Ave NS Washington Bl,Yes,,34.0399754,-118.3003454
29,Shelter ,NB Normandie Av NS Venice Bl,Yes ,Yes,34.0437449,-118.3004205
30,Shelter ,WB Venice Bl NS Normandie Ave,Yes,,34.0437449,-118.3004205
31,Shelter ,1901 Venice Bl WB Venice Bl NS Midway (Loyola HS),Yes ,Yes,34.04492,-118.2966467
32,Shelter ,2773 Pico Bl WB Pico NS Normandie Ave,Yes,,34.047528,-118.299784
33,Shelter ,1324 Normandie Ave  NB Normandie Av NS Pico Bl,Yes ,Yes,34.0457607,-118.2995755
34,Shelter ,SB Normandie Ave FS Pico Bl,Yes ,Yes,34.0472264,-118.3000267
35,Shelter ,EB Venice Bl NS Vermont Ave,Yes ,Yes,34.0442243,-118.291601
36,Shelter ,1367 Venice Bl WB Venice Bl NS Courtland Ave,Yes,,34.0437373,-118.2834106
37,Shelter ,2506 Pico Bl EB Pico Bl NS Vermont,Yes,,34.0470928,-118.2919162
38,Shelter ,1603 Venice Bl WB Venice Bl NS Westmoreland Ave,Yes,,34.0442611,-118.2888383
39,Shelter ,2585 Olympic Bl  WB Olympic Bl NS Elden Ave,Yes ,Yes,34.0526351,-118.2874573
40,Shelter ,1912 Pico Bl EB Pico Bl NS Bonnie Brae St,Yes,,34.0461531,-118.2806785
41,Shelter ,2101 W. Olympic Bl  SB Alvarado St NS Olympic Bl,Yes ,Yes,34.0520574,-118.2801032
42,Shelter ,2500 Pico SB Vermont FS Pico,Yes,,34.0471071,-118.2918348
43,Shelter ,1620 Venice Bl EB Venice Bl NS Westmoreland Ave,Yes,,34.0440169,-118.289471
44,Shelter ,2411 W. Olympic Bl WB Olympic Bl NS Hoover,Yes ,Yes,34.0526575,-118.2837843
45,Shelter ,2500 Olympic Bl SB Hoover St FS Olympic Bl,Yes,,34.0519953,-118.2845331
46,Shelter ,997 Vermont SB Vermont NS Olympic Bl,Yes,,34.0527032,-118.2916443
47,Shelter ,2500 W. Olympic Bl (EB Olympic NS Hoover),Yes ,Yes,34.0519953,-118.2845331
48,Shelter ,1417 Washington Bl WB Washington Bl NS New England St,Yes,,34.04028,-118.2870979
49,Shelter ,1729 W. Olympic Bl  WB Olympic Bl NS Burlington Ave,Yes ,Yes,34.0501038,-118.2761873
50,Shelter ,NB Ave 26 FS Iedll,Yes,,34.0522342,-118.2436849
51,Shelter ,NB Figueroa St FS Ave 50,Yes,,34.1049716,-118.2021592
52,Shelter ,SB Figueroa St NS Ave 45,Yes,,34.0959275,-118.2073255
53,Shelter ,2890 Pico EB Pico Bl NS Ardmore Ave,Yes ,Yes,34.0471891,-118.3027546
54,Shelter ,2921 Pico Bl WB Pico Bl NS Harvard Bl,Yes,,34.0474526,-118.3038858
55,Shelter ,1201 Broadway WB Broadway NS Bishops,Yes ,Yes,34.0381453,-118.2604936
56,Shelter ,SB Broadway NS Cesar E. Chavez,Yes ,Yes,34.0585244,-118.2402534
57,Shelter ,WB Cesar Chavez FS Broadway,Yes ,Yes,34.0585244,-118.2402534
58,Shelter ,WB Cesar Chavez FS Broadway,Yes ,Yes,34.0585244,-118.2402534
59,Shelter ,722 S. Bixel St  EB 7th St FS Bixel St,Yes ,Yes,34.0501049,-118.264067
60,Shelter ,2316 San Fernando Rd  SB San Fernando Rd NS Verdugo Rd.,Yes,,34.104994,-118.239194
61,Shelter ,SB Eagle Rock Bl NS Verdugo Rd,Yes ,Yes,34.1183078,-118.2327173
62,Shelter ,942 N Broadway NB Broadway FS College St,Yes ,Yes,34.064974,-118.2365045
63,Shelter ,531 W College St  SB Hill St NS College,Yes,,34.0650737,-118.2391378
64,Shelter ,888 N. Hill St.  NB Hill St NS College,Yes ,Yes,34.063782,-118.238615
65,Shelter ,984 N. Broadway NB Broadway NS Bernard St,Yes ,Yes,34.066457,-118.2358121
66,Shelter ,303 S. Loma Av  EB 3rd St NS Loma Dr,Yes ,Yes,34.1245938,-118.2558547
67,Shelter ,1700 W. 6th ST  EB 6th St NS Union Av,Yes,,34.0569633,-118.2704507
68,Shelter ,1900 W. 6th St EB 6th St NS Bonnie Brae St,Yes ,Yes,34.0584364,-118.2729575
69,Shelter ,2401 W. 6th St. WB 6th St NS Park View ST,Yes,,34.06134,-118.2780649
70,Shelter ,1401 W. 6th St  WB 6th St FS Valencia St,Yes,,34.0567093,-118.266973
71,Shelter ,1200 W. Wilshire Bl  EB Wilshire Bl FS Wimer St,Yes,,34.0526919,-118.2653529
72,Shelter ,2300 Wilshire Bl WB Wilshire Bl NS Park View St,Yes ,Yes,34.0579912,-118.2759496
73,Shelter ,600 S. Park View St.  WB 7th St NS Park View St,Yes,,34.0597809,-118.2794123
74,Shelter ,WB 7th St FS Alvarado St,Yes,,34.0564586,-118.2768395
75,Shelter ,1600 W. 7th ST  EB 7th St NS Union Ave,Yes,,34.0538185,-118.2715427
76,Shelter ,1200 W. 7th St. EB 7th St NS Lucas Ave,Yes ,Yes,34.0512242,-118.266117
77,Shelter ,700 S. Garland Ave WB 8th NS Garland Ave,Yes ,Yes,34.0516926,-118.2663156
78,Shelter ,2100 W. 8th St WB 8th St FS Alvarado St,Yes,,34.0548618,-118.2778395
79,Shelter ,2426 W. 8th St  EB 8th St NS Park View St,Yes ,Yes,34.056216,-118.2818272
80,Shelter ,847 S. Alvarado St  SB Alvarado St NS James M. Wood Bl,Yes,,34.05378,-118.2789708
81,Shelter ,1500 Venice BlEB Venice Bl NS Magnolia Av,Yes ,Yes,33.9960748,-118.4478614
82,Shelter ,1500 Adams Bl  WB Adams NS Budlong Ave,Yes ,Yes,34.032421,-118.294461
83,Shelter ,SB Figueroa St NS Cypress Ave,Yes,,34.0864321,-118.2190399
84,Shelter ,3810 N. Figueroa St  NB Figueroa St NS Pasadena St,Yes ,Yes,34.090375,-118.2116518
85,Shelter ,4228 N. Figueroa St  NB Figueroa St NS Ave 43,Yes ,Yes,34.0941388,-118.2084521
86,Shelter ,NB Figueroa St NS Sycamore Dr,Yes,,34.1018882,-118.2031669
87,Shelter ,300 S. Alvarado St. NB Alvarado NS 3rd St.,Yes ,Yes,34.062615,-118.272445
88,Shelter ,650 S. Alvarado St. NB Alvarado St. NS Wilshire,Yes,,34.0575384,-118.2756459
89,Shelter ,700 S. Alvarado NB Alvarado NS 7th St.,Yes ,Yes,34.0564514,-118.2768228
