Precinct,Ballot_Group,Consolidation,IsVoteByMail
9001201E,79,9001733A,0
1940007A,71,1940007A,0
2700023D,155,2700023A,0
9007735A,21,9007735A,0
1300039C,37,1300039A,0
9007790C,11,9007790B,0
6250043A,81,6250053A,0
7850204F,180,7850204A,0
1600074F,104,1600074B,0
2700011C,155,2700011A,1
9000267E,81,9000267A,0
3550072C,2,3550021A,0
3990011B,156,3990011B,0
5530005D,192,5530018B,0
5050005C,192,5050005A,0
9001320A,104,9001320A,0
1900005D,67,1900005A,0
2850001C,99,2850001A,0
9002572D,175,9002572A,0
9006368D,199,9006368A,0
9006271B,19,9007838A,0
4060003S,83,4060003A,0
5000014C,2,5000020A,0
2630028A,123,2630016A,0
6050005G,21,6050005A,0
9002767A,141,9002767A,1
6300438F,3,6300002B,1
1450008F,179,1450008A,0
3400023D,39,3400023A,0
2550111D,45,2550111A,0
9004204F,58,9004204A,0
5230018A,127,5230018A,0
3300020B,120,3300020A,0
5230006A,127,5230012A,0
1500008C,63,1500008A,0
5400053A,1,1750061D,1
9001997G,137,9000720C,0
5230019D,127,5230019A,0
5250006F,90,5250006A,0
9001896E,55,9002123A,0
3150004B,46,3150004A,0
3850229E,204,3850229A,0
9006651A,55,9006651A,0
9003991B,43,9001232A,0
9000134C,21,9000134A,0
9003280E,147,9003280A,0
7150131D,191,7150131A,0
0050005B,2,0050005A,0
9000580B,42,9000580A,0
7050008G,68,7050008B,0
2930007A,114,2930017A,1
6300438E,2,0090005B,1
6230019E,120,6230051A,0
6550002B,171,6550009A,0
4800038D,120,4800038A,0
9002251D,81,9002273A,0
3300020F,120,3300020A,0
9004204A,58,9004204A,0
9001796B,43,9001796B,0
6700070B,120,6700070A,0
1850047D,129,1850047A,0
5250042A,90,5250042A,0
2100017F,72,2100017A,0
9007927E,55,9007927A,0
2550117A,45,2550117A,0
9002918B,60,9000511A,0
4060008A,83,0070041A,0
2350002A,37,1300037A,0
6700052F,120,6700052A,0
3670032D,155,3670032A,0
6700017E,120,6700017A,0
2600058B,65,2600058A,0
7700153E,64,7700153A,0
0950012A,48,0950012A,0
9001129A,137,9001708A,0
6250023F,81,6250046A,0
2700090D,155,2700090A,0
5730011A,192,5730011A,0
7750029B,79,7750024A,0
9000851B,85,9000965A,0
0700013A,164,0700013A,0
6850016A,46,6850034A,1
6220105D,14,6220105A,0
0350054G,68,0350054A,0
7150088C,194,7150087A,0
5150209E,36,5150209A,0
9006429D,55,9006429B,0
7150003B,198,7150003A,0
9000205F,58,9000205A,0
7800001A,120,7800001A,0
4400001A,39,4400001A,0
6300036C,14,6300023A,0
6220128C,14,6220011B,0
9005667D,30,9005667A,0
3850279F,214,3850259A,0
9001256C,107,9001256A,0
9002838F,55,9000064A,0
1450118D,179,1450118B,0
5150009D,38,5150014A,0
9006354A,211,9006354A,0
9000398F,58,9000399A,0
9000049A,93,9000049A,0
9002306E,104,9002306A,0
1300013B,37,1300004A,0
9002523B,138,9002523A,0
9003024B,81,9001190D,0
3850178A,204,3850178A,0
7150040B,198,7150028A,0
3850100B,219,3850100A,0
9000717A,21,9000125B,0
2000009D,87,2000001A,0
9002882B,21,9000027A,0
5000023B,2,5000008A,0
9001786D,104,9001786A,0
3300016C,120,3300015A,0
1900004B,67,1900006A,0
6550019K,171,6550019B,0
9001580C,96,9001739A,0
9001437A,177,9001434A,0
2100103E,72,2100103A,0
1900006D,67,1900006A,0
1020010D,14,1020014A,0
5500007E,64,5500007A,0
9001483A,215,9001483A,0
3850200A,206,3850200A,0
2000053G,88,2000053A,0
9002177F,153,9002177A,0
2500018D,196,2500018A,0
5250057A,90,5250057A,0
2750009E,193,2750003A,0
0200012B,36,0200044A,0
9002124E,104,9002556A,0
5230020C,127,5230020A,0
6220066B,14,6220061A,0
6820001F,18,6820001A,0
5850077I,110,5850077B,0
1780044E,110,1780041A,0
6220087E,14,6220087A,0
9006260E,52,9006260A,0
6250024A,81,6250024A,0
2750013D,193,2750012A,0
