SALE_DAY,COUNTY_CODE,GUN_TYPE,LAST_STATUS,REC_TYPE,COUNT
20160101,1,HANDGUN,APPROVED,DROS,11
20160101,1,LONGGUN,APPROVED,DROS,16
20160101,10,HANDGUN,APPROVED,DROS,10
20160101,10,LONGGUN,APPROVED,DROS,11
20160101,11,LONGGUN,APPROVED,DROS,2
20160101,12,HANDGUN,APPROVED,DROS,5
20160101,12,LONGGUN,APPROVED,DROS,8
20160101,13,HANDGUN,APPROVED,DROS,2
20160101,13,LONGGUN,APPROVED,DROS,1
20160101,14,LONGGUN,APPROVED,DROS,1
20160101,15,HANDGUN,APPROVED,DROS,10
20160101,15,LONGGUN,APPROVED,DROS,18
20160101,15,LONGGUN,DENIED,DROS,1
20160101,16,LONGGUN,APPROVED,DROS,2
20160101,17,HANDGUN,APPROVED,DROS,2
20160101,17,LONGGUN,APPROVED,DROS,1
20160101,18,HANDGUN,APPROVED,DROS,1
20160101,19,HANDGUN,APPROVED,DROS,13
20160101,19,HANDGUN,DENIED,DROS,2
20160101,19,LONGGUN,APPROVED,DROS,33
20160101,19,LONGGUN,DENIED,DROS,1
20160101,20,HANDGUN,APPROVED,DROS,4
20160101,20,LONGGUN,APPROVED,DROS,4
20160101,21,HANDGUN,APPROVED,DROS,1
20160101,21,LONGGUN,APPROVED,DROS,1
20160101,22,HANDGUN,APPROVED,DROS,1
20160101,23,LONGGUN,APPROVED,DROS,1
20160101,24,LONGGUN,APPROVED,DROS,1
20160101,26,LONGGUN,APPROVED,DROS,1
20160101,27,LONGGUN,APPROVED,DROS,4
20160101,28,HANDGUN,APPROVED,DROS,2
20160101,28,LONGGUN,APPROVED,DROS,2
20160101,29,HANDGUN,APPROVED,DROS,1
20160101,3,LONGGUN,APPROVED,DROS,2
20160101,30,HANDGUN,APPROVED,DROS,10
20160101,30,LONGGUN,APPROVED,DROS,17
20160101,31,HANDGUN,APPROVED,DROS,16
20160101,31,LONGGUN,APPROVED,DROS,18
20160101,32,HANDGUN,APPROVED,DROS,10
20160101,33,HANDGUN,APPROVED,DROS,8
20160101,33,HANDGUN,DENIED,DROS,1
20160101,33,LONGGUN,APPROVED,DROS,26
20160101,34,HANDGUN,APPROVED,DROS,34
20160101,34,LONGGUN,APPROVED,DROS,29
20160101,34,LONGGUN,DENIED,DROS,1
20160101,35,LONGGUN,APPROVED,DROS,2
20160101,36,HANDGUN,APPROVED,DROS,13
20160101,36,HANDGUN,DENIED,DROS,1
20160101,36,LONGGUN,APPROVED,DROS,25
20160101,37,HANDGUN,APPROVED,DROS,25
20160101,37,HANDGUN,DENIED,DROS,1
20160101,37,HANDGUN,PENDING,DROS,1
20160101,37,LONGGUN,APPROVED,DROS,15
20160101,38,LONGGUN,APPROVED,DROS,3
20160101,39,LONGGUN,APPROVED,DROS,6
20160101,4,HANDGUN,APPROVED,DROS,12
20160101,4,LONGGUN,APPROVED,DROS,13
20160101,40,LONGGUN,APPROVED,DROS,4
20160101,41,HANDGUN,APPROVED,DROS,2
20160101,41,LONGGUN,APPROVED,DROS,2
20160101,42,HANDGUN,APPROVED,DROS,2
20160101,42,HANDGUN,DENIED,DROS,1
20160101,42,LONGGUN,APPROVED,DROS,6
20160101,42,LONGGUN,DENIED,DROS,1
20160101,43,HANDGUN,APPROVED,DROS,13
