agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
23,Alameda County Water District,alameda county water district,alameda-county-water-district,San Francisco Bay,san-francisco-bay,0.16,0.16,0.277,TRUE,0
25,Alco Water Service,alco water service,alco-water-service,Central Coast,central-coast,0.24,0.24,0.236,FALSE,0
55,Amador Water Agency,amador water agency,amador-water-agency,San Joaquin River,san-joaquin-river,0.16,0.21,0.275,TRUE,0
87,Apple Valley Ranchos Water Company,apple valley ranchos water company,apple-valley-ranchos-water-company,South Lahontan,south-lahontan,0.28,0.24,0.265,FALSE,0
102,Arvin Community Services District,arvin community services district,arvin-community-services-district,Tulare Lake,tulare-lake,0.28,0.21,0.317,TRUE,0
107,Atascadero Mutual Water Company,atascadero mutual water company,atascadero-mutual-water-company,Central Coast,central-coast,0.28,0.28,0.282,TRUE,0
124,Bakman Water Company,bakman water company,bakman-water-company,Tulare Lake,tulare-lake,0.36,0.34,0.271,FALSE,NULL
159,Beaumont-Cherry Valley Water District,beaumont-cherry valley water district,beaumont-cherry-valley-water-district,South Coast,south-coast,0.36,0.32,0.222,FALSE,0
167,Bella Vista Water District,bella vista water district,bella-vista-water-district,Sacramento River,sacramento-river,0.36,0.33,0.526,TRUE,NULL
170,Bellflower-Somerset Mutual Water Company,bellflower-somerset mutual water company,bellflower-somerset-mutual-water-company,South Coast,south-coast,0.2,0.2,0.18,FALSE,0.2
197,Big Bear City Community Services District,big bear city community services district,big-bear-city-community-services-district,South Coast,south-coast,0.16,0.13,0.133,FALSE,0
351,Calaveras County Water District,calaveras county water district,calaveras-county-water-district,San Joaquin River,san-joaquin-river,0.16,0.13,0.282,TRUE,0
357,California Water Service Company Antelope Valley,california water service company antelope valley,california-water-service-company-antelope-valley,South Lahontan,south-lahontan,0.36,0.32,0.478,TRUE,0
