"","SchoolCode","SchoolName","EthnicityRace","Grade","PrimaryResidency","UnaccompaniedYouthIndicator","RunawayYouthIndicator","StartDate","EnrollmentStatusCode","ExitDate","SINFStartDate","EngLangAcqStatus","TitleIMigrant","SpecialEducation","year"
"1",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","4/12/2010","10-Primary enrollment","6/24/2011","8/14/2013","RFEP","N","N","2010-2011"
"2",6027288,"Barton (Clara) Elementary","Hispanic","3","120-Temporarily Doubled Up","N","N","5/7/2010","10-Primary enrollment","6/30/2014","7/1/2013","RFEP","N","N","2010-2011"
"3",6027288,"Barton (Clara) Elementary","Hispanic","2","120-Temporarily Doubled Up","N","N","8/20/2009","10-Primary enrollment","6/30/2011","8/21/2014","RFEP","N","N","2010-2011"
"4",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","4/3/2008","10-Primary enrollment","6/24/2011","8/26/2013","RFEP","N","N","2010-2011"
"5",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","1/9/2008","10-Primary enrollment","1/14/2011","4/25/2014","RFEP","N","N","2010-2011"
"6",6027288,"Barton (Clara) Elementary","Am Indian/Alskn Nat","6","120-Temporarily Doubled Up","N","N","7/11/2005","10-Primary enrollment","6/24/2011","8/26/2013","EO  ","N","N","2010-2011"
"7",6027288,"Barton (Clara) Elementary","Hispanic","KN","100-Temporary Shelters","N","N","8/20/2009","10-Primary enrollment","6/30/2010","5/29/2014","EO  ","N","N","2010-2011"
"8",6027288,"Barton (Clara) Elementary","Hispanic","6","100-Temporary Shelters","N","N","11/12/2008","10-Primary enrollment","6/30/2010","5/29/2014","EO  ","N","N","2010-2011"
"9",6027288,"Barton (Clara) Elementary","Missing","5","120-Temporarily Doubled Up","N","N","7/11/2005","10-Primary enrollment","6/21/2012","7/1/2013","EO  ","N","N","2010-2011"
"10",6027288,"Barton (Clara) Elementary","Hispanic","5","120-Temporarily Doubled Up","N","N","8/20/2009","10-Primary enrollment","3/9/2012","7/1/2013","EL  ","N","Y","2010-2011"
"11",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","5/7/2010","10-Primary enrollment","6/24/2011","8/26/2013","RFEP","N","N","2010-2011"
"12",6027288,"Barton (Clara) Elementary","Hispanic","5","120-Temporarily Doubled Up","N","N","7/11/2005","10-Primary enrollment","6/21/2012","7/1/2013","IFEP","N","N","2010-2011"
"13",6027288,"Barton (Clara) Elementary","White","6","120-Temporarily Doubled Up","N","N","7/12/2004","10-Primary enrollment","6/24/2011","8/26/2013","EO  ","N","N","2010-2011"
"14",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","7/7/2003","10-Primary enrollment","6/30/2010","7/1/2013","RFEP","N","N","2010-2011"
"15",6027288,"Barton (Clara) Elementary","Hispanic","2","120-Temporarily Doubled Up","N","N","8/18/2008","10-Primary enrollment","6/28/2013","3/14/2014","RFEP","N","N","2010-2011"
"16",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","7/12/2004","10-Primary enrollment","6/24/2011","8/26/2013","RFEP","N","N","2010-2011"
"17",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","7/12/2004","10-Primary enrollment","6/24/2011","8/26/2013","EO  ","N","N","2010-2011"
"18",6027288,"Barton (Clara) Elementary","Hispanic","4","120-Temporarily Doubled Up","N","N","7/10/2006","10-Primary enrollment","6/28/2013","8/26/2013","EO  ","N","N","2010-2011"
"19",6027288,"Barton (Clara) Elementary","Hispanic","6","120-Temporarily Doubled Up","N","N","7/12/2004","10-Primary enrollment","6/24/2011","8/26/2013","RFEP","N","Y","2010-2011"
"20",6027288,"Barton (Clara) Elementary","Hispanic","4","120-Temporarily Doubled Up","N","N","8/8/2006","10-Primary enrollment","5/17/2012","9/3/2013","EL  ","N","N","2010-2011"
