School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Redwood,1,friends or family,1 parent,,,,,2010-2011,,
Grant,2,> 1 family,1 parent,,,,,2010-2011,,
Oleander,3,> 1 family,1 parent,,,,,2010-2011,,
Juniper,K,in a permanent house or apartment,1 parent,,,,,2010-2011,,
Oleander,1,> 1 family,2 parents,,,,,2010-2011,,
Alder,8,> 1 family,1 parent & another adult,,,,,2010-2011,,
Oleander,5,> 1 family,1 parent & another adult,,,,,2010-2011,,
Truman,8,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,K,> 1 family,2 parents,,,,,2010-2011,,
Summit,10,> 1 family,1 parent,,,,,2010-2011,,
Kaiser H.S.,9,>1 family,2 parents,,,,,2010-2011,,
S. Tamarind,5,> 1  family,2 parents,,,,,2010-2011,,
Citrus,3,friends or family,1 parent,,,,,2010-2011,,
Citrus,3,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,1,> 1 family,2 parents,,,,,2010-2011,,
Juniper,1,friends or family,2 parents,,,,,2010-2011,,
Citrus,4,> 1 family,1 parent,,,,,2010-2011,,
Ruble,7,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,12,> 1 family,1 parent,,,,,2010-2011,,
Ruble,8,> 1 family,1 parent,,,,,2010-2011,,
Truman,7,> 1 family,2 parents,,,,,2010-2011,,
Fontana M.S.,7,> 1 family,2 parents,,,,,2010-2011,,
Truman,6,> 1 family,2 parents,,,,,2010-2011,,
Cypress,4,> 1 family,2 parents,,,,,2010-2011,,
Cypress,2,> 1 family,2 parents,,,,,2010-2011,,
Porter,1,> 1 family,2 parents,,,,,2010-2011,,
Oleander,1,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,10,>1 family,1 parent,,,,,2010-2011,,
Canyon Crest,K,> 1 family,2 parents,,,,,2010-2011,,
Tokay,K,friends or family, 1 parent,,,,,2010-2011,,
Redwood,K,trailer,2 parents,,,,,2010-2011,,
Porter,1,> 1 family,2 parents,,,,,2010-2011,,
S. Tamarind,K,friends or family,2 parents,,,,,2010-2011,,
Shadow Hills,5,friends or family,2 parents,,,,,2010-2011,,
Shadow Hills,K,friends or family,2 parents,,,,,2010-2011,,
Cypress,4,friends or family,1 parent,,,,,2010-2011,,
Truman,8,> 1 family,2 parents,,,,,2010-2011,,
Locust,2,friends or family,1 parent,,,,,2010-2011,,
Locust,1,friends or family,1 parent,,,,,2010-2011,,
Alder,8,> 1 family,1 parent,,,,,2010-2011,,
N. Tamarind,4,> 1 family,1 parent,,,,,2010-2011,,
N. Tamarind,3,friends or family,1 parent,,,,,2010-2011,,
Porter,2,"in a car, trailer park, or campsite",1 parent & another adult,,,,,2010-2011,,
Jurupa,9,> 1 family,2 parents,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,,,,2010-2011,,
Fontana M.S.,7,> 1 family,2 parents,,,,,2010-2011,,
Southridge,6,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,11,friends or family,1 parent & another adult,,,,,2010-2011,,
Alder,8,> 1 family,1 parent,,,,,2010-2011,,
Canyon Crest,K,> 1 family,1 parent,,,,,2010-2011,,
Porter,4,friends or family,1 parent,,,,,2010-2011,,
S. Tamarind,4,friends or family,1 parent,,,,,2010-2011,,
Fontana M.S.,7,> 1 family,relative/another adult,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,Yes,,,2010-2011,,
Truman,7,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,12,> 1 family,alone with no adults,,,,,2010-2011,,
Truman,7,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,9,>1 family,2 parents,,,,,2010-2011,,
Fohi,9,> 1 family,1 parent,,,,,2010-2011,,
Fontana M.S.,8,friends or family,2 parents,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,,,,2010-2011,,
FMS,6,>1 family,2 parents,,,,,2010-2011,,
Redwood,2,> 1 family,2 parents,,,,,2010-2011,,
Citrus,1,friends or family,2 parents,,,,,2010-2011,,
Oak Park,K,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,9,> 1 family,2 parents,,,,,2010-2011,,
Redwood,1,> 1 family,2 parents,,,,,2010-2011,,
Poplar,K,friends or family,1 parent,,,,,2010-2011,,
Randall Pepper,K,> 1 family,2 parents,,,,,2010-2011,,
Citrus,K,> 1 family,2 parents,,,,,2010-2011,,
Cypress,4,> 1 family,1 parent,,,,,2010-2011,,
