"","ethniccode","n","year"
"1","Asian",210,"2010-2011"
"2","Black",1247,"2010-2011"
"3","Filipino",124,"2010-2011"
"4","Hispanic",2666,"2010-2011"
"5","American Indian",19,"2010-2011"
"6","Multiple",28,"2010-2011"
"7","Pacific Islander",140,"2010-2011"
"8","White",276,"2010-2011"
"9","Unknown",42,"2010-2011"
"10","Total",4752,"2010-2011"
"11","Asian",219,"2011-2012"
"12","Black",1336,"2011-2012"
"13","Filipino",142,"2011-2012"
"14","Hispanic",2802,"2011-2012"
"15","American Indian",16,"2011-2012"
"16","Multiple",41,"2011-2012"
"17","Pacific Islander",154,"2011-2012"
"18","White",273,"2011-2012"
"19","Unknown",51,"2011-2012"
"20","Total",5034,"2011-2012"
"21","Asian",247,"2012-2013"
"22","Black",1384,"2012-2013"
"23","Filipino",154,"2012-2013"
"24","Hispanic",3006,"2012-2013"
"25","American Indian",18,"2012-2013"
"26","Multiple",57,"2012-2013"
"27","Pacific Islander",157,"2012-2013"
"28","White",255,"2012-2013"
"29","Unknown",51,"2012-2013"
"30","Total",5329,"2012-2013"
"31","Asian",217,"2013-2014"
"32","Black",1218,"2013-2014"
"33","Filipino",144,"2013-2014"
"34","Hispanic",2809,"2013-2014"
"35","American Indian",18,"2013-2014"
"36","Multiple",73,"2013-2014"
"37","Pacific Islander",136,"2013-2014"
"38","White",239,"2013-2014"
"39","Unknown",41,"2013-2014"
"40","Total",4895,"2013-2014"
"41","Asian",204,"2014-2015"
"42","Black",973,"2014-2015"
"43","Filipino",125,"2014-2015"
"44","Hispanic",2481,"2014-2015"
"45","American Indian",9,"2014-2015"
"46","Multiple",77,"2014-2015"
"47","Pacific Islander",114,"2014-2015"
"48","White",199,"2014-2015"
"49","Unknown",34,"2014-2015"
"50","Total",4216,"2014-2015"
"51","Asian",188,"2015-2016"
"52","Black",787,"2015-2016"
"53","Filipino",106,"2015-2016"
"54","Hispanic",2169,"2015-2016"
"55","American Indian",7,"2015-2016"
"56","Multiple",69,"2015-2016"
"57","Pacific Islander",93,"2015-2016"
"58","White",163,"2015-2016"
"59","Unknown",29,"2015-2016"
"60","Total",3611,"2015-2016"
