lodging,n,year
Emergency Shelter,226,2010-2011
Hotels/Motel,213,2010-2011
Long-term Shelter,236,2010-2011
Other,426,2010-2011
Shared Residence,3523,2010-2011
Unknown,96,2010-2011
Vehicle,22,2010-2011
Youth Shelter,10,2010-2011
Emergency Shelter,249,2011-2012
Hotels/Motel,249,2011-2012
Long-term Shelter,231,2011-2012
Other,490,2011-2012
Shared Residence,3692,2011-2012
Unknown,89,2011-2012
Vehicle,24,2011-2012
Youth Shelter,10,2011-2012
Emergency Shelter,278,2012-2013
Hotels/Motel,317,2012-2013
Long-term Shelter,221,2012-2013
Other,370,2012-2013
Shared Residence,4008,2012-2013
Temporary Shelter,9,2012-2013
Unknown,73,2012-2013
"Unsheltered (Car, Park, etc)",1,2012-2013
Vehicle,45,2012-2013
Youth Shelter,7,2012-2013
Emergency Shelter,230,2013-2014
Hotels/Motel,266,2013-2014
Long-term Shelter,163,2013-2014
Other,244,2013-2014
Shared Residence,3796,2013-2014
Temporary Shelter,94,2013-2014
Unknown,47,2013-2014
"Unsheltered (Car, Park, etc)",8,2013-2014
Vehicle,42,2013-2014
Youth Shelter,5,2013-2014
Emergency Shelter,151,2014-2015
Foster Placement,11,2014-2015
Hotels/Motel,216,2014-2015
Long-term Shelter,112,2014-2015
Other,180,2014-2015
Shared Residence,3354,2014-2015
Temporary Shelter,109,2014-2015
Unknown,36,2014-2015
"Unsheltered (Car, Park, etc)",12,2014-2015
Vehicle,31,2014-2015
Youth Shelter,4,2014-2015
Emergency Shelter,121,2015-2016
Foster Placement,19,2015-2016
Hotels/Motel,179,2015-2016
Long-term Shelter,84,2015-2016
Other,144,2015-2016
Shared Residence,2911,2015-2016
Temporary Shelter,86,2015-2016
Unknown,27,2015-2016
"Unsheltered (Car, Park, etc)",13,2015-2016
Vehicle,25,2015-2016
Youth Shelter,2,2015-2016
