Grade Level,Number of Homeless Youth Served,year
Under Age 3,0,2009-2010
Pre-K,53,2009-2010
Kindergarten,316,2009-2010
1,266,2009-2010
2,277,2009-2010
3,268,2009-2010
4,263,2009-2010
5,254,2009-2010
6,213,2009-2010
7,269,2009-2010
8,226,2009-2010
9,198,2009-2010
10,151,2009-2010
11,88,2009-2010
12,88,2009-2010
Ungraded,0,2009-2010
Under Age 3,0,2010-2011
Pre-K,253,2010-2011
Kindergarten,230,2010-2011
1,273,2010-2011
2,239,2010-2011
3,238,2010-2011
4,210,2010-2011
5,184,2010-2011
6,202,2010-2011
7,162,2010-2011
8,175,2010-2011
9,145,2010-2011
10,105,2010-2011
11,94,2010-2011
12,79,2010-2011
Ungraded,0,2010-2011
Under Age 3,0,2011-2012
Pre-K,76,2011-2012
Kindergarten,325,2011-2012
1,327,2011-2012
2,247,2011-2012
3,208,2011-2012
4,202,2011-2012
5,199,2011-2012
6,158,2011-2012
7,171,2011-2012
8,132,2011-2012
9,111,2011-2012
10,105,2011-2012
11,77,2011-2012
12,78,2011-2012
Ungraded,0,2011-2012
Under Age 3,0,2012-2013
Pre-K,190,2012-2013
Kindergarten,371,2012-2013
1,332,2012-2013
2,264,2012-2013
3,184,2012-2013
4,169,2012-2013
5,154,2012-2013
6,168,2012-2013
7,138,2012-2013
8,106,2012-2013
9,138,2012-2013
10,123,2012-2013
11,107,2012-2013
12,112,2012-2013
Ungraded,0,2012-2013
Under Age 3,0,2013-2014
Pre-K,231,2013-2014
Kindergarten,514,2013-2014
1,417,2013-2014
2,384,2013-2014
3,343,2013-2014
4,254,2013-2014
5,257,2013-2014
6,223,2013-2014
7,221,2013-2014
8,193,2013-2014
9,226,2013-2014
10,213,2013-2014
11,171,2013-2014
12,172,2013-2014
Ungraded,0,2013-2014
Under Age 3,0,2014-2015
Pre-K,92,2014-2015
Kindergarten,378,2014-2015
1,373,2014-2015
2,337,2014-2015
3,349,2014-2015
4,285,2014-2015
5,205,2014-2015
6,213,2014-2015
7,37,2014-2015
8,190,2014-2015
9,169,2014-2015
10,187,2014-2015
11,170,2014-2015
12,152,2014-2015
Ungraded,0,2014-2015
