SchoolCode	SchoolName	EthnicityRace	Grade	PrimaryResidency	UnaccompaniedYouthIndicator	RunawayYouthIndicator	StartDate	EnrollmentStatusCode	ExitDate	SINFStartDate	EngLangAcqStatus	TitleIMigrant	SpecialEducation
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	5/7/2010	10-Primary enrollment	6/30/2014	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Black/African Am	2	100-Temporary Shelters	N	N	8/10/2011	10-Primary enrollment	7/6/2012	8/10/2011	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/29/2011	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027288	Barton (Clara) Elementary	White	6	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	8/20/2009	10-Primary enrollment	3/9/2012	7/1/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	IFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	1/17/2012	10-Primary enrollment	7/6/2012	9/5/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	1/28/2011	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	1/28/2011	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	6/28/2013	3/14/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/10/2006	10-Primary enrollment	6/28/2013	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/8/2006	10-Primary enrollment	5/17/2012	9/3/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Asian	6	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	7/11/2011	1/31/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Missing	4	110-Hotels/motels	N	N	8/30/2010	10-Primary enrollment	7/5/2013	7/1/2012	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	5/12/2008	10-Primary enrollment	6/21/2012	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	10/7/2011	10-Primary enrollment	11/22/2013	1/23/2014	EL  	N	Y
6027288	Barton (Clara) Elementary	White	6	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	EO  	N	N
