row_names,county,election_type,formal_date,year,registered_voters,registered_voters_change_over_previous,ballots_cast,ballots_cast_change_over_previous,turnout,turnout_change_over_previous,vote_by_mail_absentee_ballots,vote_by_mail_absentee_change_over_previous,percent_vote_by_mail_absentee_of_ballots_cast,data_source
1,Los Angeles,Presidential General,2016-11-08,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2,Los Angeles,Presidential Primary,2016-06-07,2016,4809383,0.0583,2026068,0.3340,0.4213,0.2605,722079,1.2189,0.3564,http://rrcc.co.la.ca.us/elect/16062347/rr2347p16.htm
3,Los Angeles,Midterm General,2014-11-04,2014,4544455,-0.0578,1518835,0.8431,0.3342,0.9562,325421,-0.1879,0.2143,http://rrcc.co.la.ca.us/elect/14110014/rr0014p26.htm
4,Los Angeles,Midterm Primary,2014-06-03,2014,4823407,0.0500,824070,-0.7454,0.1708,-0.7575,400694,-0.5894,0.4862,http://rrcc.co.la.ca.us/elect/14062043/rr2043p20.htm
5,Los Angeles,Presidential General,2012-11-06,2012,4593621,0.0323,3236704,2.3256,0.7046,2.2216,975828,1.2598,0.3015,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-791-11062012.PDF
6,Los Angeles,Presidential Primary,2012-06-05,2012,4450035,0.0066,973274,-0.5906,0.2187,-0.5932,431811,-0.3637,0.4437,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-772-06052012.PDF
7,Los Angeles,Midterm General,2010-11-02,2010,4421019,0.0151,2377105,1.3272,0.5377,1.2927,678651,0.8367,0.2855,http://rrcc.co.la.ca.us/elect/10110010/rr0010px.html-ssi
8,Los Angeles,Midterm Primary,2010-06-08,2010,4355447,0.0593,1021448,-0.6967,0.2345,-0.7137,369499,-0.5440,0.3617,http://rrcc.co.la.ca.us/elect/10061499/rr1499py.html-ssi
9,Los Angeles,Presidential General,2008-11-04,2007.761905,4111642,0.0404,3368057,0.5422,0.8192,0.4823,810222,0.6778,0.2406,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-566-11042008.PDF
10,Los Angeles,Presidential Primary,2008-02-05,2007.761905,3951957,0.0135,2183998,0.0742,0.5526,0.0599,482921,-0.0912,0.2211,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-559-06032008.PDF
11,Los Angeles,Midterm General,2006-11-07,2006,3899397,0.0189,2033119,0.9362,0.5214,0.9002,531383,0.6879,0.2614,http://rrcc.co.la.ca.us/elect/06110016/rr0016pu.html-ssi
12,Los Angeles,Midterm Primary,2006-06-06,2006,3826979,-0.0190,1050076,-0.6597,0.2744,-0.6531,314824,-0.5513,0.2998,http://rrcc.co.la.ca.us/elect/06061275/rr1275px.html-ssi
13,Los Angeles,Presidential General,2004-11-02,2004,3901106,0.0629,3085582,1.2363,0.7910,1.1039,701693,1.1241,0.2274,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-335-11022004.PDF
