LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
39928,MAIN,1-Jan-10,12721 COMETA,12' W/CL COMETA,291 N/CL FERMONT,6,C.I.,1961,80341,"CLAMP, ROUND CRACK",1,,,FAIS,DG,OREGON,222-156,7,24.5,"EXCAVATED HOLE AROUND MAIN, EXPOSED ROUND CRACK & MADE REPAIRS WITH 360 REPAIR CLAMP. BACKFILLED & TEMP OIL, CLEANED UP SITE & MADE SAFE. SMALL AMOUNT OF DEBRIS TO BE PICKED UP.",34.30135361,-118.42798
60543,MAIN,2-Jan-10,3129 W 78TH PLACE,270' E/E 10TH AVE,16' N/S W 78TH PLACE,6,C.I.,1936,54550,ROUND CRACK,1,,,,,BRONKO ANDERSON,100-186,8,16,"FOUND A ROUND CRACK IN 6"" CI MAIN, REPAIRED WITH 6"" 360 DEGREE CLAMP BACKFILLED AND TEMPED COMPLETED JOB.",33.96813681,-118.3276484
42776,MAIN,3-Jan-10,608 W 49TH ST,,517' W/W FIGUEROA ST,6,C.I.,1925,35629,ROUND CRACK,1,,,,ADOBE,R.MCCALL,110-201,5,10,"UPON ARRIVAL, SET UP TRAFFIC DELINEATION. INVESTIGATED LEAK, DRILLED HOLES OVER MAIN, PINPOINTED LEAK, BROKE OUT AND EXCAVATED. FOUND ROUND CRACK ON MAIN. PLACED REPAIR CLAMP OVER LEAK.",33.9987202,-118.284554
41953,MAIN,4-Jan-10,4800 COLLEGE VIEW AV,,5' NN LAVERNA AV,6,C.I.,,,ROUND CRACK,1,,,,GRANITE,MCCALL,160-219,7,14,"INVESTIGATED LEAK DRILLED HOLES OVER MAIN PINPOINTED LEAK BROKE OUT STREET EXCAVATED TO MAIN AND FOUND ROUND CRACK, CLEANED PIPE & PLACED REPAIR CLAMP OVER LEAK.",34.13448627,-118.2206619
39934,MAIN,4-Jan-10,6657 NORWICH AVE,12' W/CL NORWICH AVE,40 S/CL LEMAY STR,6,C.I.,1951,62310,"ROUND CRACK, TREE ROOTS",1,,,,,CRUZ,182-147,8,23,"FOUND LARGE TREE ROOTS UNDER MAIN ROUND CRACK. ALIGNMENT OFF BY 1/2"" OR MORE. APROX 6"" DIAMETER ROOT UNDER MAIN (LIQUID AMBER TREE)",34.19199698,-118.4607653
41650,MAIN,4-Jan-10,4848 ST ELMO DR,17 N/S/ ST ELMO DR,54 E/E LONGWOOD AVE,6,C.I.,1928,47450,ROUND CRACK,1,,,,,J CASTRUITA,128-183,4,8,"SET UP TRAFFIC, LOCATED MAIN, LOCATED LEAKS, EXCAVATED, MADE REPAIR, BACKFILLED AND TAMPED, CLEANED AND LEFT JOB SAFE.",34.04357183,-118.3436729
41652,MAIN,4-Jan-10,5742 VIRGINIA AV,20' N/S VIRGINIA,195' E/E VAN NESS,4,C.I.,1926,42947,ROUND CRACK,1,,,,,J JIMENEZ,144-192,9,15,"FOUND ROUND CRACK ON 4"" CI WM, REPAIRED W/ 4X8 CLAMP",34.09175723,-118.314982
41655,MAIN,4-Jan-10,1360 MONTE PLACENTIA WY,12 W /E MONTE PLACENTIA WY,145 S/S HIGHLAND GORGE DR,2,STEEL,1927,45047,RUST HOLE,1,,,,,J JIMENEZ,146-162,5,15,"FOUND RUST HOLE ON 2"" STL WM, REPAIRED W/ 2X8 CLAMP. ALSO REPLACED A 5/8 MTR THAT WAS CLOGGED DUE TO LEAK.",34.09562436,-118.4151428
41680,MAIN,5-Jan-10,11440 SAN VICENTE BL,43 E/W SAN VICENTE BL,56 W/W W. COSHEN AVE,8,A.C.,1956,74125,CLAMP,1,,,0,CLAY,M. SPEARS,130-147,9,36,CREW BROKE OUT A 10X4 EXCAVATION AND EXCAVATED FOR LEAK REPAIR FOUND AND OLD DOUBLE BACK CLAMP THAT WAS LEAKING WE CAULK BACK THE LEAD BACKFILL AND TEMP.,34.05185705,-118.4601336
61574,MAIN,5-Jan-10,10301 STRATHMORE,21' NS STRATHMORE,71' WW COMSTOCK,,,,,,1,,,,,SALDIVAR,136-156,6.5,19.5,"SET UP TRAFFIC, DRILLED HOLES, BROKE OUT, DUG OUT, AND MADE REPAIRS ON A 6"" C.I. MAIN LEAK. BACKFILLED, TEMP OIL, AND LEFT JOB SITE SAFE & CLEAN.",34.07029356,-118.4275345
41660,MAIN,5-Jan-10,5300 LA BREA,18 E/W LA BREA,14 S/S OLYMPIC,6,C.I.,1922,30375,SPLIT,1,,,,,J JIMENEZ,132-183,8,24,"FOUND SPLIT ON 6"" WM LEADING INTO 6"" FH GV, REPAIRED W/ 6X8 REPAIR CLAMP.",,
41657,MAIN,5-Jan-10,1251 N FULLER ST,E SIDE FULLER ST,21' W/E FULLER,6,A.C.,1959,78272,,1,,,,C,AUBREY,146-180,7,22,LOCATE LEAK ON AC MAIN COMING FROM TAP CLAMP ON FS 19228 AT 1251 N FULLER ATTEMPT TO BE CALLED OUT COULD NOT STOP WATER AT BOTTOM OF CLAMP. BACKFILL & MAKE SAFE. K1280 NOTIFIED. NEED TO REPLACE TALSGTVALVE.,34.09403581,-118.3500617
41956,MAIN,5-Jan-10,4082 GLENALBYN DR,,313' W/E AVE 41,2,C.I.,1926,42711,CLAMP,1,,,,,MCCALL,146-222,9,18,INVESTIGATED LEAK SOURCE PIN POINTED. BROKE OUT PREVIOUS REPAIR PATCH EXCAVATED. FOUND WATER LEAKING FROM CLAMP. STOPPED LEAK.,34.09534523,-118.2131282
42978,MAIN,5-Jan-10,971 TERRACE 49,18' N/S TERRACE 49,746' W/W CLELAND,4,C.I.,1928,47427,ROUND CRACK,1,,,,,CHESTERTON,154-222,,,ROUND CRACK AT CORP. USED VENTED 360. HOOKED UP SERVICE.,34.11530049,-118.2137421
60544,MAIN,5-Jan-10,1050 N. ALAMEDA,16' W/E ALAMEDA,18' N/N GRANT,6,C.I.,1923,31405,,1,,,,,KIRKSEY,034-213,14.5,49.5,"FOUND 13"" HOLE NEXT TO 2"" TAP CUT & REMOVE 4' CI W/ TAP INSTALLED 4"" DI W/ 2EA MECH. COUPLING 6X 1 1/2"" SADDLE W/ CORP MADE TAP RECONNECTED SERVICE BACKFILLED WITH BASE & OIL TEMP JOB LEFT SAFE.",33.7848667,-118.2431798
42784,MAIN,6-Jan-10,963 NORDICA DR,,337' W/W PALMERO DR,4,C.I.,1927,45509,,1,,,,,DOSE ARIAS,152-219,2,8,"CORP. VALVE  BLEW OUT OF 4"" CAST IRON MAIN, SERVICE WAS IN PROCESS OF BEING RETAPPED TO NEW 6"" DI WATER MAIN.",34.11313447,-118.2192542
41665,MAIN,6-Jan-10,739 N. LA BREA AVE,32' E/W LABREA AVE,378' N/N MELROSE AVE,6,C.I.,1922,30664,,1,,,,,J CASTRUITA,142-183,4.5,13.5,"SET UP TRAFFIC, REMOVED PLATE FROM EXCAVATION, EXCAVATED AROUND MAIN, REMOVED CORPORATION VALVE TO INSTALL REPAIR CLAMP, BACKFILLED AND CLEANED UP LEFT JOB SAFE.",34.08457261,-118.3441098
41664,MAIN,6-Jan-10,11450 CHENAULT ST,19 N/S CHENAULT ST,476 W/W BELOIT AVE,6,D.I.,,,CLAMP,1,,,,,M. SPEARS,134-147,3,12,CREW FOUND A LEAK AT THE MECH CLPG FOR BLOW OFF. CREW R&R THAT BROKE NMECH,34.06131383,-118.4608202
41662,MAIN,6-Jan-10,2209 VIRGINIA RD,23 E/W VIRGINIA RD,196 N/N 23RD ST,4,C.I.,1915,21480,SPLIT,1,,,,,J JIMENEZ,124-183,6,12,"FOUND SPLIT ON 4"" CI WM W/ 1-1"" SERVICE INVOLVED, REPAIRS COMPLETE",34.03626576,-118.3369815
41345,MAIN,7-Jan-10,INTERSTATE LENNOX AV & VOSE ST,1000' S CL SHERMAN WAY,150' W CL VOSE ST,6,C.I.,,,ROUND CRACK,1,,,,,CRUZ,184-150,8,16,STREET TRAFFIC. MADE WORK AREA SAFE. BACKFILLED WITH 20 YARDS OF SAND 20 YARDS OF BASE AND 10 YARDS OF TEMP ASPHALT & OIL. CLEANED UP EXCESS DEBRIS ON STREET. PICK UP TRAFFIC AND ALL EXCESS DELINEATION. LEFT JOB SAFE.,,
42979,MAIN,7-Jan-10,917 ALEGRE PL.,,100' N/N PALMERO DR.,2,COPPER,1953,70890,,1,,,,,MCCALL,154-219,9,18,"SET UP TRAFFIC, INVESTIGATED LEAK BROKE OUT ASPHALT, EXCAVATED, FOUND HOLE IN MAIN. REPLACED SECTION ON MAIN.",34.11449448,-118.2214067
41666,MAIN,7-Jan-10,5638 BRIARCLIFF RD,11 W/E BRIARCLIFF RD,500 S/S VERDE OAK DR,4,STEEL,1924,34659,,1,,,,C,R. GONZALES,152-192,8,16,"FOUND LEAK ON 4"" STL MAIN AT ABOW CORP STOP USED PLUG TO MAKE REPAIRS",34.10878255,-118.3134566
