LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON,MEANgid,COUNT
41655,MAIN,4-Jan-10,1360 MONTE PLACENTIA WY,12 W /E MONTE PLACENTIA WY,145 S/S HIGHLAND GORGE DR,2.000000000000000,STEEL,1927,45047,RUST HOLE,1,,,,,J JIMENEZ,146-162,5.000000000000000,15.000000000000000,"FOUND RUST HOLE ON 2"" STL WM, REPAIRED W/ 2X8 CLAMP. ALSO REPLACED A 5/8 MTR THAT WAS CLOGGED DUE TO LEAK.",34.095624360000002,-118.415142799999998,10.0000000000000000,1.0000000000000000
41666,MAIN,7-Jan-10,5638 BRIARCLIFF RD,11 W/E BRIARCLIFF RD,500 S/S VERDE OAK DR,4.000000000000000,STEEL,1924,34659,,1,,,,C,R. GONZALES,152-192,8.000000000000000,16.000000000000000,"FOUND LEAK ON 4"" STL MAIN AT ABOW CORP STOP USED PLUG TO MAKE REPAIRS",34.108782550000001,-118.313456599999995,10.0000000000000000,1.0000000000000000
39937,MAIN,11-Jan-10,3392 FLOYD TERRACE,13' S/CL FLOYD TERRACE,97' W/CL VELMA DR,6.000000000000000,C.I.,1958,78110,SPLIT,1,,,,,OBREGON,160-183,11.000000000000000,33.000000000000000,"FOUND SPLIT, CUT IN 30"" OF 6"" CI PIPE, BACKFILLED, CLEAN AREA, JOB COMPLETE",34.133944649999997,-118.344414599999993,10.0000000000000000,1.0000000000000000
41674,MAIN,11-Jan-10,108 S LAS PALMAS AV,20' E/W LAS PALMAS AV,75' S/S 1ST ST,6.000000000000000,C.I.,1924,35161,ROUND CRACK,1,,,,C,R. GONZALES,138-186,5.000000000000000,10.000000000000000,"FOUND ROUND CRACK ON 6"" CI MAIN USED 6X12 CLAMP FOR REPAIR",34.073291449999999,-118.335894300000007,10.0000000000000000,1.0000000000000000
41676,MAIN,12-Jan-10,101 S RIDGEWOOD,W SIDE RIDGEWOOD,26 S/S 1ST ST,4.000000000000000,C.I.,1915,22577,,1,,,,C,C,138-192,4.000000000000000,12.000000000000000,"4"" CI MAIN REPAIR. BACKFILL. TEMP. NEED TO PICK UP MUD AND ASPHALT AT THIS LOCATION PICK UP MADE SAFE.",34.072879620000002,-118.314586100000000,10.0000000000000000,1.0000000000000000
39941,MAIN,12-Jan-10,3151 CAHUENGA BLVD,W/CL CAHUENGA BLVD,50' S/CL BARBARA CT,8.000000000000000,C.I.,1934,38844,ROUND CRACK,1,,,,,GARCIA,158-180,,,"FOUND LEAK ON 8"" CI MAIN, MADE REPAIRS. FLUSHED MAIN. BACKFILLED & CLEANED UP AREA.",34.127878639999999,-118.346723200000000,10.0000000000000000,1.0000000000000000
41682,MAIN,13-Jan-10,2222 VERDE OAK DR,15 W/E VERDE OAK DR,738 N/W BRIARCLIFF RD,6.000000000000000,STEEL,1923,34123,,1,,,,,R. GONZALES,152-192,4.500000000000000,13.500000000000000,"FOUND LEAK ON CORP STOP ON 6"" STL TURNED OF TO STOP LEAK ABONDAND SERVICE",34.110424459999997,-118.312098300000002,10.0000000000000000,1.0000000000000000
39945,MAIN,14-Jan-10,3151 CAHUENGA BLVD,W/CL CAHUENGA BLVD,50' S/CL BARBARA CT,8.000000000000000,C.I.,,,RUST HOLE,1,,,,,GARCIA,158-180,,,"FOUND LEAK ON 8"" CI MAIN. MADE REPAIRS UNABLE TO SHUT-OFF WATER TILL 5PM TO ACCOMADATE BUSINESSES. FLUSHED MAIN. BACKFILLED & CLEANED UP AREA.",34.127878639999999,-118.346723200000000,10.0000000000000000,1.0000000000000000
41713,MAIN,15-Jan-10,5680 VALLEY OAK DR,N/S VALLEY OAK DR,,4.000000000000000,STEEL,,,,1,,,,,M HUGHES,152-192,7.000000000000000,14.000000000000000,"NEEDS TEMP, PAVE.",34.109543379999998,-118.313106800000000,10.0000000000000000,1.0000000000000000
41740,MAIN,20-Jan-10,249 S IRVING,W SIDE IRVING,307 N/N 3RD ST,6.000000000000000,C.I.,1975,92337,,1,,,,C,DAVID A AUBREY,136-189,5.000000000000000,13.000000000000000,"LOCATE, EXCAVATE, REMOVE & INSTALL 5.5 OF DI PIPE 6"". BACKFILL & TEMP. MUD CLEAN UP.",34.069925949999998,-118.318415999999999,10.0000000000000000,1.0000000000000000
41755,MAIN,23-Jan-10,4084 7TH ST,17 S/N PROPERTY,106 E/E NORTON AVE,4.000000000000000,C.I.,1906,9357,,1,,,,,T. BLACK,134-189,9.000000000000000,18.000000000000000,"SET UP TRAFFIC, MADE SITE SAFE. LOCATE LEAK BREAK AND CG FOUND CORP SEPERATED FROM MAIN. PUT ON VENTED CLAMP NEW CORP RECONNECT COPPER BACKFILL CLEAN-UP MAKE SITE SAFE.",34.059918300000000,-118.317130399999996,10.0000000000000000,1.0000000000000000
41751,MAIN,23-Jan-10,1951 HILLCREST RD,W/S HILLCREST RD,700 N/N FRANKLIN AVE,8.000000000000000,C.I.,1929,48771,,1,,,,,M. SPEARS,150-183,8.000000000000000,24.000000000000000,"CUT IN 10' OF DI PIPE 8"" TO REPAIR MAIN LEAK.",34.106241060000002,-118.339688300000006,10.0000000000000000,1.0000000000000000
42446,MAIN,27-Jan-10,9100 S CORDELL DR,26' N/S CORDELL DR,910' E/E DOHENY DR,6.000000000000000,C.I.,1939,56488,ROUND CRACK,1,,,,,JIMENEZ,146-168,5.500000000000000,16.000000000000000,"FOUND ROUND CRACK ON 6"" CI WM W/ 1 - 1"" SERVICE INVOLVED. REPAIRS COMPLETE, BACKFILLED OILED, & CLEAN UP.",34.093953910000003,-118.390204100000005,10.0000000000000000,1.0000000000000000
41645,MAIN,2-Feb-10,8090 MULHOLLAND DR.,20' N/S MULHOLLAND DR.,20' W/E WOODROW WILSON,8.000000000000000,STEEL,1930,49624,JOINT,1,,,,C,J JIMENEZ,156-174,14.500000000000000,43.500000000000000,"MADE REPAIRS ON 8"" STL MAIN CONNECTING TO 8"" D.I.",34.123580410000002,-118.374965099999997,10.0000000000000000,1.0000000000000000
43004,MAIN,4-Feb-10,2827 GRIFFITH PARK BL.,,322' S/S ST GEORGE ST.,6.000000000000000,C.I.,1969,87975,ROUND CRACK,1,,,,,MCCALL,150-204,9.000000000000000,26.000000000000000,"SET UP TRAFFIC, INVESTIGATED LEAK, DRILLED HOLES OVER MAIN, PIN-POINTED, BROKE OUT AND EXCAVATED, FOUND ROUND CRACK, CLEANED MAIN, PLACED REPAIR CLAMP OVER LEAK.",34.108218219999998,-118.274107200000003,10.0000000000000000,1.0000000000000000
41653,MAIN,8-Feb-10,7200 MARSHFIELD WY.,10' N/S MARSHFIELD WY.,6' W/E FORMOSA AVE.,4.000000000000000,C.I.,1924,33780,ROUND CRACK,1,,,THICK,SANDY LOAM,SCHWEINBOLD,148-180,6.000000000000000,17.000000000000000,"APPLIED REPAIR CLAMP TO ROUND CRACK ON W.M. BACKFILLED, TAMPED, OILED. HELP MAKE PICK-UP.",34.100300140000002,-118.346704500000001,10.0000000000000000,1.0000000000000000
