INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,# OF PERSONS,PERSON RACE,DECEASED,WOUNDED,DEPUTY GENDER,DEPUTY RACE,DEPUTY AGE,YEARS OF SERVICE,DEPUTY ASSIGNED UNIT,DEPUTY ASSIGNED UNIT NAME,INVOLVED IN PREVIOUS SHOOTINGS,# OF PREVIOUS SHOOTINGS,DISTRICT ATTORNEY ACTION,TRAINING,WEAPON INVOLVED CATEGORY,WEAPON INVOLVED CATEGORY DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000345,HIT SHOOTING INCIDENT,03/10/2011 08:35:00 PM,3300 FAIRMAN ST,LAKEWOOD,CA,90723,1323,"3300 FAIRMAN ST
LAKEWOOD, CA 90723
(33.841764, -118.153149)",1,BLACK,,Y,M,HISPANIC,43,20,LKD,LAKEWOOD STN,N,,LEGALLY JUSTIFIED,N,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.841764,-118.153149
1000483,HIT SHOOTING INCIDENT,04/07/2014 09:29:00 PM,900 PALM AVENUE,WEST HOLLYWOOD,CA,90069,0977,"900 PALM AVENUE
WEST HOLLYWOOD, CA 90069
(34.087659, -118.382901)",2,"WHITE,WHITE",Y,Y,M,WHITE,31,12,WHD,WEST HOLLYWOOD STN,N,,LEGALLY JUSTIFIED,Y,B-4,"WEAPON - OTHER:  Perception shooting, Suspect actions and/or info suggest suspect was armed, Weapon not seen/not recovered",34.087659,-118.382901
1000290,NON-HIT SHOOTING INCIDENT,02/10/2010 09:45:00 PM,1300 WEST 139TH STREET,COMPTON,CA,90222,2812,"1300 WEST 139TH STREET
COMPTON, CA 90222
(33.90574174912721183816, -118.25189214720193997677)",1,HISPANIC,,Y,M,WHITE,34,8,COM,COMPTON STN,N,,,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.905741749127212,-118.25189214720194
1000527,HIT SHOOTING INCIDENT,02/13/2014 04:57:00 PM,19100 ELBERLAND STREET,West Covina,CA,91792,2910,"19100 ELBERLAND STREET
West Covina, CA 91792
(34.009463, -117.88471)",1,HISPANIC,Y,,M,HISPANIC,34,9,WAL,WALNUT/SAN DIMAS STN,N,,LEGALLY JUSTIFIED,N,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.009463,-117.88471
1000340,HIT SHOOTING INCIDENT,02/14/2011 08:15:00 PM,SUNOL DRIVE AND BOSWELL PLACE,LOS ANGELES,CA,90063,0278,"SUNOL DRIVE AND BOSWELL PLACE
LOS ANGELES, CA 90063
(34.01766998786855915704, -118.17897601662108047213)",1,HISPANIC,,Y,M,WHITE,45,16,COP,COPS BUREAU,Y,5,LEGALLY JUSTIFIED,N,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.017669987868559,-118.17897601662108
1000502,HIT SHOOTING INCIDENT,10/29/2014 12:00:00 AM,4200 164TH STREET,LAWNDALE,CA,90260,0334,"4200 164TH STREET
LAWNDALE, CA 90260
(33.881847, -118.349682)",1,WHITE,,Y,M,HISPANIC,30,9,SLA,SOUTH LOS ANGELES STATION,N,,PENDING,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.881847,-118.349682
1000296,HIT SHOOTING INCIDENT,04/18/2010 12:42:00 AM,11700 WILLOWBROOK AVENUE,LOS ANGELES,CA,90059,6851,"11700 WILLOWBROOK AVENUE
LOS ANGELES, CA 90059
(33.926853, -118.236724)",2,"HISPANIC,HISPANIC",,Y,M,BLACK,41,4,TSB,TRANSIT SERVICES BUREAU,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.926853,-118.236724
1000656,HIT SHOOTING INCIDENT,12/01/2015 06:35:00 PM,12600 PIONEER BOULEVARD,NORWALK,CA,90650,0453,"12600 PIONEER BOULEVARD
NORWALK, CA 90650
(33.916487, -118.081872)",1,HISPANIC,Y,,M,HISPANIC,34,16,OSS,OPERATION SAFE STREETS BUREAU,N,,,,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.916487,-118.081872
1000413,HIT SHOOTING INCIDENT,08/24/2012 02:11:00 PM,9400 FLORA VISTA,BELLFLOWER,CA,90706,1332,"9400 FLORA VISTA
BELLFLOWER, CA 90706
(33.89032111263729892779, -118.13380412748717733739)",1,BLACK,Y,,M,HISPANIC,36,6,LKD,LAKEWOOD STN,N,0,LEGALLY JUSTIFIED,Y,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.890321112637299,-118.133804127487177
1000473,HIT SHOOTING INCIDENT,12/29/2013 01:20:00 AM,2500 EL TORO ROAD,MONROVIA,CA,91010,0583,"2500 EL TORO ROAD
MONROVIA, CA 91010
(34.119987, -117.992453)",2,"HISPANIC,HISPANIC",,Y,M,HISPANIC,38,14,OSS,OPERATION SAFE STREETS BUREAU,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.119987,-117.992453
