"id","district_attorney_file_number",year,"date","time","number_officers","multiple_officers","number_victims","multiple_victims","wounded","deceased","weapon_involved","weapon_detail","agency","notes"
"_001","#10-0031",2010,"2010-01-14","15:41:00","1","FALSE","1","FALSE","1","","A-4 ","Perception shooting: suspect's actions and/or other information suggest suspect was armed with a firearm, but firearm was not seen and not recovered.","Los Angeles County Sheriff's Department",""
"_002","#10-0142",2010,"2010-02-26","4:29:00","1","FALSE","1","FALSE","1","","B-2 ","Suspect armed with weapon other than firearm. Suspect used weapon to assault deputy.","Los Angeles County Sheriff's Department",""
"_003","#10-0171",2010,"2010-03-06","3:30:00","2","TRUE","2","TRUE","2","","A-1 ","Suspect armed with firearm. Firearm recovered","Los Angeles County Sheriff's Department",""
"_004","#10-0188",2010,"2010-03-09","11:32:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered","Los Angeles County Sheriff's Department",""
"_005","#10-0235",2010,"2010-03-24","0:14:00","1","FALSE","1","FALSE","1","","A-4 ","Perception shooting: suspect's actions and/or other information suggest suspect was armed with a firearm, but firearm was not seen and not recovered.","Los Angeles County Sheriff's Department",""
"_006","#10-0292",2010,"2010-04-13","21:10:00","1","FALSE","1","FALSE","1","","A-3 ","Suspect may have been armed with firearm. Deputy saw firearm but firearm not recovered.","Los Angeles County Sheriff's Department",""
"_007","#10-0301",2010,"2010-04-18","0:42:00","1","FALSE","2","TRUE","2","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_008","#10-0355",2010,"2010-05-06","4:00:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_009","#10-0445",2010,"2010-06-09","1:59:00","1","FALSE","1","FALSE","","1","D ","No firearm or other weapon involved in the incident.","Los Angeles County Sheriff's Department","Off-duty shooting by deputy"
"_010","#10-0457",2010,"2010-06-15","10:41:00","1","FALSE","1","FALSE","1","","C ","Suspect attempted to disarm deputy.","Los Angeles County Sheriff's Department",""
