"district_attorney_file_number","date","time","employee_classification","employee_gender","employee_race",employee_age,"employee_service","previous_shooting",previous_number,"department_unit",reporting_district,"district_attorney_action","in_policy_force","in_policy_tactics","training","discipline"
"#11-0438","2011-06-22","4:30:00","DEPUTY SHERIFF","M ","WHITE ",44,"22 Years, 06 Months","N ",0,"CFMB ",2199,"Legally Justified ","N ","N ","N ","Y"
"#12-0068","2012-01-21","23:03:00","DEPUTY SHERIFF","M ","WHITE ",28,"04 Years, 11 Months","N ",0,"LCS ",1126,"Legally Justified ","N ","N ","Y ","Y"
"#13-0278","2013-04-26","14:42:00","DEPUTY SHERIFF","M ","ASIAN-PACIFIC ISLANDER ",31,"10 Years, 02 Months","N ",0,"SLA ",378,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0502","2013-07-19","11:43:00","SERGEANT ","M ","HISPANIC ",44,"18 Years, 03 Months","Y ",1,"PRV ",1575,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0509","2013-07-24","23:38:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"11 Years, 02 Months","N ",0,"COM ",2844,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2013-09-17","16:27:00","DEPUTY SHERIFF","M ","HISPANIC ",45,"22 Years, 01 Months","Y ",1,"OSS ",283,"Legally Justified ","Pending","Pending","Pending","Pending"
"n/a","2013-09-17","16:27:00","DEPUTY SHERIFF","M ","HISPANIC ",44,"19 Years, 03 Months","Y ",2,"OSS",283,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0685","2013-10-06","17:47:00","SERGEANT ","F ","HISPANIC ",43,"23 Years, 00 Months","Y ",1,"SCV",675,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0685","2013-10-06","17:47:00","DEPUTY SHERIFF","M ","WHITE ",39,"13 Years, 10 Months","N ",0,"SCV ",675,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0685","2013-10-06","17:47:00","DEPUTY SHERIFF","M ","WHITE ",40,"17 Years, 08 Months","Y ",1,"SCV",675,"Legally Justified ","Pending","Pending","Pending","Pending"
"#13-0679","2013-10-06","15:30:00","DEPUTY SHERIFF","M ","HISPANIC ",47,"22 Years, 07 Months","N ",0,"TSB ",6893,"Pending ","Pending","Pending","Pending","Pending"
"#13-0721","2013-10-27","1:27:00","DEPUTY SHERIFF","F ","BLACK ",33,"07 Years, 02 Months","N ",0,"LKD",1337,"Pending ","Pending","Pending","Pending","Pending"
"#13-0721","2013-10-27","1:27:00","DEPUTY SHERIFF","F ","HISPANIC ",32,"06 Years, 06 Months","N ",0,"LKD ",1337,"Pending ","Pending","Pending","Pending","Pending"
"#13-0732","2013-10-29","0:01:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"07 Years, 05 Months","N ",0,"SLA ",399,"Pending ","Pending","Pending","Pending","Pending"
"#13-0732","2013-10-29","0:01:00","DEPUTY SHERIFF","F ","HISPANIC ",31,"05 Years, 11 Months","N ",0,"SLA",399,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2013-11-05","10:10:00","DEPUTY SHERIFF","F ","HISPANIC ",31,"12 Years, 03 Months","N ",0,"IRC",5199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2013-11-05","10:10:00","DEPUTY SHERIFF","M ","WHITE ",38,"07 Years, 02 Months","N ",0,"IRC ",5199,"Pending ","Pending","Pending","Pending","Pending"
"#13-0760","2013-11-15","18:41:00","DEPUTY SHERIFF","M ","WHITE ",36,"12 Years, 04 Months","N ",0,"TEM ",533,"Pending ","Pending","Pending","Pending","Pending"
"#14-0001","2013-12-29","1:20:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"14 Years, 05 Months","N ",0,"TEM ",583,"Pending ","Pending","Pending","Pending","Pending"
"#14-0001","2013-12-29","1:20:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"07 Years, 09 Months","N ",0,"TEM ",583,"Pending ","Pending","Pending","Pending","Pending"
"#14-0001","2013-12-29","1:20:00","DEPUTY SHERIFF","M ","HISPANIC ",34,"14 Years, 00 Months","N ",0,"TEM",583,"Pending ","Pending","Pending","Pending","Pending"
"#14-0001","2013-12-29","1:20:00","DEPUTY SHERIFF","M ","HISPANIC ",47,"15 Years, 03 Months","N ",0,"TEM",583,"Pending ","Pending","Pending","Pending","Pending"
"#14-0042","2014-01-26","23:11:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"11 Years, 11 Months","N ",0,"CEN ",2138,"Pending ","Pending","Pending","Pending","Pending"
"#14-0042","2014-01-26","23:11:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"08 Years, 03 Months","N ",0,"CEN",2138,"Pending ","Pending","Pending","Pending","Pending"
"#14-0042","2014-01-26","23:11:00","DEPUTY SHERIFF","M ","WHITE ",32,"09 Years, 01 Months","Y ",3,"CEN",2138,"Pending ","Pending","Pending","Pending","Pending"
"#14-0042","2014-01-26","23:11:00","DEPUTY SHERIFF","M ","WHITE ",31,"06 Years, 00 Months","N ",0,"CEN",2138,"Pending ","Pending","Pending","Pending","Pending"
"#14-0059","2014-01-30","20:22:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"12 Years, 00 Months","N ",0,"SCV ",613,"Pending ","Pending","Pending","Pending","Pending"
"#14-0059","2014-01-30","20:22:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"07 Years, 05 Months","N ",0,"SCV",613,"Pending ","Pending","Pending","Pending","Pending"
"#14-0064","2014-02-04","5:50:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"16 Years, 00 Months","N ",0,"PRV ",1510,"Pending ","Pending","Pending","Pending","Pending"
"#14-0064","2014-02-04","5:50:00","DEPUTY SHERIFF","M ","WHITE ",38,"15 Years, 07 Months","N ",0,"PRV",1510,"Pending ","Pending","Pending","Pending","Pending"
"#14-0105","2014-02-14","12:20:00","SERGEANT ","M ","WHITE ",44,"22 Years, 07 Months","Y ",4,"MCB ",1399,"Pending ","Pending","Pending","Pending","Pending"
"#14-0105","2014-02-14","12:20:00","DEPUTY SHERIFF","M ","WHITE ",29,"08 Years, 00 Months","Y ",2,"MCB",1399,"Pending ","Pending","Pending","Pending","Pending"
"#14-0169","2014-03-16","16:19:00","DEPUTY SHERIFF","M ","HISPANIC ",34,"04 Years, 11 Months","N ",0,"LCS ",1126,"Pending ","Pending","Pending","Pending","Pending"
"#14-0227","2014-04-07","21:29:00","DEPUTY SHERIFF","M ","BLACK ",48,"15 Years, 09 Months","N ",0,"WHD ",977,"Pending ","Pending","Pending","Pending","Pending"
"#14-0227","2014-04-07","21:29:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"07 Years, 10 Months","N ",0,"WHD",977,"Pending ","Pending","Pending","Pending","Pending"
"#14-0227","2014-04-07","21:29:00","DEPUTY SHERIFF","M ","WHITE ",39,"11 Years, 11 Months","N ",0,"WHD ",977,"Pending ","Pending","Pending","Pending","Pending"
"#14-0238","2014-04-13","16:05:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"09 Years, 03 Months","Y ",4,"CEN ",2112,"Pending ","Pending","Pending","Pending","Pending"
"#14-0238","2014-04-13","16:05:00","DEPUTY SHERIFF","M ","HISPANIC ",46,"08 Years, 00 Months","N ",0,"CEN",2112,"Pending ","Pending","Pending","Pending","Pending"
"#14-0272","2014-04-25","23:06:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"06 Years, 11 Months","N ",0,"ELA ",250,"Pending ","Pending","Pending","Pending","Pending"
"#14-0272","2014-04-25","23:06:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"06 Years, 10 Months","N ",0,"ELA",250,"Pending ","Pending","Pending","Pending","Pending"
"#14-0281","2014-04-29","4:15:00","DEPUTY SHERIFF","M ","WHITE ",44,"18 Years, 07 Months","Y ",1,"SEB ",276,"Pending ","Pending","Pending","Pending","Pending"
"#14-0355","2014-05-24","1:50:00","DEPUTY SHERIFF","M ","WHITE ",43,"30 Years, 08 Months","N ",0,"WHD ",987,"Pending ","Pending","Pending","Pending","Pending"
"#14-0356","2014-05-26","9:45:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"14 Years, 05 Months","N ",0,"COM",2899,"Pending ","Pending","Pending","Pending","Pending"
"#14-0356","2014-05-26","9:45:00","DEPUTY SHERIFF","M ","WHITE ",30,"07 Years, 02 Months","N ",0,"COM ",2899,"Pending ","Pending","Pending","Pending","Pending"
"#14-0428","2014-06-24","21:51:00","DEPUTY SHERIFF","M ","WHITE ",43,"14 Years, 01 Months","N ",0,"COM ",2824,"Pending ","Pending","Pending","Pending","Pending"
"#14-0428","2014-06-24","21:51:00","DEPUTY SHERIFF","M ","HISPANIC ",32,"08 Years, 02 Months","Y ",1,"COM ",2824,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","F ","ASIAN-PACIFIC ISLANDER ",54,"25 Years, 08 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","M ","BLACK ",41,"18 Years, 05 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","LIEUTENANT ","M ","BLACK ",53,"32 Years, 01 Months","Y ",1,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","SERGEANT ","M ","HISPANIC ",56,"25 Years, 01 Months","Y ",2,"MCB ",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","M ","HISPANIC ",57,"25 Years, 06 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","M ","WHITE ",44,"16 Years, 10 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","F ","WHITE ",45,"24 Years, 00 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","M ","WHITE ",36,"14 Years, 09 Months","Y ",1,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-06-25","17:05:00","DEPUTY SHERIFF","M ","WHITE ",36,"12 Years, 10 Months","N ",0,"MCB",3199,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-01","16:49:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"15 Years, 10 Months","Y ",1,"PRV ",1514,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-01","16:49:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"13 Years, 06 Months","N ",0,"PRV ",1514,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-01","16:49:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"14 Years, 02 Months","Y ",1,"PRV",1514,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-01","16:49:00","DEPUTY SHERIFF","M ","HISPANIC ",34,"15 Years, 01 Months","Y ",2,"SEB",1514,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-01","16:49:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"07 Years, 07 Months","N ",0,"PRV",1514,"Pending ","Pending","Pending","Pending","Pending"
"#14-0521","2014-08-09","4:12:00","DEPUTY SHERIFF","M ","BLACK ",45,"04 Years, 03 Months","N ",0,"CEN ",6835,"Pending ","Pending","Pending","Pending","Pending"
"#14-0521","2014-08-09","4:12:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"12 Years, 05 Months","Y ",1,"CEN",6835,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-10","3:46:00","DEPUTY SHERIFF","M ","HISPANIC ",38,"13 Years, 05 Months","N ",0,"CEN ",2199,"Pending ","Pending","Pending","Pending","Pending"
"#14-0539","2014-08-18","11:30:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"19 Years, 02 Months","Y ",2,"SEB ",1335,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-26","13:04:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"17 Years, 03 Months","N ",0,"CEN ",2116,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-26","13:04:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"24 Years, 07 Months","N ",0,"SEB",2116,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-08-26","13:04:00","DEPUTY SHERIFF","M ","WHITE ",46,"24 Years, 07 Months","Y ",2,"CEN",2116,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-09-17","22:49:00","DEPUTY SHERIFF","F ","HISPANIC ",39,"12 Years, 10 Months","N ",0,"OSS ",2814,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-04","18:51:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"09 Years, 05 Months","N ",0,"CEN ",2172,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-04","18:51:00","DEPUTY SHERIFF","M ","HISPANIC ",28,"07 Years, 05 Months","N ",0,"CEN",2172,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-04","18:51:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"07 Years, 05 Months","Y ",1,"CEN",2172,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-04","18:51:00","DEPUTY SHERIFF","M ","WHITE ",27,"12 Years, 05 Months","Y ",1,"CEN",2172,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-08","0:58:00","DEPUTY SHERIFF","F ","HISPANIC ",27,"07 Years, 03 Months","N ",0,"ELA ",284,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-08","0:58:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"09 Years, 06 Months","N ",0,"ELA",284,"Pending ","Pending","Pending","Pending","Pending"
