INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,HANDLING UNIT ID,HANDLING UNIT NAME,APPROX_LATITUDE,APPROX_LONGITUDE
1000588,UNINTENTIONAL DISCHARGE INCIDENT,10/21/2015 11:00:00 PM,2100 S. ATLANTIC BOULEVARD,COMMERCE,CA,90040,0243,"2100 S. ATLANTIC BOULEVARD
COMMERCE, CA 90040
(34.007936, -118.160481)",ELA,EAST LA STN,,
1000374,HIT SHOOTING INCIDENT,01/05/2012 02:47:00 PM,8100 CENTURY BLVD,PARAMOUNT,CA,90723,1365,"8100 CENTURY BLVD
PARAMOUNT, CA 90723
(33.909396, -118.158242)",LKD,LAKEWOOD STN,33.909396,-118.158242
1000423,HIT SHOOTING INCIDENT,11/14/2012 07:43:00 PM,12800 COOKACRE AVENUE,COMPTON,CA,90221,2851,"12800 COOKACRE AVENUE
COMPTON, CA 90221
(33.906154, -118.194778)",COM,COMPTON STN,33.906154,-118.194778
1000169,ANIMAL SHOOTING INCIDENT,05/25/2010 11:40:00 AM,16100 S. ESSEY AVENUE,EAST RANCHO DOMINGUEZ,CA,90221,2853,"16100 S. ESSEY AVENUE
EAST RANCHO DOMINGUEZ, CA 90221
(33.887836, -118.204052)",COM,COMPTON STN,33.887836,-118.204052
1000091,ANIMAL SHOOTING INCIDENT,07/05/2012 01:30:00 PM,4900 SUNBURST DRIVE,PALMDALE,CA,93552,2611,"4900 SUNBURST DRIVE
PALMDALE, CA 93552
(34.55272, -118.042624)",OSS,OPERATION SAFE STREETS BUREAU,34.55272,-118.042624
1000277,UNINTENTIONAL DISCHARGE INCIDENT,05/23/2015 07:30:00 PM,5400 OLANDA STREET,LYNWOOD,CA,90262,2118,"5400 OLANDA STREET
LYNWOOD, CA 90262
(33.907568, -118.186475)",CEN,CENTURY STN,33.907568,-118.186475
1000143,ANIMAL SHOOTING INCIDENT,01/16/2014 08:20:00 AM,9500 BANTA ROAD,PICO RIVERA,CA,90660,1511,"9500 BANTA ROAD
PICO RIVERA, CA 90660
(34.013747, -118.071077)",OSS,OPERATION SAFE STREETS BUREAU,34.013747,-118.071077
1000102,ANIMAL SHOOTING INCIDENT,10/05/2012 05:50:00 PM,3100 MARBELLA LANE,PALMDALE,CA,93550,2608,"3100 MARBELLA LANE
PALMDALE, CA 93550
(34.570721, -118.073199)",PLM,PALMDALE STN,34.570721,-118.073199
1000424,HIT SHOOTING INCIDENT,11/16/2012 09:30:00 PM,81ST AND PARMALEE AVENUE,LOS ANGELES,CA,90001,2174,"81ST AND PARMALEE AVENUE
LOS ANGELES, CA 90001
(33.96580897884491831496, -118.24990302594981168384)",OSS,OPERATION SAFE STREETS BUREAU,33.965808978844918,-118.249903025949812
1000683,HIT SHOOTING INCIDENT,02/11/2016 06:42:00 PM,2800 LA VIDA DRIVE,LANCASTER,CA,93535,1137,"2800 LA VIDA DRIVE
LANCASTER, CA 93535
(34.682284, -118.079249)",LCS,LANCASTER STN,34.682284,-118.079249
