Route ,FY 2011 ,FY 2012 ,FY 2013 ,FY 2014 ,FYTD 2015
1,0.84,0.84,0.83,0.82,0.78
20,0.82,0.81,0.86,0.81,0.78
21,0.85,0.9,0.91,0.9,0.87
24,0.8,0.84,0.8,0.86,0.85
25,0.85,0.88,0.87,0.9,0.9
26,0.81,0.86,0.85,0.89,0.88
29,0.75,0.79,0.8,0.84,0.86
30,0.83,0.87,0.86,0.88,0.86
33,0.73,0.79,0.81,0.86,0.89
35,0.78,0.85,0.83,0.85,0.86
37,0.74,0.79,0.81,0.84,0.85
38,0.9,0.92,0.91,0.91,0.96
42,0.84,0.87,0.87,0.87,0.89
43,0.79,0.79,0.77,0.8,0.79
46,0.88,0.89,0.86,0.86,0.83
47,0.8,0.83,0.84,0.88,0.88
50,0.82,0.79,0.81,0.83,0.85
51,0.88,0.94,0.91,0.94,0.95
53,0.99,0.92,0.89,0.9,0.89
54,0.85,0.84,0.8,0.88,0.92
55,0.78,0.8,0.8,0.87,0.89
56,0.85,0.88,0.9,0.9,0.93
57,0.98,0.98,0.94,0.85,0.85
59,0.8,0.84,0.74,0.79,0.83
60,0.83,0.81,0.81,0.86,0.91
64,0.87,0.88,0.85,0.86,0.87
66,0.86,0.91,0.88,0.9,0.93
70,0.98,0.99,0.94,0.89,0.88
71,0.82,0.83,0.8,0.77,0.72
72,0.81,0.83,0.83,0.86,0.84
76,0.84,0.86,0.81,0.87,0.85
79,0.79,0.75,0.77,0.87,0.92
82,0.76,0.76,0.75,0.81,0.89
83,0.81,0.81,0.84,0.85,0.84
85,0.69,0.73,0.76,0.84,0.87
86,0.81,0.81,0.72,0.76,0.73
87,0.94,0.92,0.91,0.92,0.92
89,0.85,0.85,0.85,0.88,0.9
90,0.86,0.8,0.76,0.8,0.86
91,0.82,0.76,0.74,0.81,0.82
129,0.84,0.87,0.92,0.89,0.82
143,0.96,0.92,0.91,0.92,0.88
145,0.81,0.9,0.94,0.92,0.94
153,0.9,0.95,0.95,0.91,0.9
167,0.77,0.78,0.74,0.84,0.86
172,0.89,0.87,0.88,0.87,0.86
173,0.85,0.83,0.78,0.8,0.78
175,0.84,0.9,0.9,0.89,0.91
177,0.91,0.88,0.89,0.9,0.91
178,0.88,0.87,0.84,0.85,0.87
187,0.84,0.8,0.83,0.84,0.89
188,0.86,0.84,0.78,0.83,0.92
191,0.84,0.82,0.84,0.82,0.85
193,0.92,0.85,0.91,0.91,0.95
206,0.92,0.93,0.89,0.91,0.97
211,0.81,0.74,0.72,0.85,0.91
212,0.77,0.8,0.66,0.84,0.89
213,0.69,0.69,0.67,0.89,0.88
216,0.74,0.81,0.79,0.78,0.8
410,0.95,0.96,0.96,0.98,0.97
411,0.98,0.99,0.99,0.99,0.96
430,0.97,0.97,0.91,0.94,0.95
453,0.94,0.99,0.97,0.98,0.97
454,0.93,0.98,0.97,0.97,0.93
462,0.93,0.89,0.92,0.95,0.97
463,0.96,0.91,0.95,0.97,0.97
464,0.94,0.92,0.89,0.93,0.96
472,0.95,0.94,0.93,0.92,0.93
473,0.9,0.89,0.89,0.9,0.94
480,0.96,0.96,0.97,0.98,0.94
482,0.98,0.99,0,0,0
490,0.94,0.94,0.9,0.92,0.97
543,0,0,0.89,0.87,0.86
701,0.86,0.88,0.89,0.87,0.8
721,0.96,0.95,0.94,0.91,0.84
757,0.93,0.92,0.89,0.84,0.87
758,0.96,0.91,0.85,0.84,0.86
794,0.93,0.9,0.88,0.86,0.85
Systemwide ,0.85,0.86,0.84,0.86,0.87
