year,month,month_year,line,early,ontime,earlyorontime_rail,late,total,pctlate
2009,12,12/1/09,2,1921,18280,,5375,25576,21.02
2009,12,12/1/09,4,1977,19557,,6100,27634,22.07
2009,12,12/1/09,10,1398,10784,,2836,15018,18.88
2009,12,12/1/09,14,2081,16154,,5705,23940,23.83
2009,12,12/1/09,16,1688,18744,,6620,27052,24.47
2009,12,12/1/09,18,1511,18106,,2210,21827,10.13
2009,12,12/1/09,20,2314,22218,,5156,29688,17.37
2009,12,12/1/09,26,1677,21678,,4640,27995,16.57
2009,12,12/1/09,28,471,5987,,1637,8095,20.22
2009,12,12/1/09,30,961,10122,,2194,13277,16.52
2009,12,12/1/09,33,1927,17788,,8507,28222,30.14
2009,12,12/1/09,35,327,4332,,1397,6056,23.07
2009,12,12/1/09,38,479,3908,,783,5170,15.15
2009,12,12/1/09,40,1808,14581,,6607,22996,28.73
2009,12,12/1/09,42,565,3671,,1281,5517,23.22
2009,12,12/1/09,45,2662,20493,,3394,26549,12.78
2009,12,12/1/09,53,856,9642,,2389,12887,18.54
2009,12,12/1/09,55,1176,13427,,2630,17233,15.26
2009,12,12/1/09,60,886,10529,,3017,14432,20.90
2009,12,12/1/09,62,642,6133,,1360,8135,16.72
2009,12,12/1/09,66,1003,15826,,2921,19750,14.79
2009,12,12/1/09,70,535,7979,,1063,9577,11.10
2009,12,12/1/09,71,13,395,,31,439,7.06
2009,12,12/1/09,76,816,9543,,1896,12255,15.47
2009,12,12/1/09,78,733,6970,,1619,9322,17.37
2009,12,12/1/09,81,835,10850,,1822,13507,13.49
2009,12,12/1/09,83,283,5417,,1038,6738,15.41
2009,12,12/1/09,84,416,7825,,1088,9329,11.66
2009,12,12/1/09,90,715,6399,,1524,8638,17.64
2009,12,12/1/09,92,930,6742,,1819,9491,19.17
2009,12,12/1/09,94,883,10835,,2770,14488,19.12
2009,12,12/1/09,96,0,2,,5,7,71.43
2009,12,12/1/09,102,403,2705,,822,3930,20.92
2009,12,12/1/09,105,1191,12109,,4117,17417,23.64
2009,12,12/1/09,108,1421,12891,,5762,20074,28.70
2009,12,12/1/09,110,1090,10960,,3341,15391,21.71
2009,12,12/1/09,111,1683,11635,,4953,18271,27.11
2009,12,12/1/09,115,1273,9512,,4764,15549,30.64
2009,12,12/1/09,117,889,7957,,2878,11724,24.55
2009,12,12/1/09,120,127,2728,,539,3394,15.88
2009,12,12/1/09,121,383,5405,,693,6481,10.69
2009,12,12/1/09,126,12,117,,21,150,14.00
2009,12,12/1/09,127,121,826,,175,1122,15.60
2009,12,12/1/09,150,1112,11340,,3248,15700,20.69
2009,12,12/1/09,152,983,13181,,3480,17644,19.72
2009,12,12/1/09,154,166,1391,,349,1906,18.31
2009,12,12/1/09,155,29,520,,178,727,24.48
2009,12,12/1/09,156,615,4457,,909,5981,15.20
2009,12,12/1/09,158,178,2845,,717,3740,19.17
2009,12,12/1/09,161,312,1899,,357,2568,13.90
2009,12,12/1/09,163,1769,15331,,2847,19947,14.27
2009,12,12/1/09,164,738,7904,,2519,11161,22.57
2009,12,12/1/09,165,806,8467,,2347,11620,20.20
2009,12,12/1/09,166,617,9679,,3076,13372,23.00
2009,12,12/1/09,168,65,650,,136,851,15.98
2009,12,12/1/09,169,197,2522,,614,3333,18.42
2009,12,12/1/09,175,30,355,,36,421,8.55
2009,12,12/1/09,176,58,718,,194,970,20.00
2009,12,12/1/09,180,627,7496,,2539,10662,23.81
2009,12,12/1/09,183,226,3283,,1048,4557,23.00
2009,12,12/1/09,190,144,2146,,334,2624,12.73
2009,12,12/1/09,200,778,12836,,1736,15350,11.31
2009,12,12/1/09,201,50,651,,186,887,20.97
2009,12,12/1/09,202,46,355,,69,470,14.68
