Year,Line,EARLY,ONTIME,EARLYORONTIME_RAIL,TOTALsum,LATEsum,Percentage of trains that arrived late
2010,Blue,NULL,NULL,6928,86358,815,0.943745802
2011,Blue,NULL,NULL,7232,87557,1015,1.159244835
2012,Blue,NULL,NULL,8128,113660,3818,3.359141299
2013,Blue,NULL,NULL,8678,105524,2477,2.347333308
2014,Blue,NULL,NULL,8908,97699,2183,2.234413863
2010,Gold,NULL,NULL,5773,70135,436,0.621658231
2011,Gold,NULL,NULL,5917,77947,276,0.354086751
2012,Gold,NULL,NULL,5917,81268,680,0.836737707
2013,Gold,NULL,NULL,7765,106896,1511,1.413523425
2014,Gold,NULL,NULL,9346,101301,819,0.808481654
2012,EXPO,NULL,NULL,5546,32274,303,0.938836215
2013,EXPO,NULL,NULL,5370,70245,501,0.713218023
2014,EXPO,NULL,NULL,6446,69816,442,0.633092701
2010,Red/Purple,NULL,NULL,11167,133055,541,0.406598775
2011,Red/Purple,NULL,NULL,11222,135660,346,0.255049388
2012,Red/Purple,NULL,NULL,12924,153852,700,0.454982711
2013,Red/Purple,NULL,NULL,12990,155186,1016,0.654698233
2014,Red/Purple,NULL,NULL,13170,142891,1052,0.736225515
2010,Green,NULL,NULL,6016,72530,341,0.470150283
2011,Green,NULL,NULL,6089,72362,327,0.451894641
2012,Green,NULL,NULL,6072,72926,847,1.161451334
2013,Green,NULL,NULL,6126,72941,1101,1.509439136
2014,Green,NULL,NULL,6178,67546,1277,1.890563468
