SWRCB_name,AGENCYUNIQ,Hydrologic Region
Adelanto City of,13,South Lahontan
Alameda County Water District,23,San Francisco Bay
Alco Water Service,25,Central Coast
Alhambra  City of,30,South Coast
Amador Water Agency,55,San Joaquin River
"American Canyon, City of",57,San Francisco Bay
Anaheim  City of,64,South Coast
"Anderson, City of",66,Sacramento River
Antioch  City of,82,San Joaquin River
Apple Valley Ranchos Water Company,87,South Lahontan
Arcadia  City of,93,South Coast
Arcata  City of,94,North Coast
Arroyo Grande  City of,99,Central Coast
Arvin Community Services District,102,Tulare Lake
Atascadero Mutual Water Company,107,Central Coast
Atwater  City of,110,San Joaquin River
Azusa  City of,117,South Coast
Bakersfield  City of,123,Tulare Lake
Bakman Water Company,124,Tulare Lake
Banning  City of,,Colorado River
Beaumont-Cherry Valley Water District,159,South Coast
Bella Vista Water District,167,Sacramento River
Bellflower-Somerset Mutual Water Company,170,South Coast
Benicia  City of,178,San Francisco Bay
Beverly Hills  City of,193,South Coast
Big Bear City Community Services District,197,South Coast
Blythe  City of,241,Colorado River
Brawley  City of,262,Colorado River
Brea  City of,263,South Coast
Brentwood  City of,264,San Joaquin River
Buena Park  City of,283,South Coast
Burbank  City of,285,South Coast
Burlingame  City of,286,San Francisco Bay
Calaveras County Water District,351,San Joaquin River
Calexico  City of,353,Colorado River
California City  City of,,South Lahontan
California Water Service Company Antelope Valley,357,South Lahontan
California Water Service Company Bakersfield,386,Tulare Lake
California Water Service Company Bear Gulch,387,San Francisco Bay
California Water Service Company Chico District,388,Sacramento River
"California Water Service Company Dixon, City of",390,Sacramento River
California Water Service Company Dominguez,391,South Coast
California Water Service Company East Los Angeles,392,South Coast
California Water Service Company Hermosa/Redondo,396,South Coast
California Water Service Company Kern River Valley,,Tulare Lake
California Water Service Company King City,398,Central Coast
California Water Service Company Livermore,401,San Francisco Bay
California Water Service Company Los Altos/Suburban,402,San Francisco Bay
California Water Service Company Marysville,405,Sacramento River
California Water Service Company Mid Peninsula,,San Francisco Bay
California Water Service Company Oroville,412,Sacramento River
California Water Service Company Palos Verdes,413,South Coast
California Water Service Company Redwood Valley,,North Coast
California Water Service Company Salinas District,,Central Coast
California Water Service Company Selma,421,Tulare Lake
California Water Service Company South San Francisco,422,San Francisco Bay
California Water Service Company Stockton,424,San Joaquin River
California Water Service Company Visalia,427,Tulare Lake
California Water Service Company Westlake,,South Coast
California Water Service Company Willows,429,Sacramento River
California-American Water Company Los Angeles District,,South Coast
California-American Water Company Monterey District,,Central Coast
California-American Water Company Sacramento District,,Sacramento River
California-American Water Company San Diego District,,South Coast
California-American Water Ventura District,,South Coast
Camarillo  City of,443,South Coast
Cambria Community Services District,445,Central Coast
Camrosa Water District,467,South Coast
Carlsbad Municipal Water District,478,South Coast
Carmichael Water District,481,Sacramento River
Carpinteria Valley Water District,485,Central Coast
Casitas Municipal Water District,495,South Coast
Castaic Lake Water Agency Santa Clarita Water Division,496,South Coast
Ceres  City of,522,San Joaquin River
Cerritos  City of,524,South Coast
Chino  City of,545,South Coast
Chino Hills  City of,547,South Coast
Citrus Heights Water District,2832,Sacramento River
"City of Big Bear Lake, Dept of Water & Power",198,South Coast
City of Newman Water Department,1729,San Joaquin River
Clovis  City of,574,Tulare Lake
Coachella  City of,575,Colorado River
Coachella Valley Water District,577,Colorado River
Coalinga City of,578,Tulare Lake
Coastside County Water District,583,San Francisco Bay
"Colton, City of",596,South Coast
Compton  City of,607,South Coast
Contra Costa Water District,613,San Francisco Bay
"Corcoran, City of",618,Tulare Lake
Corona  City of,624,South Coast
Covina  City of ,644,South Coast
Crescent City  City of,649,North Coast
Crescenta Valley Water District,652,South Coast
Crestline Village Water District,654,South Lahontan
Cucamonga Valley Water District,664,South Coast
Daly City  City of,673,San Francisco Bay
Davis  City of,678,Sacramento River
Del Oro Water Company,,Sacramento River
Delano  City of,711,Tulare Lake
Desert Water Agency,727,Colorado River
Diablo Water District,731,San Joaquin River
Dinuba  City of,737,Tulare Lake
Discovery Bay Community Services District,,San Joaquin River
Downey  City of,748,South Coast
