item,type
1010-00-691-1382,grenade
1095-01-227-1739,bayonet
1095-00-913-2602,bayonet
1095-00-716-2787,bayonet
1095-00-073-9238,bayonet
1095-00-317-2460,bayonet
1095-00-017-9701,bayonet
1095-01-506-3424,bayonet
1095-01-521-6087,bayonet
1095-00-722-3097,bayonet
8415-01-099-7838,camoflauge
8415-01-099-7861,camoflauge
8415-01-228-1312,camoflauge
8415-01-228-1315,camoflauge
8415-01-228-1316,camoflauge
8415-01-228-1319,camoflauge
8415-01-228-1321,camoflauge
8415-01-228-1322,camoflauge
8415-01-228-1341,camoflauge
8415-01-228-1346,camoflauge
8415-01-228-1347,camoflauge
8415-01-228-1348,camoflauge
8415-01-228-1349,camoflauge
8415-01-228-1350,camoflauge
8415-01-228-1351,camoflauge
8415-01-228-1352,camoflauge
8415-01-325-6444,camoflauge
8415-01-421-9270,camoflauge
8415-01-421-9272,camoflauge
8415-01-421-9273,camoflauge
8415-01-421-9275,camoflauge
8415-01-421-9276,camoflauge
8415-01-421-9279,camoflauge
8415-01-421-9280,camoflauge
8415-01-470-2818,camoflauge
8415-01-475-3767,camoflauge
8415-01-475-9516,camoflauge
8415-01-485-8142,camoflauge
8415-01-500-3905,camoflauge
8415-01-515-4662,camoflauge
8415-01-515-4663,camoflauge
8415-01-519-8698,camoflauge
8415-01-526-9064,camoflauge
8415-01-526-9184,camoflauge
2350-00-056-6808,tracked armored
2350-00-071-0732,tracked armored
2350-00-860-2349,tracked armored
2350-00-968-6321,tracked armored
2350-01-045-1123,tracked armored
2350-01-068-4077,tracked armored
2350-01-068-4089,tracked armored
2350-01-069-6931,tracked armored
2350-01-103-5641,tracked armored
