"election_type","formal_date","year","registered_voters","ballots_cast","turnout","vote_by_mail_absentee_ballots","vote_by_mail_absentee_percent_of_ballots_cast","data_source"
"Midterm General","11/4/2014",2014,"4,544,455","1,147,248",0.2525,"325,421",0.2837,"http://rrcc.co.la.ca.us/elect/14110014/rr0014p26.htm"
"Midterm Primary","6/3/2014",2014,"4,823,407","824,070",0.1708,"400,694",0.4862,"http://rrcc.co.la.ca.us/elect/14062043/rr2043p20.htm"
"Midterm General","11/2/2010",2010,"4,421,019","2,377,105",0.5377,"678,651",0.2855,"http://rrcc.co.la.ca.us/elect/10110010/rr0010px.html-ssi"
"Midterm Primary","6/8/2010",2010,"4,355,447","1,021,448",0.2345,"369,499",0.3617,"http://rrcc.co.la.ca.us/elect/10061499/rr1499py.html-ssi"
"Midterm General","11/7/2006",2006,"3,899,397","2,033,119",0.5214,"531,383",0.2614,"http://rrcc.co.la.ca.us/elect/06110016/rr0016pu.html-ssi"
"Midterm Primary","6/6/2006",2006,"3,826,979","1,050,076",0.2744,"314,824",0.2998,"http://rrcc.co.la.ca.us/elect/06061275/rr1275px.html-ssi"
"Midterm General","11/5/2002",2002,"3,962,831","1,784,320",0.4503,"359,682",0.2016,"http://rrcc.co.la.ca.us/elect/02110022/rr0022px.html-ssi"
"Midterm Primary","3/2/2002",2002,"4,142,514","1,070,651",0.2585,"218,976",0.2045,"http://rrcc.co.la.ca.us/elect/02031211/rr1211px.html-ssi"
"Midterm General","11/24/1998",1998,"3,854,826","2,058,862",0.5341,"407,776",0.1981,"http://rrcc.co.la.ca.us/elect/98110018/rr0018px.html-ssi"
"Midterm Primary","6/2/1998",1998,"3,772,593","1,450,126",0.3844,"285,532",0.1969,"http://rrcc.co.la.ca.us/elect/98061377/rr1377pz.html-ssi"
"Midterm General","11/8/1994",1994,"3,665,868","2,147,678",0.5859,"372,677",0.1735,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11081994.PDF"
"Midterm Primary","6/7/1994",1994,"3,550,877","1,128,308",0.3178,"197,824",0.1753,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06071994.PDF"
"Midterm General","11/6/1990",1990,"3,487,180","1,925,811",0.5523,"270,645",0.1405,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11061990.PDF"
"Midterm Primary","6/5/1990",1990,"3,402,509","1,283,079",0.3771,"177,295",0.1382,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06051990.PDF"
"Midterm General","11/4/1986",1986,"3,543,382","2,125,838",0.5999,"177,251",0.0834,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11041986.PDF"
"Midterm Primary","6/3/1986",1986,"3,385,207","1,307,146",0.3861,"110,223",0.0843,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06031986.PDF"
"Midterm General","11/2/1982",1982,"3,300,239","2,301,004",0.6972,"122,502",0.0532,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11021982.PDF"
"Midterm Primary","6/8/1982",1982,"3,070,961","1,626,332",0.5296,"70,069",0.0431,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06081982.PDF"
"Midterm General","11/7/1978",1978,"3,090,768","2,122,733",0.6868,"76,086",0.0358,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11071978.PDF"
"Midterm Primary","6/6/1978",1978,"2,888,324","2,140,054",0.7409,"88,227",0.0412,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06061978.PDF"
"Midterm General","11/5/1974",1974,"3,286,898","2,057,734",0.626,"58,357",0.0284,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11051974.PDF"
"Midterm Primary","6/4/1974",1974,"3,197,058","1,652,878",0.517,"42,703",0.0258,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06041974.PDF"
"Midterm General","11/3/1970",1970,"3,116,095","2,352,697",0.755,"56,622",0.0241,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11031970.PDF"
"Midterm Primary","6/3/1970",1970,"2,922,493","1,792,201",0.6132,"25,047",0.014,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06021970.PDF"
"Midterm General","11/8/1966",1966,"3,111,516","2,475,142",0.7955,"59,087",0.0239,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11081966.PDF"
"Midterm Primary","6/7/1966",1966,"2,969,155","1,904,321",0.6414,"25,868",0.0136,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06071966.PDF"
"Midterm General","11/6/1962",1962,"2,979,575","2,328,310",0.7814,"47,716",0.0205,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11061962.PDF"
"Midterm Primary","6/5/1962",1962,"2,811,130","1,710,772",0.6086,"21,717",0.0127,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06051962.PDF"
"Midterm General","11/4/1958",1958,"","2,209,016",0.7906,"37,857",0.0171,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11041958.PDF"
"Midterm Primary","6/3/1958",1958,"","1,644,565",NULL,"15,327",0.0093,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06031958.PDF"
"Midterm General","11/2/1954",1954,"","1,685,285",0.6818,"19,061",0.0113,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11021954.PDF"
"Midterm Primary","6/8/1954",1954,"","1,237,497",NULL,"10,731",0.0087,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06081954.PDF"
"Midterm General","11/7/1950",1950,"","1,593,515",NULL,"20,751",0.013,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11071950.PDF"
"Midterm Primary","6/6/1950",1950,"","1,228,137",NULL,"9,568",0.0078,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06061950.PDF"
"Midterm General","11/5/1946",1946,"","1,176,707",NULL,"8,959",0.0076,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11051946.PDF"
"Midterm Primary","6/4/1946",1946,"","818,398",NULL,"2,747",0.0034,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06041946.PDF"
"Midterm General","11/3/1942",1942,"","945,485",NULL,"8,079",0.0085,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11031942.PDF"
"Midterm Primary","8/25/1942",1942,"","656,869",NULL,"4,324",0.0066,"http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-08251942.PDF"
