,name,id,incidents,inspections,enforcement-actions,hazardous-liquid,states-of-operation-hl,inspected-miles-hl,gas-transmission,states-of-operation-gt,inspected-miles-gt,gas-gathering,states-of-operation-gg,inspected-miles-gg
0, AERA ENERGY LLC,31067,-,17,-,TRUE, CA,0,TRUE, CA,1,TRUE, CA,11
1, AIR PRODUCTS & CHEMICALS INC,117,-,10,6,FALSE,-,-,TRUE," CA,KS,LA,OH,TX",733,FALSE,-,-
2, AMERIGAS PROPANE LP,32013,-,17,9,TRUE, PA,5,TRUE, CA,1,FALSE,-,-
3," ARGUELLO, INC.",31367,-,-,-,TRUE, CA,28,FALSE,-,-,TRUE, CA,10
4, BERRY PETROLEUM CO,26009,-,1,-,FALSE,-,-,TRUE, CA,3,FALSE,-,-
5, BETA OFFSHORE,32224,-,8,4,TRUE, CA,18,FALSE,-,-,FALSE,-,-
6," BIG WEST OF CALIFORNIA, LLC",32088,-,4,3,FALSE,-,-,TRUE, CA,2,FALSE,-,-
7, BP PIPELINE (NORTH AMERICA) INC.,31189,-,53,6,TRUE," AL,CA,IA,IL,IN,KSKY,LA,MO,OC(B),OK,TNTX,WA",2104,TRUE, OC(B),213,FALSE,-,-
8, BP WEST COAST PRODUCTS L.L.C.,31610,-,6,2,TRUE, CA,142,TRUE, CA,19,FALSE,-,-
9, BREA CANON OIL COMPANY,30546,-,1,-,FALSE,-,-,FALSE,-,-,TRUE, CA,11
10," BREITBURN MANAGEMENT COMPANY, LLC",38899,-,-,-,TRUE, CA,0,FALSE,-,-,FALSE,-,-
11, BREITBURN OPERATING L.P.,30029,-,-,-,TRUE, CA,0,TRUE," KY,MI",122,TRUE," IN,MI",24
12," BUCKEYE PARTNERS, LP",1845,-,112,40,TRUE," AL,CA,CT,FL,IA,ILIN,MA,ME,MI,MO,NJNV,NY,OH,PA,TN,TX",6409,FALSE,-,-,FALSE,-,-
13, BULLDOG GAS & POWER LLC,30965,-,3,2,FALSE,-,-,TRUE, CA,3,FALSE,-,-
14, CALIFORNIA GAS GATHERING INC,31394,-,5,1,FALSE,-,-,TRUE, CA,33,FALSE,-,-
15, CALNEV PIPELINE CO,26125,-,24,-,TRUE," CA,NV",571,FALSE,-,-,FALSE,-,-
16," CENTRAL RESOURCES, INC.",32104,-,-,-,TRUE, CA,3,FALSE,-,-,FALSE,-,-
17," CENTRAL VALLEY GAS STORAGE, LLC",32603,-,-,-,FALSE,-,-,TRUE, CA,16,FALSE,-,-
18, CHEMOIL TERMINALS CORP.,879,-,-,-,TRUE, CA,37,FALSE,-,-,FALSE,-,-
19, CHEVRON PIPE LINE CO,2731,-,103,28,TRUE," CA,CO,ID,LA,MS,NMOR,TX,UT,WA,WY",6807,TRUE," AL,CA,LA,MS",478,FALSE,-,-
20," CITY OF GLENDALE, GLENDALE WATER & POWER",31986,-,3,3,FALSE,-,-,TRUE, CA,6,FALSE,-,-
21, CITY OF REDDING,32304,-,4,2,FALSE,-,-,TRUE, CA,3,FALSE,-,-
22, CITY OF VERNON,31955,-,9,4,FALSE,-,-,TRUE, CA,4,FALSE,-,-
23, CPN PIPELINE COMPANY,31477,-,19,7,FALSE,-,-,TRUE," AR,AZ,CA,MN,OR",125,TRUE, CA,9
24, CRIMSON PIPELINE L.P.,32103,-,-,-,TRUE, CA,615,FALSE,-,-,FALSE,-,-
25," DCOR, LLC",32083,-,20,2,TRUE," CA,OC(B)",43,FALSE,-,-,TRUE," CA,CA,OC(B),OC(B)",54
26, DELTA GAS GATHERING INC,31393,-,1,-,FALSE,-,-,FALSE,-,-,TRUE, CA,24
27, DICK BROWN TECHNICAL SERVICES,32116,-,10,1,TRUE, CA,11,TRUE, CA,10,FALSE,-,-
28, DOD DEFENSE ENERGY SUPPORT CENTER,31460,-,-,-,TRUE, CA,19,FALSE,-,-,FALSE,-,-
29, E&T LLC,39038,-,-,-,TRUE, CA,0,FALSE,-,-,FALSE,-,-
30, EDISON MISSION OPERATIONS AND MAINTENANCE,31904,-,4,3,FALSE,-,-,TRUE, CA,5,FALSE,-,-
31, EX EL PIPELINE SERVICES LLC,32093,-,6,1,FALSE,-,-,TRUE, CA,12,FALSE,-,-
32, EXXONMOBIL OIL CORP - WEST COAST,26134,-,4,-,TRUE, CA,681,TRUE, CA,3,FALSE,-,-
33, EXXONMOBIL OIL CORPORATION-TERMINALS,32009,-,7,2,TRUE," CA,IL,TX,WA",5,FALSE,-,-,FALSE,-,-
34," EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL COR",4908,-,18,3,TRUE," AL,CA,TX,WY",279,TRUE, TX,249,TRUE," AL,AL,CA,TX",107
35, FREEPORT-MCMORAN OIL & GAS,18667,-,17,9,TRUE, CA,62,TRUE, CA,7,TRUE," CA,CA",28
36, GILL RANCH STORAGE LLC,32549,-,-,-,FALSE,-,-,TRUE, CA,32,FALSE,-,-
37, GREKA ENERGY,31541,-,5,7,FALSE,-,-,FALSE,-,-,TRUE, CA,13
38, HILLCREST BEVERLY OIL CORP,31075,-,5,1,TRUE, CA,1,FALSE,-,-,TRUE, CA,1
39, INERGY WEST COAST,31919,-,4,1,TRUE, CA,48,FALSE,-,-,TRUE, CA,3
40, KERN OIL & REFINING CO.,30658,-,-,-,TRUE, CA,25,FALSE,-,-,FALSE,-,-
41, KERN RIVER GAS TRANSMISSION CO,844,-,33,7,FALSE,-,-,TRUE," CA,NV,UT,WY",1417,FALSE,-,-
42," LINN WESTERN OPERATING, INC",31806,-,4,2,TRUE, CA,4,FALSE,-,-,TRUE, CA,5
43," LODI GAS STORAGE, LLC",31697,-,-,-,FALSE,-,-,TRUE, CA,45,FALSE,-,-
44, MACPHERSON OIL COMPANY,32638,-,-,-,FALSE,-,-,TRUE, CA,7,FALSE,-,-
45, MIDWAY SUNSET COGENERATION CO,997,-,4,4,FALSE,-,-,TRUE, CA,4,FALSE,-,-
46, MOBIL PACIFIC PIPELINE CO,30005,-,-,-,TRUE, CA,29,FALSE,-,-,FALSE,-,-
47, MOJAVE PIPELINE OPERATING COMPANY,840,-,19,1,FALSE,-,-,TRUE," AZ,CA",562,FALSE,-,-
48, NAFTEX OPERATING COMPANY,32642,-,-,-,FALSE,-,-,TRUE, CA,5,FALSE,-,-
49, NORTH BAJA PIPELINE LLC,31891,-,14,5,FALSE,-,-,TRUE," AZ,CA",86,FALSE,-,-
50, NORTHERN CALIFORNIA POWER AGENCY,32308,-,4,-,FALSE,-,-,TRUE, CA,1,FALSE,-,-
51, NRG ENERGY SERVICES,39027,-,1,1,FALSE,-,-,TRUE, CA,6,FALSE,-,-
52, NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,26094,-,17,3,TRUE," CA,DC,MD,NJ,NM,NYOR,TX,VA",106,FALSE,-,-,FALSE,-,-
53," OCCIDENTAL OF ELK HILLS, INC",31228,-,6,-,TRUE, CA,54,TRUE, CA,24,FALSE,-,-
54, OXY USA INC,32602,-,1,-,TRUE, CA,6,FALSE,-,-,TRUE, CA,4
55," PACIFIC COAST ENERGY COMPANY, LP",999,-,2,4,TRUE, CA,4,FALSE,-,-,TRUE, CA,8
56, PACIFIC GAS & ELECTRIC CO,15007,-,-,-,FALSE,-,-,TRUE, CA,5751,TRUE, CA,4
57, PACIFIC OPERATORS OFFSHORE,31295,-,8,6,TRUE, CA,6,TRUE, CA,6,FALSE,-,-
58, PACIFIC PIPELINE SYSTEM LLC,31325,-,-,-,TRUE, CA,339,FALSE,-,-,FALSE,-,-
59, PARAMOUNT PETROLEUM CORP,26136,-,-,-,TRUE, CA,130,TRUE, CA,9,FALSE,-,-
60, PETRO-DIAMOND TERMINAL COMPANY,31135,-,-,-,TRUE, CA,1,FALSE,-,-,FALSE,-,-
61, PHILLIPS 66 COMPANY - LOS ANGELES REFINERY,32135,-,-,-,TRUE, CA,13,FALSE,-,-,FALSE,-,-
62, PHILLIPS 66 PIPELINE LLC,31684,-,195,47,TRUE," CA,CO,ID,IL,KS,LAMO,MT,NJ,NM,OK,TXUT,WA,WY",10040,TRUE," CA,LA,TX",64,FALSE,-,-
63," PLAINS MARKETING, L.P.",26085,-,9,2,TRUE," AL,AZ,CA,LA,MI,OHSC,TX",415,FALSE,-,-,FALSE,-,-
64," PLAINS PIPELINE, L.P.",300,-,81,22,TRUE," AL,CA,CO,IL,KS,LAMS,MT,ND,NE,NM,OKSD,TX,UT,WY",6437,FALSE,-,-,FALSE,-,-
65," PRAXAIR, INC",20044,-,6,7,FALSE,-,-,TRUE," CA,IN,LA,MI,NY,TX",327,FALSE,-,-
66, QUESTAR PIPELINE COMPANY,12874,-,41,7,FALSE,-,-,TRUE," AZ,CA,CO,NM,UT,WY",2648,FALSE,-,-
67, ROSETTA RESOURCES,32203,-,3,1,FALSE,-,-,TRUE, CA,4,TRUE, CA,7
68, SACRAMENTO MUNICIPAL UTILITY DISTRICT,30749,-,8,-,FALSE,-,-,TRUE, CA,76,FALSE,-,-
69, SAN DIEGO GAS & ELECTRIC CO,18112,-,-,-,FALSE,-,-,TRUE, CA,234,FALSE,-,-
70, SEAL BEACH GAS PROCESSING VENTURE,31068,-,3,1,FALSE,-,-,TRUE, CA,1,TRUE, CA,3
71, SENECA RESOURCES CORP,18201,-,2,-,TRUE, CA,8,TRUE, CA,23,TRUE, CA,8
72," SFPP, LP",18092,-,92,14,TRUE," AZ,CA,NM,NV,OR,TX",2868,FALSE,-,-,FALSE,-,-
73, SHELL OIL PRODUCTS COMPANY,30765,-,2,-,TRUE, CA,7,TRUE, CA,2,FALSE,-,-
74," SHELL PIPELINE CO., L.P.",31174,-,51,11,TRUE," CA,IL,KY,LA,MS,OC(B)TN,TX,WI",4490,FALSE,-,-,FALSE,-,-
75," SIGNAL HILL PETROLEUM, INC.",32195,-,-,-,TRUE, CA,1,FALSE,-,-,FALSE,-,-
76, SILICON VALLEY POWER,32054,-,6,6,FALSE,-,-,TRUE, CA,2,FALSE,-,-
77, SOUTHERN CALIFORNIA GAS CO,18484,-,-,-,FALSE,-,-,TRUE, CA,3526,FALSE,-,-
78, SOUTHWEST GAS CORP,18536,-,1,-,FALSE,-,-,TRUE," AZ,CA,NV",710,FALSE,-,-
79, ST. JAMES OIL CORPORATION,32266,-,-,-,TRUE, CA,3,FALSE,-,-,FALSE,-,-
80, STANDARD PACIFIC GAS LINE INC,18608,-,-,-,FALSE,-,-,TRUE, CA,55,FALSE,-,-
81, TESORO LOGISTICS OPERATIONS LLC - GOLDEN EAGLE,31874,-,-,-,TRUE, CA,5,FALSE,-,-,FALSE,-,-
82, TESORO LOGISTICS OPERATIONS LLC - SOUTHERN CALIFORNIA,38933,-,-,-,TRUE, CA,16,FALSE,-,-,FALSE,-,-
83, TESORO REFINING & MARKETING COMPANY LLC - LOS ANGELES REFINE,32253,-,6,5,TRUE, CA,15,TRUE, CA,1,FALSE,-,-
84, THUMS LONG BEACH CO,19410,-,8,2,TRUE, CA,7,TRUE, CA,4,TRUE, CA,11
85, TIDELANDS OIL PRODUCTION COMPANY,30834,-,-,-,TRUE, CA,2,FALSE,-,-,FALSE,-,-
86, TRANSWESTERN PIPELINE COMPANY LLC,19610,-,20,1,FALSE,-,-,TRUE," AZ,CA,CO,NM,TX",2482,FALSE,-,-
87, TUSCARORA GAS TRANSMISSION COMPANY,30838,-,9,1,FALSE,-,-,TRUE," CA,NV,OR",305,FALSE,-,-
88, U.S. BORAX,31087,-,2,1,FALSE,-,-,TRUE, CA,2,FALSE,-,-
89, ULTRAMAR INC,20202,-,2,1,TRUE, CA,29,TRUE, CA,3,FALSE,-,-
90, VALERO REFINING COMPANY - CALIFORNIA,32223,-,-,-,TRUE, CA,24,FALSE,-,-,FALSE,-,-
91," VENOCO, INC",31296,3,17,7,TRUE," CA,OC(B)",51,TRUE, CA,38,TRUE," CA,OC(B)",15
92, VINTAGE PIPELINE INC,21315,-,-,-,FALSE,-,-,TRUE, CA,19,TRUE," CA,LA,OK,TX",61
93, VINTAGE PRODUCTION CALIFORNIA LLC,32178,-,8,8,TRUE, CA,5,TRUE, CA,16,TRUE, CA,15
94, VOPAK TERMINAL LOS ANGELES INC.,31420,-,-,-,TRUE, CA,21,FALSE,-,-,FALSE,-,-
95, WEST COAST TERMINAL PIPELINE  (WCTP),32688,-,4,-,TRUE," CA,OR",39,FALSE,-,-,FALSE,-,-
96, WICKLAND OIL COMPANY,31136,-,-,-,TRUE, CA,12,FALSE,-,-,FALSE,-,-
97, WILD GOOSE STORAGE INC,31287,-,-,-,FALSE,-,-,TRUE, CA,34,FALSE,-,-
