date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/29/15,HL,Not Within a Municipality,AK,Not Within a County or Parish,ALL OTHER CAUSES,UNKNOWN,0,0,$40000,0,0,$0
04/15/15,HL,DEADHORSE,AK,Not Within a County or Parish,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$41151,4,0,$0
06/12/13,HL,COLDFOOT,AK,,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$55000,0,0,$0
01/14/12,HL,FAIRBANKS,AK,FAIRBANKS NORTH STAR BOROUGH,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$37240,3,0,$0
01/08/11,HL,DEADHORSE,AK,,CORROSION,INTERNAL,0,0,$15700000,308,0,$0
09/07/10,HL,COLDFOOT,AK,N/A,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$4128,0,0,$8
05/25/10,HL,DELTA JUNCTION,AK,,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$28938000,2580,1119,$238000
06/19/09,HL,BARROW,AK,NORTH SLOPE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$3000,0,0,$0
02/18/09,HL,DEADHORSE,AK,NORTH SLOPE,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$3000,6,0,$0
02/13/07,HL,VALDEZ,AK,VALDEZ-CORDOVA,ALL OTHER CAUSES,UNKNOWN,0,0,$50,0,0,$10
01/09/07,HL,NORTH SLOPE,AK,NORTH SLOPE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$460512,22,0,$60512
08/26/06,HL,DEADHORSE,AK,NORTH SLOPE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$270,0,0,$70
