date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
03/19/15,GT,LAKE DALLAS,TX,DENTON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$76200,$21200
08/28/12,GT,MCKINNEY,TX,COLLIN,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$632500,$7500
03/27/12,GT,RIESEL,TX,MCLENNAN,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$103966,$4935
06/10/11,GT,WACO,TX,MCLENNAN,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$86823,$10424
11/22/09,GT,LONGLAKE (PALESTINE),TX,ANDERSON,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,0,0,$92336,$42079
07/20/09,GT,DENTON,TX,DENTON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$500108,$108
04/29/09,GT,TEAGUE,TX,FREESTONE,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$83474,$83474
01/08/08,GT,KEENE,TX,JOHNSON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$243983,$211823
11/07/07,GT,TYLER,TX,SMITH,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$80000,$27000
10/09/06,GT,BUFFALO,TX,LEON,CORROSION,INTERNAL,0,0,$85000,$0
10/04/06,GT,DECATUR,TX,WISE,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,0,0,$626000,$471000
06/07/06,GT,LANCASTER,TX,DALLAS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$81000,$23000
01/04/06,GT,KRUM,TX,DENTON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$58000,$4000
