date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
02/27/13,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,$150000,0,0,$50
06/21/11,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$45400,4,0,$400
05/23/11,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,$7900,4,3,$400
05/03/11,HL,TORRANCE,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$4000,4,0,$700
04/10/11,HL,LONG BEACH,CA,LOS ANGELES COUNTY,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$4600,0,0,$100
12/28/10,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,$860700,30,28,$2700
11/28/10,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$2000,0,0,$0
11/11/10,HL,SIGNAL HILL,CA,LOS ANGELES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$765000,120,79,$15000
02/25/09,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,$21000,4,0,$0
12/29/08,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$15000,0,0,$0
12/19/08,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$100000,115,0,$0
12/07/08,HL,SIGNAL HILL,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$25000,0,0,$0
06/11/08,HL,SIGNAL HILL,CA,LOS ANGELES,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$5000,1,0,$0
12/30/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,$10000,0,0,$0
11/26/07,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5000,2,2,$0
10/12/07,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$10000,138,0,$0
07/19/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$153000,5,4,$0
12/05/06,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$314400,60,0,$0
09/08/06,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$4221000,1228,0,$0
