date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
01/17/15,HL,Not Within a Municipality,MT,DAWSON COUNTY,ALL OTHER CAUSES,UNKNOWN,0,0,$0,729,677
05/15/12,HL,FRYBURG,ND,BILLINGS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$71290,150,35
03/04/09,HL,BAKER,MT,FALLON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$900,0,0
08/08/08,HL,,MT,RICHLAND,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$19200,60,10
04/23/08,HL,,MT,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5734,2,2
04/01/08,HL,,MT,SHERIDAN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5020,1,0
10/26/06,HL,,MT,ROOSEVELT,CORROSION,INTERNAL,0,0,$26100,30,20
08/08/06,HL,,MT,ROOSEVELT,CORROSION,EXTERNAL,0,0,$25700,0,0
06/26/06,HL,,MT,ROOSEVELT,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$6000,10,0
01/05/06,HL,,MT,FALLON,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$15300,5,1
